□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20190701 ~ 20200630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원성산구 사파동,5*,단독,12m미만,373.47,262.7,202002,18,"        48,000",1994,비음로55번길
경상남도 창원성산구 사파동,1*,단독,12m미만,393.69,267.5,202003,6,"        48,000",2002,창이대로603번길
경상남도 창원성산구 사파동,6*,단독,25m미만,157.51,300.6,201911,13,"        57,000",1999,창이대로689번길
경상남도 창원성산구 사파동,5*,단독,25m미만,282.69,348,201908,11,"        57,000",1996,비음로
경상남도 창원성산구 상남동,8*,다가구,12m미만,244.4,251.7,202005,2,"        38,000",2000,단정로58번길
경상남도 창원성산구 상남동,8*,다가구,12m미만,244.4,251.7,201911,7,"        40,000",2000,단정로58번길
경상남도 창원성산구 상남동,1**,다가구,12m미만,252.7,254.2,201910,11,"        69,051",2019,동산로61번길
경상남도 창원성산구 상남동,4*,단독,25m미만,238.72,261.5,202003,13,"        60,000",2000,동산로48번길
경상남도 창원성산구 상남동,5*,단독,25m미만,379.66,269.4,201910,17,"        69,000",1996,동산로
경상남도 창원성산구 성주동,1**,단독,25m미만,377.85,265.9,201908,18,"        61,900",2012,삼정자로
경상남도 창원성산구 성주동,1**,단독,25m미만,390.47,267,202001,7,"        77,000",2012,삼정자로63번길
경상남도 창원성산구 성주동,1**,단독,12m미만,240.75,269.6,202004,10,"        66,000",2010,삼정자로33번길
경상남도 창원성산구 성주동,1**,단독,12m미만,356.5,279.5,202002,25,"        77,700",2017,삼정자로52번길
