□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 의창구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
37,경상남도 창원시 의창구 소답동,158-3,0158,0003,덕산행운빌,83.4100,202208,04,"33,108",6,-,-,2022,의창대로289번길 6-8,-,직거래,-
38,경상남도 창원시 의창구 소답동,158-3,0158,0003,덕산행운빌,84.3500,202208,04,"33,482",5,-,-,2022,의창대로289번길 6-8,-,직거래,-
39,경상남도 창원시 의창구 소답동,158-3,0158,0003,덕산행운빌,84.3500,202208,04,"33,482",4,-,-,2022,의창대로289번길 6-8,-,직거래,-
40,경상남도 창원시 의창구 소답동,158-3,0158,0003,덕산행운빌,83.4100,202208,04,"33,108",4,-,-,2022,의창대로289번길 6-8,-,직거래,-
41,경상남도 창원시 의창구 소답동,158-3,0158,0003,덕산행운빌,83.4100,202208,04,"33,108",5,-,-,2022,의창대로289번길 6-8,-,직거래,-
42,경상남도 창원시 의창구 소답동,158-3,0158,0003,덕산행운빌,84.3500,202208,04,"33,482",6,-,-,2022,의창대로289번길 6-8,-,직거래,-
43,경상남도 창원시 의창구 소답동,158-3,0158,0003,덕산행운빌,84.3500,202208,04,"33,482",7,-,-,2022,의창대로289번길 6-8,-,직거래,-
44,경상남도 창원시 의창구 소답동,158-3,0158,0003,덕산행운빌,83.4100,202208,04,"32,788",3,-,-,2022,의창대로289번길 6-8,-,직거래,-
45,경상남도 창원시 의창구 사림동,162-2,0162,0002,해금 Science Town,28.4930,202208,03,"15,467",8,-,-,2019, ,-,직거래,-
46,경상남도 창원시 의창구 동읍 용잠리,215-18,0215,0018,창원1차 비룡벨로스텔라,62.6884,202207,29,"10,530",4,-,-,2018,의창대로 905,-,직거래,-
47,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,33.8433,202207,28,"18,600",6,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
48,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.5066,202207,27,"33,800",13,-,-,2019,중동중앙로 47,-,중개거래,경남 창원의창구
49,경상남도 창원시 의창구 동읍 용잠리,215-18,0215,0018,창원1차 비룡벨로스텔라,62.6884,202207,26,"10,530",4,-,-,2018,의창대로 905,20220902,직거래,-
50,경상남도 창원시 의창구 사림동,162-2,0162,0002,해금 Science Town,28.4930,202207,20,"15,467",8,-,-,2019, ,-,직거래,-
51,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202207,19,"16,000",8,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
52,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.6001,202207,16,"35,600",25,-,-,2019,중동중앙로 47,-,중개거래,경남 창원의창구
53,경상남도 창원시 의창구 동읍 용잠리,215-18,0215,0018,창원1차 비룡벨로스텔라,62.6884,202207,14,"10,130",2,-,-,2018,의창대로 905,-,직거래,-
54,경상남도 창원시 의창구 소답동,158-15,0158,0015,(158-15),51.4800,202207,09,"10,000",5,-,-,2013,읍성로127번길 9,-,중개거래,경남 창원의창구
55,경상남도 창원시 의창구 동읍 용잠리,468,0468,0000,동읍 다숲 아파트,50.8500,202207,04,"11,200",11,-,-,2016,용잠로 19,-,중개거래,경남 창원의창구
56,경상남도 창원시 의창구 사림동,105-1,0105,0001,사림프라자,52.8750,202206,30,"3,109",6,-,-,2002,사림로 47,-,직거래,-
57,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트 아티움시티,84.9210,202206,24,"42,500",26,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원의창구
58,경상남도 창원시 의창구 사림동,105-1,0105,0001,사림프라자,52.8750,202206,23,"3,120",5,-,-,2002,사림로 47,-,직거래,-
59,경상남도 창원시 의창구 봉곡동,32-4,0032,0004,우성빌딩,33.6000,202206,22,"4,300",3,-,-,,지귀로24번길 16,-,직거래,-
60,경상남도 창원시 의창구 소답동,156-4,0156,0004,노블하우스,48.1775,202206,22,"10,000",7,-,-,2012,읍성로117번길 12,-,직거래,-
61,경상남도 창원시 의창구 봉곡동,32-4,0032,0004,우성빌딩,33.6000,202206,21,"4,300",3,-,-,,지귀로24번길 16,20220628,직거래,-
62,경상남도 창원시 의창구 용동,162-5,0162,0005,미래리움,30.7214,202206,17,"14,000",9,-,-,2018, ,-,중개거래,경남 창원의창구
63,경상남도 창원시 의창구 동읍 용잠리,230-19,0230,0019,창원2차 비룡벨로스텔라,62.8612,202206,16,"6,032",10,-,-,2018,의창대로 909,20220719,직거래,-
64,경상남도 창원시 의창구 동읍 용잠리,230-19,0230,0019,창원2차 비룡벨로스텔라,62.8612,202206,16,"6,032",4,-,-,2018,의창대로 909,20220719,직거래,-
65,경상남도 창원시 의창구 동읍 용잠리,230-19,0230,0019,창원2차 비룡벨로스텔라,62.8612,202206,16,"6,032",2,-,-,2018,의창대로 909,20220719,직거래,-
