□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
58,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,21.4400,202012,26,"3,000",15,-,-,1999,해안대로 15,-,-,-
59,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,26.6118,202012,22,"11,000",26,-,-,2019,동서동2길 60,-,-,-
60,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,24.6817,202012,18,"10,600",25,-,-,2019,동서동2길 60,-,-,-
61,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,32.8000,202012,18,"3,100",4,-,-,2006,해안대로 367,20201229,-,-
62,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,32.8000,202012,18,"4,500",4,-,-,2006,해안대로 367,-,-,-
63,경상남도 창원시 마산합포구 상남동,108-1,0108,0001,한우O/T빌딩,48.6900,202012,18,"4,050",8,-,-,2003,노산남7길 28,-,-,-
64,경상남도 창원시 마산합포구 해운동,67-17,0067,0017,아카데미텔,24.2750,202012,15,"2,200",3,-,-,1997,월영동북로 12,-,-,-
65,경상남도 창원시 마산합포구 해운동,65-2,0065,0002,한백마이존,26.4000,202012,10,"2,900",7,-,-,1999,월영동13길 9,-,-,-
66,경상남도 창원시 마산합포구 동성동,315-1,0315,0001,삼오빌딩,35.7700,202012,10,"3,500",9,-,-,2003,해안대로 359,-,-,-
67,경상남도 창원시 마산합포구 상남동,108-1,0108,0001,한우O/T빌딩,44.4600,202012,10,"3,680",7,-,-,2003,노산남7길 28,-,-,-
68,경상남도 창원시 마산합포구 산호동,644,0644,0000,산호  베스티움,46.5164,202012,09,"16,000",2,-,-,2016, ,-,-,-
69,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,25.2000,202012,08,"3,300",15,-,-,1999,해안대로 15,-,-,-
70,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,31.5600,202012,08,"2,500",8,-,-,2006,해안대로 367,-,-,-
71,경상남도 창원시 마산합포구 해운동,42-5,0042,0005,킴즈타운,22.5975,202012,07,"3,700",4,-,-,2003,월영동로 7,-,-,-
72,경상남도 창원시 마산합포구 오동동,322,0322,0000,중앙마린파이브아파트,40.9200,202012,05,"9,000",2,-,-,2014,오동동14길 67,-,-,-
73,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,54.8355,202012,04,"19,000",21,-,-,2019,동서동2길 60,-,-,-
74,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,34.4362,202011,17,"13,291",5,-,-,2019,동서동2길 60,-,-,-
75,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,42.9900,202011,13,"7,240",6,-,-,2017,해안대로 376,-,-,-
76,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202011,13,"3,000",2,-,-,2004,산호남2길 1,-,-,-
77,경상남도 창원시 마산합포구 중앙동3가,4-192,0004,0192,리베로오피스텔,22.6200,202011,12,"2,850",2,-,-,2003,중앙북7길 7,-,-,-
