□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
15,경상남도 창원시 마산회원구 양덕동,153-8,0153,0008,한진오피스텔,29.5720,202210,15,"2,900",14,-,-,1991,합포로 274,-,직거래,-
16,경상남도 창원시 마산회원구 양덕동,832-7,0832,0007,양덕 엘렌시아,56.7650,202209,24,"13,000",3,-,-,2018, ,-,중개거래,경남 창원마산합포구
17,경상남도 창원시 마산회원구 합성동,324-2,0324,0002,(324-2),32.5600,202209,22,"4,000",5,-,-,2003,합성남8길 67,-,중개거래,경남 창원마산회원구
18,경상남도 창원시 마산회원구 석전동,222-8,0222,0008,(222-8),70.5800,202209,13,"6,800",6,-,-,2000,석전동15길 39,-,중개거래,경남 창원마산회원구
19,경상남도 창원시 마산회원구 내서읍 호계리,296,0296,0000,내서 신화하니엘 더시티,58.9965,202208,28,"15,700",4,-,-,2017,호원로 223,-,중개거래,경남 창원마산회원구
20,경상남도 창원시 마산회원구 석전동,222-8,0222,0008,(222-8),70.5800,202208,13,"6,000",4,-,-,2000,석전동15길 39,-,중개거래,경남 창원시 마산회원구
21,경상남도 창원시 마산회원구 합성동,100-20,0100,0020,대영빌라,59.9739,202208,11,"13,310",6,-,-,2017, ,-,직거래,-
22,경상남도 창원시 마산회원구 석전동,222-8,0222,0008,(222-8),70.5800,202208,10,"7,100",5,-,-,2000,석전동15길 39,-,중개거래,경남 창원마산회원구
23,경상남도 창원시 마산회원구 회원동,236-2,0236,0002,회원빌라,29.5200,202208,05,600,6,-,-,1998,회원서1길 36,-,직거래,-
24,경상남도 창원시 마산회원구 구암동,78-5,0078,0005,더 마크원 오피스텔,38.6300,202207,29,"15,500",14,-,-,2018, ,-,중개거래,경남 창원마산회원구
25,경상남도 창원시 마산회원구 석전동,245-6,0245,0006,석전오피스텔,55.1650,202207,26,"5,450",9,-,-,1996,양덕옛2길 73,-,중개거래,경남 창원마산회원구
26,경상남도 창원시 마산회원구 내서읍 삼계리,623,0623,0000,선지언빌리지,47.0100,202207,24,"6,000",4,-,-,2014,삼계로 45-1,-,직거래,-
27,경상남도 창원시 마산회원구 내서읍 호계리,768-11,0768,0011,경상오피스텔,58.3700,202206,29,"6,900",2,-,-,2015, ,-,중개거래,경남 창원마산회원구
28,경상남도 창원시 마산회원구 석전동,223-2,0223,0002,석전동 다움 아파트,84.6155,202206,29,"19,000",5,-,-,2017,석전동15길 40,-,중개거래,경남 창원마산회원구
29,경상남도 창원시 마산회원구 회원동,409-3,0409,0003,금광아일린,84.4433,202206,25,"21,000",6,-,-,2016,회원동서로 8,-,중개거래,경남 창원마산회원구
30,경상남도 창원시 마산회원구 양덕동,151-35,0151,0035,송촌 e' 누리채 아파트,73.3303,202206,22,"15,800",3,-,-,2016,양덕남8길 5,-,직거래,-
31,경상남도 창원시 마산회원구 회원동,68-4,0068,0004,신안 시티텔,21.8750,202206,18,"2,800",2,-,-,2002,3·15대로 488,-,중개거래,경남 창원마산회원구
32,경상남도 창원시 마산회원구 석전동,245-6,0245,0006,석전오피스텔,55.1650,202206,15,"5,500",9,-,-,1996,양덕옛2길 73,20220713,중개거래,경남 창원마산회원구
33,경상남도 창원시 마산회원구 석전동,222-8,0222,0008,(222-8),70.5800,202205,19,"8,500",9,-,-,2000,석전동15길 39,-,중개거래,경남 창원마산회원구
34,경상남도 창원시 마산회원구 구암동,78-5,0078,0005,더 마크원 오피스텔,26.0405,202205,11,"8,300",14,-,-,2018, ,-,중개거래,경남 창원마산회원구
35,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,53.7200,202205,11,"15,000",17,-,-,2016, ,-,중개거래,경남 창원마산합포구
36,경상남도 창원시 마산회원구 내서읍 호계리,296,0296,0000,내서 신화하니엘 더시티,52.4762,202205,11,"11,800",7,-,-,2017,호원로 223,-,중개거래,경남 창원마산회원구
37,경상남도 창원시 마산회원구 석전동,222-8,0222,0008,(222-8),33.0600,202205,05,"3,000",4,-,-,2000,석전동15길 39,-,직거래,-
38,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202203,31,"6,964",6,-,-,2013,양덕로 13,-,직거래,-
39,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202203,31,"6,964",4,-,-,2013,양덕로 13,-,직거래,-
40,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202203,31,"6,964",5,-,-,2013,양덕로 13,-,직거래,-
41,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202203,31,"6,964",4,-,-,2013,양덕로 13,-,직거래,-
42,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202203,31,"6,964",4,-,-,2013,양덕로 13,-,직거래,-
43,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202203,31,"6,964",4,-,-,2013,양덕로 13,-,직거래,-
44,경상남도 창원시 마산회원구 석전동,239-1,0239,0001,C.K 밸리 1,102.7875,202203,23,"10,000",2,-,-,2004,석전동14길 47,-,중개거래,경남 창원마산회원구
45,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,26.9800,202203,15,"4,100",13,-,-,2003,양덕동2길 17,-,중개거래,경남 창원마산회원구
46,경상남도 창원시 마산회원구 양덕동,151-35,0151,0035,송촌 e' 누리채 아파트,73.3303,202203,14,"14,500",2,-,-,2016,양덕남8길 5,-,중개거래,경남 창원마산회원구
47,경상남도 창원시 마산회원구 양덕동,832-7,0832,0007,양덕 엘렌시아,56.7650,202203,12,"12,500",3,-,-,2018, ,-,중개거래,경남 창원마산합포구
48,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,54.9600,202203,10,"12,500",4,-,-,2016, ,-,중개거래,경남 창원마산합포구 경남 창원마산회원구
49,경상남도 창원시 마산회원구 석전동,258-1,0258,0001,덕강빌딩,21.5770,202203,10,"2,100",6,-,-,1996,석전동7길 7,-,중개거래,경남 창원의창구
50,경상남도 창원시 마산회원구 구암동,78-5,0078,0005,더 마크원 오피스텔,26.0405,202203,05,"7,600",16,-,-,2018, ,-,중개거래,경남 창원마산회원구
51,경상남도 창원시 마산회원구 내서읍 호계리,296,0296,0000,내서 신화하니엘 더시티,52.4762,202202,28,"12,500",6,-,-,2017,호원로 223,-,중개거래,경남 창원마산회원구
52,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,38.5200,202202,21,"5,600",5,-,-,2003,양덕동2길 17,-,중개거래,경남 창원마산회원구
53,경상남도 창원시 마산회원구 석전동,221-19,0221,0019,(221-19),93.0600,202202,21,"4,000",5,-,-,2002,석전동17길 36,-,직거래,-
54,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,54.9600,202202,14,"12,700",13,-,-,2016, ,-,중개거래,경남 창원마산합포구
55,경상남도 창원시 마산회원구 양덕동,153-14,0153,0014,리첸시아,39.3100,202202,12,"5,000",6,-,-,2003,봉양로 13,-,중개거래,경남 창원마산회원구
56,경상남도 창원시 마산회원구 양덕동,150-7,0150,0007,양덕이담채아파트,69.6691,202202,12,"16,500",2,-,-,2019,양덕남8길 40,-,중개거래,경남 창원마산회원구
57,경상남도 창원시 마산회원구 구암동,78-5,0078,0005,더 마크원 오피스텔,36.0200,202202,09,"14,000",8,-,-,2018, ,-,중개거래,경남 창원마산회원구
58,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,54.9600,202202,04,"12,500",14,-,-,2016, ,-,중개거래,경남 창원마산합포구
59,경상남도 창원시 마산회원구 양덕동,153-14,0153,0014,리첸시아,22.6800,202201,29,"2,920",9,-,-,2003,봉양로 13,-,중개거래,경남 창원마산회원구
60,경상남도 창원시 마산회원구 양덕동,153-14,0153,0014,리첸시아,22.6800,202201,25,"1,950",11,-,-,2003,봉양로 13,-,중개거래,경남 창원성산구
61,경상남도 창원시 마산회원구 양덕동,153-8,0153,0008,한진오피스텔,27.6400,202201,10,"2,150",13,-,-,1991,합포로 274,-,직거래,-
62,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,54.9600,202201,05,"12,500",14,-,-,2016, ,20220204,중개거래,경남 창원마산합포구
63,경상남도 창원시 마산회원구 양덕동,832-7,0832,0007,양덕 엘렌시아,35.6840,202201,04,"10,400",2,-,-,2018, ,-,중개거래,경남 창원마산회원구
