□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2021-01-01 ~ 2021-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 성산구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
38,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,25.9900,202111,23,"5,000",15,-,-,2006,중앙대로 104,-,중개거래,경남 창원성산구
39,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202111,23,"45,000",6,-,-,2008,중앙대로 48,20220210,중개거래,경남 창원성산구
40,경상남도 창원시 성산구 상남동,75-2,0075,0002,엠케이오피스텔,29.5244,202111,22,"9,800",8,-,-,2016,중앙대로 94,-,직거래,-
41,경상남도 창원시 성산구 상남동,69-2,0069,0002,새롬아이포빌,29.6500,202111,22,"4,500",13,-,-,2003,상남로 35,-,중개거래,경남 창원성산구
42,경상남도 창원시 성산구 중앙동,96-4,0096,0004,창원리제스타워,24.3100,202111,22,"4,200",11,-,-,2004,중앙대로 85,-,중개거래,경남 창원성산구
43,경상남도 창원시 성산구 상남동,75-2,0075,0002,엠케이오피스텔,23.7250,202111,22,"8,300",19,-,-,2016,중앙대로 94,-,중개거래,경남 창원성산구
44,경상남도 창원시 성산구 상남동,25,0025,0000,네스트빌딩,42.8850,202111,20,"7,500",10,-,-,2003,마디미로38번길 11,-,중개거래,경남 창원성산구
45,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,222.1200,202111,19,"110,000",39,-,-,2009, 320,-,중개거래,경남 창원성산구
46,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,25.9900,202111,19,"5,300",11,-,-,2006,중앙대로 104,-,중개거래,경남 창원성산구
47,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,132.4300,202111,16,"39,000",23,-,-,2008,중앙대로 48,-,중개거래,경남 창원성산구
48,경상남도 창원시 성산구 중앙동,97-3,0097,0003,상지솔리움,20.9400,202111,13,"3,050",10,-,-,2003,중앙대로 75,-,중개거래,경남 창원성산구
49,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202111,13,"44,500",10,-,-,2008,중앙대로 48,20220222,중개거래,경남 창원성산구
50,경상남도 창원시 성산구 상남동,69-2,0069,0002,새롬아이포빌,25.9400,202111,11,"4,050",7,-,-,2003,상남로 35,-,중개거래,경남 창원성산구
51,경상남도 창원시 성산구 상남동,75-3,0075,0003,창원 디아트리에 오피스텔,29.7200,202111,11,"9,500",3,-,-,2017, ,-,중개거래,경남 창원성산구
52,경상남도 창원시 성산구 상남동,76-1,0076,0001,스타 타워즈,34.2300,202111,11,"6,200",4,-,-,2005,중앙대로100번길 14,-,중개거래,경남 창원성산구
53,경상남도 창원시 성산구 상남동,69-2,0069,0002,새롬아이포빌,29.6500,202111,11,"4,300",6,-,-,2003,상남로 35,-,중개거래,경남 창원성산구
54,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,108.9000,202111,11,"31,700",10,-,-,2008,중앙대로 48,-,중개거래,경남 창원성산구
55,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,108.9000,202111,10,"32,000",5,-,-,2008,중앙대로 48,-,중개거래,경남 창원성산구
56,경상남도 창원시 성산구 상남동,69-2,0069,0002,새롬아이포빌,25.9400,202111,10,"4,500",12,-,-,2003,상남로 35,-,중개거래,경남 창원성산구
57,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,44.6500,202111,09,"9,600",8,-,-,2006,중앙대로 104,-,중개거래,경남 창원성산구
58,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,126.0600,202111,08,"55,000",9,-,-,2009, 320,-,중개거래,경남 창원성산구
59,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,23.9400,202111,08,"5,500",16,-,-,2016,상남로 75,-,중개거래,경남 창원성산구
60,경상남도 창원시 성산구 중앙동,101-2,0101,0002,대흥인터빌,31.8800,202111,04,"6,000",7,-,-,2004,중앙대로 33,-,직거래,-
61,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202111,04,"46,000",24,-,-,2008,중앙대로 48,-,중개거래,경남 창원성산구
62,경상남도 창원시 성산구 상남동,69-2,0069,0002,새롬아이포빌,25.9400,202111,04,"4,500",5,-,-,2003,상남로 35,-,중개거래,경남 창원성산구
63,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,118.9100,202111,03,"55,500",25,-,-,2009, 320,20220113,중개거래,경남 창원성산구
64,경상남도 창원시 성산구 중앙동,98-4,0098,0004,성원그랜드오피스텔,43.5200,202111,03,"3,200",10,-,-,1990,용지로 70,-,직거래,-
65,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,23.9400,202111,02,"7,200",18,-,-,2016,상남로 75,-,중개거래,경남 창원성산구
66,경상남도 창원시 성산구 중앙동,100-2,0100,0002,현대오피스텔,40.6600,202111,02,"1,929",9,-,-,1990,중앙대로 55,-,직거래,-
67,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,178.3700,202111,02,"80,500",30,-,-,2009, 320,-,중개거래,경남 창원성산구
68,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,44.6500,202111,01,"9,900",13,-,-,2006,중앙대로 104,-,중개거래,경남 창원성산구
69,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,23.9400,202111,01,"6,000",13,-,-,2016,상남로 75,-,중개거래,경남 창원성산구
70,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,132.4300,202110,31,"40,000",27,-,-,2008,중앙대로 48,-,-,-
71,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,108.9000,202110,30,"31,000",6,-,-,2008,중앙대로 48,-,-,-
72,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202110,30,"44,300",5,-,-,2008,중앙대로 48,20220126,-,-
73,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202110,30,"44,500",10,-,-,2008,중앙대로 48,-,-,-
74,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202110,29,"48,000",24,-,-,2008,중앙대로 48,-,-,-
75,경상남도 창원시 성산구 중앙동,96-3,0096,0003,라큐비,23.4000,202110,29,"6,100",16,-,-,2015,중앙대로83번길 8,-,-,-
76,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202110,29,"45,000",14,-,-,2008,중앙대로 48,-,-,-
