□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2023-01-01 ~ 2023-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
50,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",4,-,-,2009,문화동10길 10,-,직거래,-
51,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",4,-,-,2009,문화동10길 10,-,직거래,-
52,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",4,-,-,2009,문화동10길 10,-,직거래,-
53,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",2,-,-,2009,문화동10길 10,-,직거래,-
54,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",5,-,-,2009,문화동10길 10,-,직거래,-
55,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,43.9000,202311,30,"8,522",6,-,-,2009,문화동10길 10,-,직거래,-
56,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,67.1300,202311,30,"13,030",6,-,-,2009,문화동10길 10,-,직거래,-
57,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,43.9000,202311,30,"8,522",5,-,-,2009,문화동10길 10,-,직거래,-
58,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,43.9000,202311,30,"8,522",5,-,-,2009,문화동10길 10,-,직거래,-
59,경상남도 창원시 마산합포구 산호동,337-75,0337,0075,파인하우스,47.2700,202311,23,"5,500",7,-,-,2011,합포동3길 8,-,직거래,-
