시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,비고,lng,lat
경상남도 창원성산구 반지동,3*,단독,25m미만,309.05,252.7,201602,4,"        46,000",1991.0,반지로,2. 성산구_단독다가구(매매),128.661595334901,35.2418954103204
경상남도 창원성산구 반지동,4*,단독,25m미만,228.52,253.5,201510,16,"       106,000",2012.0,반송로,2. 성산구_단독다가구(매매),128.666761861876,35.2385393171584
경상남도 창원성산구 반지동,4*,단독,25m미만,233.8,257.7,201605,25,"        83,000",2014.0,반지로,2. 성산구_단독다가구(매매),128.661595334901,35.2418954103204
경상남도 창원성산구 반지동,4*,단독,12m미만,140.04,257.8,201511,6,"        40,500",1980.0,반송로29번길,2. 성산구_단독다가구(매매),128.662943025225,35.2432577442014
경상남도 창원성산구 반지동,2*,단독,12m미만,199.7,257.9,201512,5,"        40,250",1989.0,창원천로242번길,2. 성산구_단독다가구(매매),128.6650419703,35.244228690863
경상남도 창원성산구 반지동,5*,단독,25m미만,381.95,267.0,201601,30,"       108,000",2015.0,반송로,2. 성산구_단독다가구(매매),128.666761861876,35.2385393171584
경상남도 창원성산구 반지동,3*,단독,12m미만,253.18,269.2,201511,2,"        52,000",2004.0,반송로29번길,2. 성산구_단독다가구(매매),128.662943025225,35.2432577442014
경상남도 창원성산구 반지동,8*,단독,25m미만,163.6,271.0,201511,13,"        57,900",1987.0,반지로,2. 성산구_단독다가구(매매),128.661595334901,35.2418954103204
경상남도 창원성산구 반지동,5*,단독,12m미만,256.59,272.8,201510,12,"        59,500",2004.0,반송로81번길,2. 성산구_단독다가구(매매),128.665617772878,35.2411644616941
경상남도 창원성산구 반지동,8*,단독,25m미만,250.8,273.6,201508,21,"        73,000",2008.0,반지로,2. 성산구_단독다가구(매매),128.661595334901,35.2418954103204
경상남도 창원성산구 사파동,5*,다가구,12m미만,237.81,218.4,201507,7,"        45,000",1996.0,비음로91번길,2. 성산구_단독다가구(매매),128.703187560497,35.2261825550043
경상남도 창원성산구 사파동,1**,다가구,12m미만,311.73,231.7,201509,21,"        44,300",1991.0,동산로176번길,2. 성산구_단독다가구(매매),128.696853322064,35.221508874993
경상남도 창원성산구 사파동,1**,다가구,12m미만,233.1,240.6,201602,11,"        72,000",2012.0,동산로178번길,2. 성산구_단독다가구(매매),128.69569198323,35.2225246017335
경상남도 창원성산구 사파동,3*,다가구,12m미만,219.6,243.8,201604,23,"        58,000",2006.0,비음로27번길,2. 성산구_단독다가구(매매),128.701586893911,35.2306157997689
경상남도 창원성산구 사파동,2*,다가구,12m미만,234.4,244.2,201510,9,"        59,000",2005.0,비음로14번길,2. 성산구_단독다가구(매매),128.698353203607,35.2285499479924
경상남도 창원성산구 사파동,1**,다가구,12m미만,242.78,244.6,201507,25,"        70,500",2014.0,창이대로684번길,2. 성산구_단독다가구(매매),128.69823383089,35.2227643729418
경상남도 창원성산구 사파동,2*,다가구,12m미만,219.35,244.7,201603,31,"        72,000",2009.0,비음로14번길,2. 성산구_단독다가구(매매),128.698353203607,35.2285499479924
경상남도 창원성산구 사파동,3*,다가구,12m미만,221.2,248.3,201508,7,"        60,000",2009.0,비음로27번길,2. 성산구_단독다가구(매매),128.701586893911,35.2306157997689
경상남도 창원성산구 사파동,6*,다가구,12m미만,223.69,248.3,201605,16,"        46,000",1996.0,창이대로695번길,2. 성산구_단독다가구(매매),128.70222522898,35.2234853278722
경상남도 창원성산구 사파동,3*,다가구,12m미만,234.65,249.4,201509,11,"        51,500",2007.0,비음로45번길,2. 성산구_단독다가구(매매),128.702121848484,35.2293828944004
경상남도 창원성산구 사파동,1**,다가구,12m미만,370.89,253.4,201603,3,"        67,800",2002.0,동산로192번길,2. 성산구_단독다가구(매매),128.696934510193,35.223372084058
경상남도 창원성산구 사파동,8*,다가구,12m미만,348.62,253.6,201604,7,"        55,500",1996.0,창이대로689번길,2. 성산구_단독다가구(매매),128.701752556463,35.2237965861854
경상남도 창원성산구 사파동,7*,다가구,12m미만,228.63,254.1,201604,29,"        51,500",1996.0,창이대로707번길,2. 성산구_단독다가구(매매),128.702526761772,35.2222895887641
경상남도 창원성산구 사파동,4*,다가구,12m미만,234.56,254.9,201604,24,"        65,000",2015.0,비음로55번길,2. 성산구_단독다가구(매매),128.703157135432,35.2288464346618
경상남도 창원성산구 사파동,2*,다가구,12m미만,283.66,264.0,201509,18,"        58,500",2000.0,창이대로639번길,2. 성산구_단독다가구(매매),128.69887632775,35.2277961282465
경상남도 창원성산구 사파동,5*,다가구,25m미만,251.36,277.3,201601,23,"        52,000",2001.0,비음로,2. 성산구_단독다가구(매매),128.698063064393,35.2271711035608
경상남도 창원성산구 사파동,6*,다가구,25m미만,287.34,312.7,201510,27,"        74,800",2009.0,비음로,2. 성산구_단독다가구(매매),128.698063064393,35.2271711035608
경상남도 창원성산구 사파동,1*,다가구,12m미만,449.94,324.6,201509,10,"        58,000",1998.0,비음로,2. 성산구_단독다가구(매매),128.698063064393,35.2271711035608
경상남도 창원성산구 사파동,5*,단독,12m미만,225.45,239.2,201511,30,"        55,500",2008.0,비음로67번길,2. 성산구_단독다가구(매매),128.702495398985,35.2270965738297
경상남도 창원성산구 사파동,1**,단독,12m미만,240.0,242.2,201508,26,"        70,000",2015.0,창이대로684번길,2. 성산구_단독다가구(매매),128.69823383089,35.2227643729418
경상남도 창원성산구 사파동,3*,단독,12m미만,230.48,243.8,201507,8,"        73,500",2011.0,비음로27번길,2. 성산구_단독다가구(매매),128.701586893911,35.2306157997689
경상남도 창원성산구 사파동,3*,단독,12m미만,197.19,247.4,201511,3,"        59,500",2007.0,비음로27번길,2. 성산구_단독다가구(매매),128.701586893911,35.2306157997689
경상남도 창원성산구 사파동,3*,단독,12m미만,190.23,247.8,201511,9,"        55,000",2003.0,비음로27번길,2. 성산구_단독다가구(매매),128.701586893911,35.2306157997689
경상남도 창원성산구 사파동,1**,단독,8m미만,216.89,247.9,201603,4,"        38,500",1990.0,,2. 성산구_단독다가구(매매),,
경상남도 창원성산구 사파동,3*,단독,12m미만,223.63,248.5,201509,2,"        44,800",1999.0,비음로27번길,2. 성산구_단독다가구(매매),128.701586893911,35.2306157997689
경상남도 창원성산구 사파동,1*,단독,12m미만,228.05,249.3,201604,12,"        69,000",2013.0,비음로4번길,2. 성산구_단독다가구(매매),128.698063064393,35.2271711035608
