NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
50,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202407,11,"12,300",8,개인,개인,2019,용동로 45,-,직거래,-
51,경상남도 창원시 의창구 명서동,202-3,0202,0003,모비딕빌딩,35.5200,202407,09,"6,500",13,개인,개인,2004,우곡로217번길 24,-,직거래,-
52,경상남도 창원시 의창구 소답동,158-17,0158,0017,(주)성지 오피스텔,24.5600,202407,05,"5,500",5,개인,개인,2004,의창대로289번길 6-16,-,직거래,-
53,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202407,03,"12,700",4,개인,개인,2019,용동로 45,-,중개거래,경남 창원시 의창구
54,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202406,23,"12,900",9,개인,개인,2019,용동로57번안길 9-11,-,중개거래,경남 창원시의창구
55,경상남도 창원시 의창구 봉곡동,32-4,0032,0004,우성빌딩,33.7800,202406,13,"5,400",5,개인,개인,,지귀로24번길 16,-,직거래,-
56,경상남도 창원시 의창구 사림동,162-3,0162,0003,센트럴 애비뉴,24.5968,202406,04,"11,000",7,개인,개인,2019,용동로57번길 20,-,중개거래,경남 창원시의창구
57,경상남도 창원시 의창구 사림동,162-5,0162,0005,미래리움,30.7214,202406,01,"11,500",5,개인,개인,2018, ,-,중개거래,경남 창원시의창구
58,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,38.5697,202405,31,"24,500",7,개인,개인,2019,중동중앙로 47,-,중개거래,경남 창원시의창구
59,경상남도 창원시 의창구 소답동,106-7,0106,0007,형제빌딩,41.4000,202405,24,"6,000",5,개인,개인,2001,읍성로 57,-,직거래,-
60,경상남도 창원시 의창구 동읍 용잠리,1153-12,1153,0012,라푸름,75.6045,202405,20,"8,922",5,개인,법인,2017, ,-,직거래,-
61,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,22.6421,202405,11,"17,300",18,개인,개인,2019,중동중앙로 47,-,중개거래,경남 창원시의창구
62,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,47.9514,202405,07,"28,000",10,개인,개인,2019,용동로57번안길 9-11,-,직거래,-
63,경상남도 창원시 의창구 소답동,158-10,0158,0010,(158-10),55.8250,202404,29,"10,000",7,개인,개인,2013,읍성로127번길 11,20240520,중개거래,경남 창원시의창구
64,경상남도 창원시 의창구 소답동,158-10,0158,0010,(158-10),55.8250,202404,29,"10,000",7,개인,개인,2013,읍성로127번길 11,-,중개거래,경남 창원시의창구
65,경상남도 창원시 의창구 명서동,199-8,0199,0008,장복빌딩,34.9600,202404,24,"3,400",6,개인,개인,1991,창이대로113번길 6,-,중개거래,경남 창원시의창구
66,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202404,24,"13,419",5,개인,법인,2019,용동로 45,-,직거래,-
67,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,35.5444,202404,19,"19,091",5,개인,법인,2019,용동로 45,-,직거래,-
68,경상남도 창원시 의창구 팔용동,31-2,0031,0002,한미코보스텔,29.8650,202404,17,"5,000",4,기타,개인,2004,창원대로397번길 8-9,-,중개거래,경남 창원시의창구
69,경상남도 창원시 의창구 팔용동,31-2,0031,0002,한미코보스텔,28.7150,202404,17,"4,500",5,기타,개인,2004,창원대로397번길 8-9,-,중개거래,경남 창원시의창구
70,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202404,08,"15,000",8,개인,개인,2019,용동로 45,-,직거래,-
71,경상남도 창원시 의창구 명서동,202-3,0202,0003,모비딕빌딩,35.5200,202403,27,"6,800",10,개인,개인,2004,우곡로217번길 24,-,중개거래,경남 창원시의창구
72,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202403,26,"12,000",8,개인,개인,2019,용동로 45,-,직거래,-
73,경상남도 창원시 의창구 사림동,163-1,0163,0001,창원중앙역 유탑 바이탈시티 주건축물 제1동,25.8236,202403,19,"13,921",6,개인,법인,2022,용동로57번안길 9-6,-,직거래,-
74,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,23.3979,202403,19,"10,500",7,법인,개인,2019,용동로57번안길 9-11,-,중개거래,경남 창원시의창구
75,경상남도 창원시 의창구 팔용동,31-2,0031,0002,한미코보스텔,24.3420,202403,14,"3,700",6,개인,개인,2004,창원대로397번길 8-9,-,직거래,-
76,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.5066,202403,11,"33,500",28,법인,개인,2019,중동중앙로 47,-,직거래,-
77,경상남도 창원시 의창구 사림동,162-5,0162,0005,미래리움,33.9254,202403,08,"14,000",7,개인,개인,2018, ,-,중개거래,경남 창원시의창구
78,경상남도 창원시 의창구 팔용동,31-2,0031,0002,한미코보스텔,30.8650,202403,05,"4,500",4,개인,개인,2004,창원대로397번길 8-9,-,중개거래,경남 창원시의창구
79,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,23.3979,202403,04,"10,300",6,법인,개인,2019,용동로57번안길 9-11,-,중개거래,경남 창원시의창구
80,경상남도 창원시 의창구 사림동,105-1,0105,0001,사림프라자,58.3600,202402,22,"7,000",6,개인,개인,2002,사림로 47,-,직거래,-
81,경상남도 창원시 의창구 명서동,202-3,0202,0003,모비딕빌딩,35.5200,202402,19,"6,500",8,개인,개인,2004,우곡로217번길 24,-,중개거래,경남 창원시 의창구
82,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,23.2798,202402,13,"9,400",7,개인,개인,2019,용동로 45,-,중개거래,경남 창원시 성산구
83,경상남도 창원시 의창구 봉곡동,32-4,0032,0004,우성빌딩,33.6000,202401,24,"5,100",4,개인,개인,,지귀로24번길 16,-,직거래,-
84,경상남도 창원시 의창구 동읍 용잠리,1153-12,1153,0012,라푸름,78.0124,202401,19,"8,922",5,개인,법인,2017, ,-,직거래,-
85,경상남도 창원시 의창구 동읍 용잠리,1153-12,1153,0012,라푸름,75.6045,202401,18,"8,922",6,개인,법인,2017, ,-,직거래,-
86,경상남도 창원시 의창구 사림동,105-1,0105,0001,사림프라자,32.3700,202401,16,"2,950",4,개인,개인,2002,사림로 47,-,중개거래,경남 창원성산구
87,경상남도 창원시 의창구 동읍 용잠리,468,0468,0000,동읍 다숲 아파트,50.8500,202401,10,"10,800",11,개인,개인,2016,용잠로 19,-,중개거래,경남 창원의창구
88,경상남도 창원시 의창구 소답동,157-7,0157,0007,덕산세흥파크(B동),84.2900,202401,10,"18,000",3,개인,개인,2012,읍성로117번길 6,-,중개거래,경남 창원시의창구
89,경상남도 창원시 의창구 사림동,162-5,0162,0005,미래리움,30.7214,202401,09,"13,000",7,개인,개인,2018, ,-,중개거래,경남 창원시의창구
90,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.6001,202401,06,"30,000",10,개인,개인,2019,중동중앙로 47,-,중개거래,경남 창원의창구
