NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
53,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202105,30,"6,000",6,-,-,2013,양덕로 13,-,-,-
54,경상남도 창원시 마산회원구 석전동,222-8,0222,0008,(222-8),99.8200,202105,27,"12,000",3,-,-,2000,석전동15길 39,-,-,-
55,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,54.9600,202105,24,"11,800",19,-,-,2016, ,-,-,-
56,경상남도 창원시 마산회원구 양덕동,153-8,0153,0008,한진오피스텔,31.6630,202105,20,"2,580",14,-,-,1991,합포로 274,-,-,-
57,경상남도 창원시 마산회원구 석전동,222-8,0222,0008,(222-8),33.0600,202105,20,"4,000",7,-,-,2000,석전동15길 39,-,-,-
58,경상남도 창원시 마산회원구 회원동,68-4,0068,0004,신안 시티텔,25.9000,202105,12,"3,000",4,-,-,2002,3·15대로 488,-,-,-
59,경상남도 창원시 마산회원구 회원동,68-4,0068,0004,신안 시티텔,25.9000,202104,05,"3,000",6,-,-,2002,3·15대로 488,-,-,-
60,경상남도 창원시 마산회원구 회원동,68-4,0068,0004,신안 시티텔,32.8125,202104,05,"3,500",9,-,-,2002,3·15대로 488,-,-,-
61,경상남도 창원시 마산회원구 석전동,222-8,0222,0008,(222-8),99.8200,202103,29,"12,000",3,-,-,2000,석전동15길 39,20210531,-,-
62,경상남도 창원시 마산회원구 회원동,25-5,0025,0005,아세아포스,38.4800,202103,15,"3,900",6,-,-,2005,북성로 178,-,-,-
63,경상남도 창원시 마산회원구 양덕동,153-14,0153,0014,리첸시아,31.5000,202103,08,"3,000",8,-,-,2003,봉양로 13,-,-,-
64,경상남도 창원시 마산회원구 양덕동,832-7,0832,0007,양덕 엘렌시아,56.7650,202102,24,"13,000",2,-,-,2018, ,-,-,-
65,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,26.9800,202102,16,"3,000",6,-,-,2003,양덕동2길 17,-,-,-
66,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,26.9800,202102,16,"3,000",5,-,-,2003,양덕동2길 17,-,-,-
67,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,53.7200,202102,16,"14,500",20,-,-,2016, ,-,-,-
68,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,26.9800,202102,16,"3,000",6,-,-,2003,양덕동2길 17,-,-,-
69,경상남도 창원시 마산회원구 합성동,324-2,0324,0002,(324-2),28.1200,202102,16,"3,100",4,-,-,2003,합성남8길 67,-,-,-
70,경상남도 창원시 마산회원구 양덕동,153-5,0153,0005,비전 스카이 아파트,33.2300,202102,08,"7,100",14,-,-,2005,해안대로 607,-,-,-
71,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,28.4300,202102,05,"3,700",4,-,-,2003,양덕동2길 17,-,-,-
72,경상남도 창원시 마산회원구 양덕동,153-8,0153,0008,한진오피스텔,27.6400,202102,04,"2,500",14,-,-,1991,합포로 274,-,-,-
73,경상남도 창원시 마산회원구 내서읍 호계리,296,0296,0000,내서 신화하니엘 더시티,50.9286,202101,23,"12,500",4,-,-,2017,호원로 223,-,-,-
74,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,26.5200,202101,16,"2,000",6,-,-,2003,양덕동2길 17,-,-,-
75,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,26.5200,202101,16,"2,500",8,-,-,2003,양덕동2길 17,-,-,-
76,경상남도 창원시 마산회원구 양덕동,153-8,0153,0008,한진오피스텔,26.6400,202101,15,"2,400",12,-,-,1991,합포로 274,-,-,-
