NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
53,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,42.8300,202408,16,"4,500",12,개인,개인,1999,해안대로 15,-,중개거래,경남 창원시 마산합포구
54,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,24.5000,202408,15,"2,250",5,개인,개인,2006,해안대로 367,-,직거래,-
55,경상남도 창원시 마산합포구 산호동,427-2,0427,0002,기전모닝텔,35.2000,202408,09,"3,600",3,개인,개인,1998,합포남2길 6,-,중개거래,경남 창원시 마산합포구
56,경상남도 창원시 마산합포구 해운동,65-2,0065,0002,한백마이존,26.4000,202408,06,"2,800",4,개인,개인,1999,월영동13길 9,-,중개거래,경남 창원시마산합포구
57,경상남도 창원시 마산합포구 신포동2가,85-6,0085,0006,기전씨티텔,29.3700,202408,02,"2,700",8,개인,개인,1998,동서동2길 41,-,중개거래,경남 창원시 마산합포구
58,경상남도 창원시 마산합포구 산호동,7-5,0007,0005,동인노블리앙,40.1800,202407,30,"6,800",8,개인,개인,2004,산호북19길 11,-,중개거래,경남 창원시마산합포구
59,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",4,개인,개인,2004,산호남2길 1,-,중개거래,경남 창원시 마산합포구
60,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,24.5000,202407,23,"2,730",9,개인,개인,2006,해안대로 367,-,중개거래,경남 창원시마산합포구
61,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",2,개인,개인,2004,산호남2길 1,20240809,중개거래,경남 창원시마산합포구
62,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",2,개인,개인,2004,산호남2길 1,20240809,중개거래,경남 창원시마산합포구
63,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",3,개인,개인,2004,산호남2길 1,20240809,중개거래,경남 창원시마산합포구
64,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",3,개인,개인,2004,산호남2길 1,20240814,중개거래,경남 창원시 마산합포구
65,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",3,개인,개인,2004,산호남2길 1,20240814,중개거래,경남 창원시 마산합포구
66,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",4,개인,개인,2004,산호남2길 1,20240814,중개거래,경남 창원시 마산합포구
67,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",2,개인,개인,2004,산호남2길 1,20240814,중개거래,경남 창원시 마산합포구
68,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",2,개인,개인,2004,산호남2길 1,20240814,중개거래,경남 창원시 마산합포구
69,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",3,개인,개인,2004,산호남2길 1,20240814,중개거래,경남 창원시 마산합포구
70,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",2,개인,개인,2004,산호남2길 1,20240814,중개거래,경남 창원시 마산합포구
71,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",2,개인,개인,2004,산호남2길 1,-,중개거래,경남 창원시 마산합포구
72,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",2,개인,개인,2004,산호남2길 1,-,중개거래,경남 창원시 마산합포구
73,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",3,개인,개인,2004,산호남2길 1,-,중개거래,경남 창원시 마산합포구
74,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",3,개인,개인,2004,산호남2길 1,-,중개거래,경남 창원시 마산합포구
75,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",2,개인,개인,2004,산호남2길 1,-,중개거래,경남 창원시 마산합포구
76,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202407,23,"2,100",3,개인,개인,2004,산호남2길 1,-,중개거래,경남 창원시 마산합포구
77,경상남도 창원시 마산합포구 오동동,28-1,0028,0001,오동동 다:숲,39.6785,202407,22,"10,100",2,개인,개인,2017,합포로 99,-,중개거래,경남 창원시 마산합포구
78,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,25.2000,202407,22,"3,100",9,법인,개인,1999,해안대로 15,-,중개거래,경남 창원시마산합포구
79,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,25.9300,202407,18,"2,800",8,개인,개인,1999,해안대로 15,-,중개거래,경남 창원시마산합포구
80,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,27.3900,202407,13,"3,500",14,개인,개인,1999,해안대로 15,-,중개거래,경남 창원시마산합포구
81,경상남도 창원시 마산합포구 서성동,83-12,0083,0012,(83-12),33.2150,202407,12,"3,400",5,개인,개인,2003,동서남1길 16,-,중개거래,경남 창원시마산합포구
82,경상남도 창원시 마산합포구 해운동,65-2,0065,0002,한백마이존,26.4000,202407,10,"3,050",7,개인,개인,1999,월영동13길 9,-,중개거래,경남 창원시마산합포구
83,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,42.9900,202407,06,"8,500",8,개인,법인,2017,해안대로 376,-,중개거래,경남 창원시마산합포구
84,경상남도 창원시 마산합포구 산호동,427-2,0427,0002,기전모닝텔,32.8000,202407,05,"3,150",12,개인,개인,1998,합포남2길 6,-,직거래,-
85,경상남도 창원시 마산합포구 진동면 진동리,201,0201,0000,마산 신화하니엘 더 마린,73.2194,202407,03,"11,500",6,개인,개인,2016,동촌길 185,-,중개거래,경남 창원시마산합포구
86,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,24.5000,202407,01,"2,800",7,개인,개인,2006,해안대로 367,-,중개거래,경남 창원시마산회원구
87,경상남도 창원시 마산합포구 산호동,316-6,0316,0006,상신크루지움 오피스텔,23.9200,202407,01,"6,000",9,개인,개인,2015,합포로 162,-,중개거래,경남 창원시마산합포구
88,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,21.4400,202406,25,"2,500",13,개인,개인,1999,해안대로 15,-,중개거래,경남 창원시마산합포구
89,경상남도 창원시 마산합포구 해운동,65-2,0065,0002,한백마이존,26.4000,202406,25,"3,250",8,개인,개인,1999,월영동13길 9,-,중개거래,경남 창원시마산합포구
90,경상남도 창원시 마산합포구 월남동3가,13,0013,0000,씨티빌-Ⅱ오피스텔,24.0980,202406,24,"4,250",4,개인,개인,2003,3·15대로 47,-,중개거래,경남 창원시마산합포구
91,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,25.2000,202406,19,"2,900",7,개인,개인,1999,해안대로 15,-,중개거래,경남 창원시마산합포구
92,경상남도 창원시 마산합포구 오동동,17-150,0017,0150,삼광프리존,27.0075,202406,18,"3,000",12,법인,개인,2003,합포로 102,-,중개거래,경남 창원시마산합포구
93,경상남도 창원시 마산합포구 산호동,316-6,0316,0006,상신크루지움 오피스텔,23.9200,202406,18,"6,000",9,개인,개인,2015,합포로 162,-,중개거래,경남 창원시마산합포구
94,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,23.2698,202406,12,"9,000",8,개인,개인,2019,동서동2길 60,-,직거래,-
95,경상남도 창원시 마산합포구 오동동,17-135,0017,0135,가고파오피스텔,98.2800,202406,11,"2,755",8,개인,법인,1991,오동동10길 56,-,직거래,-
96,경상남도 창원시 마산합포구 동성동,315-1,0315,0001,삼오빌딩,35.7700,202406,05,"3,050",9,개인,개인,2003,해안대로 359,-,직거래,-
97,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,42.9900,202405,30,"8,300",8,개인,법인,2017,해안대로 376,-,중개거래,경남 창원시마산합포구
98,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,24.7440,202405,28,"4,450",3,개인,개인,2017,해안대로 376,-,직거래,-
99,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,24.7440,202405,28,"4,450",3,개인,개인,2017,해안대로 376,-,직거래,-
100,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,24.7440,202405,28,"4,450",3,개인,개인,2017,해안대로 376,-,직거래,-
101,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,24.5000,202405,28,"2,500",9,개인,개인,2006,해안대로 367,-,중개거래,경남 창원시마산합포구
102,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,24.7440,202405,28,"4,450",3,개인,개인,2017,해안대로 376,-,직거래,-
103,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,24.7440,202405,28,"4,450",3,개인,개인,2017,해안대로 376,-,직거래,-
