,,2015년 1월말 주민등록인구 및 외국인 현황,,,,,,,,
중앙동          ," 8,972 "," 4,337 "," 4,635 "," 8,936 ","4,325 ","4,611 ","3,412 ", 36 , 12 , 24 
완월동          ," 11,432 "," 5,617 "," 5,815 "," 11,392 ","5,602 ","5,790 ","4,407 ", 40 , 15 , 25 
자산동          ," 13,564 "," 6,728 "," 6,836 "," 13,531 ","6,722 ","6,809 ","5,225 ", 33 , 6 , 27 
동서동          ," 11,680 "," 5,738 "," 5,942 "," 11,566 ","5,687 ","5,879 ","4,934 ", 114 , 51 , 63 
성호동          ," 4,578 "," 2,256 "," 2,322 "," 4,552 ","2,253 ","2,299 ","2,105 ", 26 , 3 , 23 
교방동          ," 11,386 "," 5,654 "," 5,732 "," 11,359 ","5,650 ","5,709 ","4,411 ", 27 , 4 , 23 
노산동          ," 7,751 "," 3,867 "," 3,884 "," 7,713 ","3,857 ","3,856 ","3,367 ", 38 , 10 , 28 
오동동          ," 6,526 "," 3,326 "," 3,200 "," 6,495 ","3,317 ","3,178 ","3,286 ", 31 , 9 , 22 
합포동          ," 7,816 "," 3,947 "," 3,869 "," 7,779 ","3,934 ","3,845 ","3,654 ", 37 , 13 , 24 
산호동          ," 14,490 "," 7,186 "," 7,304 "," 14,384 ","7,151 ","7,233 ","6,401 ", 106 , 35 , 71 
마산회원구," 216,256 "," 109,755 "," 106,501 "," 213,800 "," 108,323 "," 105,477 "," 83,334 "," 2,456 "," 1,432 "," 1,024 "
내서읍          ," 72,936 "," 36,812 "," 36,124 "," 72,411 ","36,489 ","35,922 ","24,472 ", 525 , 323 , 202 
회원1동         ," 12,518 "," 6,264 "," 6,254 "," 12,444 ","6,246 ","6,198 ","5,440 ", 74 , 18 , 56 
회원2동         ," 14,041 "," 7,024 "," 7,017 "," 13,991 ","7,015 ","6,976 ","5,913 ", 50 , 9 , 41 
석전1동         ," 8,080 "," 4,107 "," 3,973 "," 8,025 ","4,091 ","3,934 ","3,420 ", 55 , 16 , 39 
석전2동         ," 10,113 "," 5,084 "," 5,029 "," 9,991 ","5,034 ","4,957 ","4,260 ", 122 , 50 , 72 
회성동          ," 7,880 "," 4,081 "," 3,799 "," 7,837 ","4,074 ","3,763 ","3,395 ", 43 , 7 , 36 
양덕1동         ," 13,463 "," 6,817 "," 6,646 "," 13,274 ","6,696 ","6,578 ","5,693 ", 189 , 121 , 68 
양덕2동         ," 29,418 "," 14,906 "," 14,512 "," 29,164 ","14,734 ","14,430 ","10,348 ", 254 , 172 , 82 
합성1동         ," 8,883 "," 4,581 "," 4,302 "," 8,791 ","4,547 ","4,244 ","4,083 ", 92 , 34 , 58 
합성2동         ," 10,529 "," 5,307 "," 5,222 "," 10,379 ","5,241 ","5,138 ","4,876 ", 150 , 66 , 84 
구암1동         ," 11,590 "," 5,868 "," 5,722 "," 11,505 ","5,847 ","5,658 ","4,756 ", 85 , 21 , 64 
구암2동         ," 11,639 "," 5,870 "," 5,769 "," 11,496 ","5,814 ","5,682 ","4,516 ", 143 , 56 , 87 
봉암동          ," 5,166 "," 3,034 "," 2,132 "," 4,492 ","2,495 ","1,997 ","2,162 ", 674 , 539 , 135 
진해구," 185,206 "," 95,292 "," 89,914 "," 181,797 "," 92,874 "," 88,923 "," 70,176 "," 3,409 "," 2,418 ", 991 
중앙동          ," 9,511 "," 4,979 "," 4,532 "," 9,479 ","4,968 ","4,511 ","3,333 ", 32 , 11 , 21 
태평동          ," 6,837 "," 3,516 "," 3,321 "," 6,791 ","3,483 ","3,308 ","2,766 ", 46 , 33 , 13 
충무동          ," 4,686 "," 2,370 "," 2,316 "," 4,639 ","2,349 ","2,290 ","2,090 ", 47 , 21 , 26 
여좌동          ," 12,161 "," 6,073 "," 6,088 "," 12,071 ","6,046 ","6,025 ","5,209 ", 90 , 27 , 63 
태백동          ," 6,890 "," 3,505 "," 3,385 "," 6,859 ","3,498 ","3,361 ","3,113 ", 31 , 7 , 24 
경화동          ," 11,162 "," 5,681 "," 5,481 "," 11,121 ","5,669 ","5,452 ","4,251 ", 41 , 12 , 29 
병암동          ," 9,035 "," 4,485 "," 4,550 "," 8,980 ","4,461 ","4,519 ","3,525 ", 55 , 24 , 31 
석동            ," 19,877 "," 10,076 "," 9,801 "," 19,725 ","10,007 ","9,718 ","6,833 ", 152 , 69 , 83 
이동            ," 11,581 "," 6,013 "," 5,568 "," 11,460 ","5,962 ","5,498 ","5,122 ", 121 , 51 , 70 
자은동          ," 12,507 "," 6,297 "," 6,210 "," 12,427 ","6,267 ","6,160 ","4,569 ", 80 , 30 , 50 
덕산동          ," 12,415 "," 6,129 "," 6,286 "," 12,367 ","6,099 ","6,268 ","4,324 ", 48 , 30 , 18 
풍호동          ," 18,184 "," 9,073 "," 9,111 "," 18,031 ","8,977 ","9,054 ","5,982 ", 153 , 96 , 57 
웅천동          ," 5,054 "," 2,963 "," 2,091 "," 4,340 ","2,279 ","2,061 ","2,053 ", 714 , 684 , 30 
웅동1동         ," 9,651 "," 5,313 "," 4,338 "," 8,788 ","4,488 ","4,300 ","3,231 ", 863 , 825 , 38 
웅동2동         ," 35,655 "," 18,819 "," 16,836 "," 34,719 ","18,321 ","16,398 ","13,775 ", 936 , 498 , 438 
