NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
90,경상남도 창원시 성산구 반지동,3*,단독,12m미만,164.13,207.80,202204,22,"35,000",-,-,1987,반송로29번길,-,중개거래,경남 창원의창구
91,경상남도 창원시 성산구 반지동,9*,단독,12m미만,164.36,218.80,202204,15,"30,000",-,-,1987,창원천로138번길,-,중개거래,경남 창원성산구 경남 창원의창구
92,경상남도 창원시 성산구 중앙동,3*,단독,25m미만,328.17,238.70,202204,10,"35,000",-,-,1995,외동반림로,-,직거래,-
93,경상남도 창원시 성산구 가음동,*,다가구,12m미만,281.66,288.90,202204,09,"81,500",-,-,2015,가음정로11번길,-,중개거래,경남 창원성산구
94,경상남도 창원시 성산구 신월동,8*,단독,12m미만,321.24,239.30,202204,07,"40,000",-,-,1993,신월로86번길,-,직거래,-
95,경상남도 창원시 성산구 신월동,6*,단독,12m미만,230.41,254.30,202204,05,"26,000",-,-,1994,신사로21번길,-,직거래,-
96,경상남도 창원시 성산구 중앙동,4*,단독,12m미만,234.28,252.30,202203,30,"41,500",-,-,2002,외동반림로46번길,-,중개거래,경남 창원성산구
97,경상남도 창원시 성산구 중앙동,2*,단독,25m미만,99.75,261.30,202203,23,"34,500",-,-,2009,외동반림로,-,중개거래,경남 창원성산구
98,경상남도 창원시 성산구 반지동,6*,단독,12m미만,184.04,221.40,202203,14,"33,000",-,-,1989,반지로16번길,-,중개거래,경남 창원성산구
99,경상남도 창원시 성산구 중앙동,3*,다가구,12m미만,231.28,242.80,202203,08,"53,000",-,-,2009,원이대로566번길,-,중개거래,부산 연제구
100,경상남도 창원시 성산구 가음동,4*,단독,12m미만,385.92,265.10,202203,03,"65,500",-,-,2002,가양로34번길,-,중개거래,경남 창원성산구
101,경상남도 창원시 성산구 중앙동,3*,단독,12m미만,242.40,256.40,202203,01,"65,000",-,-,2015,외동반림로54번길,-,중개거래,경남 창원성산구
102,경상남도 창원시 성산구 반지동,9*,단독,12m미만,209.97,249.30,202202,23,"38,500",-,-,1987,창원천로196번길,-,중개거래,경남 창원성산구
