NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
95,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,321.31,198.10,202406,14,"69,500",개인,개인,2013,용원남로17번길,-,직거래,-
96,경상남도 창원시 진해구 북부동,2**,단독,8m미만,138.78,526.00,202406,12,"41,000",개인,개인,2003,웅천북로58번길,-,중개거래,경남 창원시진해구
97,경상남도 창원시 진해구 여좌동,1**,단독,12m미만,82.32,167.70,202406,12,"17,000",개인,개인,1975,여좌남로42번길,-,중개거래,경남 창원시진해구
98,경상남도 창원시 진해구 경화동,1***,단독,8m미만,77.25,152.00,202406,11,"12,000",개인,개인,1993,조천북로97번나길,-,직거래,-
99,경상남도 창원시 진해구 경화동,1***,다가구,8m미만,483.24,270.20,202406,11,"87,413",공공기관,개인,2023,경화로15번길,-,중개거래,경남 창원시의창구
100,경상남도 창원시 진해구 경화동,9**,다가구,12m미만,507.32,392.00,202406,05,"105,037",공공기관,개인,2023,경화로38번길,-,중개거래,경남 창원시성산구
101,경상남도 창원시 진해구 여좌동,1**,단독,12m미만,157.00,109.90,202406,05,"16,500",개인,개인,1979,여좌천로,-,중개거래,경남 창원시진해구
102,경상남도 창원시 진해구 여좌동,7**,단독,12m미만,134.63,130.20,202406,04,"20,800",개인,개인,1994,여좌남로16번길,-,중개거래,경남 창원시 진해구
103,경상남도 창원시 진해구 청안동,2**,단독,8m미만,62.43,509.00,202406,04,"50,000",개인,개인,1979,청안로233번길,-,직거래,-
104,경상남도 창원시 진해구 제황산동,2*,다가구,12m미만,223.94,139.00,202406,03,"9,400",개인,개인,1974,태평로37번안길,-,중개거래,경남 창원시진해구
105,경상남도 창원시 진해구 이동,8*,다가구,25m미만,420.90,215.00,202405,31,"53,000",개인,개인,2010,냉천로30번길,20240701,직거래,-
106,경상남도 창원시 진해구 여좌동,9*,단독,8m미만,98.51,105.40,202405,30,"5,700",개인,개인,1980,여좌로58번길,-,중개거래,경남 창원시진해구
107,경상남도 창원시 진해구 석동,2**,다가구,8m미만,326.70,182.90,202405,27,"56,200",개인,개인,2009,진해대로802번길,-,중개거래,경남 창원시 진해구
108,경상남도 창원시 진해구 제황산동,2*,단독,8m미만,32.66,40.00,202405,23,"1,200",개인,개인,1959,제황로,-,직거래,-
109,경상남도 창원시 진해구 여좌동,7**,단독,8m미만,48.90,173.80,202405,17,"26,000",공공기관,개인,1989,충장로,-,직거래,-
110,경상남도 창원시 진해구 이동,6**,단독,12m미만,175.57,178.60,202405,13,"25,000",개인,개인,1992,이동로28번길,-,중개거래,경남 창원시진해구
111,경상남도 창원시 진해구 경화동,1***,단독,8m미만,78.78,201.00,202405,10,"12,700",개인,개인,1978,진해대로614번길,-,중개거래,경남 창원시진해구
112,경상남도 창원시 진해구 이동,6**,단독,8m미만,103.37,204.10,202405,08,"21,700",개인,개인,1995,이동로40번길,-,중개거래,경남 창원시진해구
113,경상남도 창원시 진해구 경화동,1***,단독,8m미만,76.93,145.10,202405,08,"18,700",개인,개인,1979,충장로245번길,-,중개거래,경남 창원시진해구
114,경상남도 창원시 진해구 서중동,1**,단독,8m미만,70.45,430.00,202404,30,"25,500",개인,개인,1926,웅천서로112번길,-,중개거래,경남 창원시진해구
115,경상남도 창원시 진해구 소사동,1**,단독,8m미만,23.80,260.00,202404,29,"15,700",개인,개인,1945,소사로59번나길,-,중개거래,경남 창원시진해구
116,경상남도 창원시 진해구 경화동,2**,단독,8m미만,42.00,76.00,202404,26,"6,000",개인,개인,2000,경화로12번길,-,직거래,-
117,경상남도 창원시 진해구 경화동,1***,단독,8m미만,85.66,185.80,202404,26,"24,000",개인,개인,1977,충장로289번길,-,중개거래,경남 창원시진해구
118,경상남도 창원시 진해구 제황산동,2*,단독,8m미만,29.75,109.00,202404,25,"3,000",개인,개인,1979,제황로,-,직거래,-
119,경상남도 창원시 진해구 제황산동,2*,단독,8m미만,44.40,112.00,202404,25,"6,000",개인,개인,1999,태평로37번안길,-,직거래,-
120,경상남도 창원시 진해구 경화동,1***,다가구,12m미만,753.64,339.50,202404,24,"130,000",개인,개인,2010,중초로9번길,20241031,직거래,-
121,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,494.45,246.10,202404,23,"70,500",개인,개인,2011,용재로3번길,-,중개거래,경남 창원시진해구
122,경상남도 창원시 진해구 행암동,1**,단독,8m미만,65.86,124.00,202404,21,"10,000",개인,개인,2010,행암로217번길,-,직거래,-
123,경상남도 창원시 진해구 태평동,8*,단독,12m미만,133.04,129.60,202404,19,"11,000",개인,개인,2011,태평로92번길,-,직거래,-
124,경상남도 창원시 진해구 자은동,9**,다가구,25m미만,377.22,180.50,202404,16,"42,000",개인,개인,2006,냉천로,-,중개거래,경남 창원시진해구
125,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,421.38,217.80,202404,16,"53,300",개인,개인,2011,용원중로25번길,-,중개거래,경남 창원시진해구
126,경상남도 창원시 진해구 명동,5**,단독,8m미만,19.83,198.00,202404,16,"14,200",개인,개인,1934,명동로85번길,-,직거래,-
127,경상남도 창원시 진해구 여좌동,9*,단독,8m미만,48.17,101.50,202404,15,"4,400",개인,개인,1954,여좌천로80번길,-,중개거래,경남 창원시의창구
128,경상남도 창원시 진해구 대장동,9*,단독,8m미만,66.15,350.00,202404,15,"18,000",법인,개인,1996,,-,중개거래,부산 강서구
129,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,389.62,207.90,202404,15,"70,000",개인,개인,2016,용원남로27번길,-,중개거래,경남 창원시진해구
130,경상남도 창원시 진해구 창선동,*,단독,25m이상,41.66,29.80,202404,14,"2,000",개인,개인,1938,벚꽃로,-,중개거래,경남 창원시진해구
131,경상남도 창원시 진해구 창선동,*,단독,25m이상,59.60,43.00,202404,14,"5,500",개인,개인,1938,벚꽃로,-,중개거래,경남 창원시진해구
132,경상남도 창원시 진해구 이동,6**,단독,12m미만,103.89,235.50,202404,13,"29,500",개인,개인,1999,이동로38번길,-,중개거래,경남 창원시진해구
133,경상남도 창원시 진해구 청안동,5*,단독,8m미만,30.00,276.00,202404,12,"18,000",개인,개인,1925,청안로234번길,-,중개거래,경남 창원시마산회원구
134,경상남도 창원시 진해구 여좌동,*,단독,12m미만,159.81,240.20,202404,12,"30,000",개인,개인,2000,여좌로99번다길,-,중개거래,경남 창원시진해구
135,경상남도 창원시 진해구 경화동,1***,단독,8m미만,81.82,168.70,202404,06,"17,500",개인,개인,1977,경화로29번길,-,중개거래,경남 창원시진해구
136,경상남도 창원시 진해구 여좌동,7**,단독,8m미만,165.18,170.20,202404,04,"23,500",개인,개인,1995,충장로63번길,-,중개거래,경남 창원시진해구
137,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,320.94,215.40,202404,03,"46,500",개인,개인,2006,용원중로26번길,-,중개거래,경남 창원시진해구
138,경상남도 창원시 진해구 용원동,1***,단독,12m미만,64.96,201.10,202404,02,"23,000",개인,개인,2006,용원북로11번길,-,중개거래,경남 창원시진해구
139,경상남도 창원시 진해구 경화동,1***,단독,25m미만,186.53,628.00,202403,26,"84,100",개인,개인,1994,경화로,-,중개거래,경남 창원시진해구
140,경상남도 창원시 진해구 석동,6**,단독,12m미만,398.28,243.10,202403,21,"59,000",개인,개인,2010,석동로67번길,-,중개거래,경남 창원시의창구
141,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,491.10,241.20,202403,21,"60,000",개인,개인,2010,용재로35번길,-,중개거래,경남 창원시진해구
142,경상남도 창원시 진해구 여좌동,1**,단독,12m미만,128.91,124.00,202403,20,"25,500",개인,개인,2001,여명로25번나길,-,중개거래,경남 창원시진해구
143,경상남도 창원시 진해구 여좌동,1**,단독,,99.65,98.90,202403,19,"10,950",개인,개인,1979,여좌천로,-,중개거래,경남 창원시진해구
144,경상남도 창원시 진해구 경화동,1***,다가구,,421.67,219.70,202403,18,"54,800",개인,개인,2014,경화로45번길,-,중개거래,경남 창원시진해구
145,경상남도 창원시 진해구 용원동,1***,단독,12m미만,89.13,245.00,202403,16,"33,000",개인,개인,1999,용원중로5번길,-,중개거래,경남 창원시진해구
146,경상남도 창원시 진해구 청안동,2**,단독,,34.00,221.00,202403,12,"20,000",개인,개인,1923,청안로233번길,-,직거래,-
147,경상남도 창원시 진해구 경화동,1***,단독,12m미만,89.09,285.20,202403,11,"33,000",개인,개인,1938,,-,직거래,-
148,경상남도 창원시 진해구 석동,1**,다가구,8m미만,313.02,180.80,202403,10,"47,000",개인,개인,2011,동진로49번길,-,중개거래,경남 창원시진해구
149,경상남도 창원시 진해구 여좌동,7**,단독,,178.11,185.80,202403,09,"26,000",개인,개인,1994,여좌남로10번길,-,중개거래,경남 창원시진해구
150,경상남도 창원시 진해구 이동,6**,단독,,120.19,202.60,202403,09,"22,200",개인,개인,1993,충장로442번길,-,직거래,-
151,경상남도 창원시 진해구 장천동,7**,단독,,83.73,158.00,202403,07,"11,000",개인,개인,1993,행암로92번안길,-,직거래,-
152,경상남도 창원시 진해구 이동,3**,단독,12m미만,84.62,166.00,202403,06,"18,700",개인,개인,1987,충장로405번길,-,중개거래,경남 창원시진해구
153,경상남도 창원시 진해구 이동,6**,단독,12m미만,139.32,212.20,202403,05,"29,500",개인,개인,1995,충장로468번길,-,중개거래,경남 창원시진해구
154,경상남도 창원시 진해구 태백동,*,다가구,,138.14,125.60,202403,05,"10,000",개인,개인,1980,태백서로,-,직거래,-
155,경상남도 창원시 진해구 용원동,1***,다가구,,472.90,215.20,202403,04,"52,000",개인,개인,2012,용원로78번길,-,직거래,-
156,경상남도 창원시 진해구 이동,6**,단독,,84.75,186.90,202403,04,"19,000",개인,개인,1993,충장로468번길,-,직거래,-
157,경상남도 창원시 진해구 용원동,1***,다가구,,455.66,245.60,202402,29,"53,500",개인,개인,2006,용재로29번길,-,중개거래,경남 창원시진해구
158,경상남도 창원시 진해구 풍호동,7**,다가구,8m미만,369.72,208.00,202402,29,"62,500",개인,개인,2018,덕산로36번길,-,중개거래,경남 창원시진해구
159,경상남도 창원시 진해구 제덕동,1**,단독,,39.21,38.00,202402,27,"3,000",개인,개인,1906,,-,직거래,-
160,경상남도 창원시 진해구 용원동,1***,다가구,,435.28,233.90,202402,27,"74,000",개인,개인,2015,용원남로17번길,-,중개거래,경남 창원시진해구
161,경상남도 창원시 진해구 제황산동,2*,단독,8m미만,124.55,162.00,202402,26,"11,000",개인,개인,1989,인사로28번길,-,중개거래,경남 창원시진해구
162,경상남도 창원시 진해구 여좌동,7**,단독,,115.59,118.30,202402,26,"11,500",개인,개인,1986,여좌로15번길,-,직거래,-
163,경상남도 창원시 진해구 경화동,1***,다가구,,150.38,162.00,202402,20,"19,790",개인,개인,1988,중초로,-,직거래,-
164,경상남도 창원시 진해구 경화동,1***,단독,,55.74,101.20,202402,17,"8,500",개인,개인,1975,중초로9번길,-,중개거래,경남 창원시진해구
165,경상남도 창원시 진해구 경화동,1***,단독,,80.26,165.20,202402,07,"15,000",개인,개인,1982,경화로37번길,-,직거래,-
166,경상남도 창원시 진해구 용원동,1***,다가구,,145.33,245.70,202402,02,"60,000",법인,개인,2010,용원로,-,중개거래,경남 창원시진해구
167,경상남도 창원시 진해구 송학동,5*,단독,,63.00,87.40,202401,29,"18,500",개인,개인,1987,벚꽃로60번길,-,직거래,-
168,경상남도 창원시 진해구 여좌동,1**,단독,25m미만,275.94,284.20,202401,27,"35,000",개인,개인,1990,여좌로,-,중개거래,"경남 창원시성산구, 경남 창원시진해구"
169,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,492.42,231.30,202401,26,"40,000",개인,개인,2004,용재로67번길,-,중개거래,경남 창원시진해구
170,경상남도 창원시 진해구 대죽동,3*,단독,8m미만,49.72,99.00,202401,23,"7,200",개인,개인,1977,태평로48번길,-,직거래,-
171,경상남도 창원시 진해구 경화동,9**,단독,8m미만,18.55,44.00,202401,23,"2,200",개인,개인,1978,경화로30번길,-,직거래,-
172,경상남도 창원시 진해구 충의동,2*,단독,,216.38,107.40,202401,19,"33,000",개인,개인,2013,중원동로10번길,-,중개거래,경남 창원시진해구
173,경상남도 창원시 진해구 석동,1**,다가구,,387.64,203.60,202401,19,"49,250",개인,개인,2008,동진로35번길,-,중개거래,경남 창원시진해구
174,경상남도 창원시 진해구 충의동,4*,단독,,99.00,89.30,202401,18,"15,500",개인,개인,2002,중원동로10번길,-,중개거래,경남 창원시진해구
175,경상남도 창원시 진해구 제덕동,1**,단독,8m미만,39.21,38.00,202401,17,"1,700",개인,개인,1906,,20240125,직거래,-
176,경상남도 창원시 진해구 경화동,1***,다가구,,150.38,162.00,202401,16,"20,000",개인,개인,1988,중초로,20240220,직거래,-
177,경상남도 창원시 진해구 북부동,6**,단독,,180.90,526.00,202401,16,"55,000",개인,개인,2014,웅천북로58번안길,-,중개거래,경남 창원시진해구
178,경상남도 창원시 진해구 자은동,9**,단독,,53.20,142.00,202401,16,"7,700",개인,개인,2002,덕산로51번길,-,중개거래,경남 창원시진해구
179,경상남도 창원시 진해구 가주동,8*,단독,,221.76,373.00,202401,13,"36,100",개인,개인,1995,가주로,-,중개거래,부산 강서구
180,경상남도 창원시 진해구 가주동,8*,단독,12m미만,73.00,410.00,202401,12,"48,360",개인,개인,1945,가주로,-,직거래,-
