NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
81,경상남도 창원시 성산구 용호동,4*,단독,-,293.49,277.40,202010,22,"50,000",-,-,1991,외동반림로266번길,20201024,-,-
82,경상남도 창원시 성산구 신월동,8*,단독,12m미만,229.18,274.70,202010,22,"45,000",-,-,1993,신월로86번길,-,-,-
83,경상남도 창원시 성산구 신월동,5*,다가구,-,486.93,355.90,202010,22,"111,700",-,-,2002,신사로21번길,-,-,-
84,경상남도 창원시 성산구 용호동,4*,단독,-,293.49,277.40,202010,22,"50,000",-,-,1991,외동반림로266번길,-,-,-
85,경상남도 창원시 성산구 상남동,9*,단독,12m미만,245.20,262.40,202010,21,"53,000",-,-,2002,동산로65번길,-,-,-
86,경상남도 창원시 성산구 대원동,*,단독,-,72.23,194.90,202010,21,"54,300",-,-,1978,,-,-,-
87,경상남도 창원시 성산구 사파동,1**,단독,25m미만,426.87,327.20,202010,20,"64,000",-,-,1999,창이대로690번길,-,-,-
88,경상남도 창원시 성산구 중앙동,5*,단독,12m미만,161.64,285.30,202010,20,"40,500",-,-,1980,외동반림로68번길,-,-,-
89,경상남도 창원시 성산구 사파동,1**,단독,12m미만,227.92,246.00,202010,19,"40,000",-,-,1996,동산로176번길,-,-,-
90,경상남도 창원시 성산구 신월동,1*,단독,-,118.99,116.90,202010,17,"42,500",-,-,1985,창이대로566번길,-,-,-
91,경상남도 창원시 성산구 반지동,1**,다가구,12m미만,385.61,266.40,202010,16,"49,000",-,-,2000,창원천로166번길,-,-,-
92,경상남도 창원시 성산구 남양동,3*,단독,25m미만,355.22,256.30,202010,15,"59,800",-,-,1996,가음로,-,-,-
93,경상남도 창원시 성산구 가음동,*,다가구,12m미만,265.68,274.00,202010,14,"83,000",-,-,2016,가음정로11번길,-,-,-
94,경상남도 창원시 성산구 신월동,2*,단독,-,233.68,257.10,202010,13,"45,500",-,-,2000,신월로85번길,-,-,-
95,경상남도 창원시 성산구 대원동,2*,단독,-,72.23,179.70,202010,13,"60,500",-,-,1978,,-,-,-
96,경상남도 창원시 성산구 대원동,1**,다가구,-,282.50,291.00,202010,12,"73,000",-,-,2001,대원로,-,-,-
97,경상남도 창원시 성산구 용호동,3*,다가구,-,322.00,335.80,202010,10,"81,000",-,-,2002,,-,-,-
98,경상남도 창원시 성산구 용호동,3*,다가구,-,322.00,335.80,202010,10,"81,000",-,-,2002,,-,-,-
99,경상남도 창원시 성산구 반지동,7*,단독,8m미만,263.61,232.00,202010,09,"34,700",-,-,1990,반지로4번길,-,-,-
100,경상남도 창원시 성산구 신월동,5*,단독,-,233.87,250.10,202010,08,"44,000",-,-,1997,상남로184번길,-,-,-
101,경상남도 창원시 성산구 사파동,8*,단독,12m미만,231.30,253.30,202010,08,"44,500",-,-,2001,창이대로707번길,-,-,-
102,경상남도 창원시 성산구 상남동,5*,단독,25m미만,361.71,255.00,202010,07,"69,000",-,-,1997,단정로98번길,-,-,-
103,경상남도 창원시 성산구 귀산동,5**,단독,8m미만,47.91,245.00,202010,07,"27,750",-,-,2018,삼귀로,-,-,-
104,경상남도 창원시 성산구 신월동,8*,단독,-,325.04,254.20,202010,05,"34,200",-,-,1995,동산로175번길,-,-,-
105,경상남도 창원시 성산구 가음동,*,단독,12m미만,268.12,272.10,202010,05,"63,500",-,-,2016,가음정로23번길,-,-,-
106,경상남도 창원시 성산구 성주동,1**,단독,12m미만,257.10,261.90,202009,25,"56,000",-,-,2012,삼정자로53번길,-,-,-
107,경상남도 창원시 성산구 신월동,7*,다가구,-,220.38,241.80,202009,25,"62,000",-,-,2005,신사로35번길,-,-,-
108,경상남도 창원시 성산구 사파동,4*,단독,12m미만,239.08,252.60,202009,25,"50,500",-,-,2010,비음로45번길,-,-,-
109,경상남도 창원시 성산구 사파동,1**,다가구,12m미만,263.34,287.30,202009,24,"119,000",-,-,2014,동산로220번길,-,-,-
110,경상남도 창원시 성산구 신월동,1*,단독,8m미만,111.04,109.40,202009,22,"39,200",-,-,1988,창이대로590번길,-,-,-
111,경상남도 창원시 성산구 중앙동,2*,단독,25m미만,314.28,256.20,202009,21,"56,000",-,-,1987,외동반림로,-,-,-
112,경상남도 창원시 성산구 대원동,9*,단독,-,258.75,290.70,202009,21,"45,500",-,-,1991,대원로33번길,-,-,-
113,경상남도 창원시 성산구 사파동,1**,다가구,12m미만,231.18,251.70,202009,21,"54,500",-,-,2008,창이대로648번길,-,-,-
114,경상남도 창원시 성산구 반지동,5*,단독,12m미만,163.72,253.20,202009,17,"42,500",-,-,1988,반송로82번길,-,-,-
115,경상남도 창원시 성산구 반지동,9*,다가구,12m미만,208.02,218.70,202009,15,"48,000",-,-,2015,창원천로134번길,-,-,-
116,경상남도 창원시 성산구 반지동,7*,다가구,12m미만,197.16,228.70,202009,15,"39,500",-,-,1986,반지로16번길,-,-,-
117,경상남도 창원시 성산구 신월동,1*,단독,-,136.86,114.30,202009,14,"34,400",-,-,1987,신월로37번길,-,-,-
118,경상남도 창원시 성산구 신월동,7*,단독,-,191.32,241.00,202009,12,"36,700",-,-,1985,신사로51번길,-,-,-
119,경상남도 창원시 성산구 남양동,3*,단독,12m미만,343.53,249.10,202009,10,"42,900",-,-,1996,가음로57번길,-,-,-
120,경상남도 창원시 성산구 대방동,3**,단독,12m미만,337.41,469.10,202009,10,"89,900",-,-,1998,대암로171번길,-,-,-
121,경상남도 창원시 성산구 가음동,4*,다가구,12m미만,234.70,257.50,202009,09,"37,500",-,-,1998,가음로92번길,-,-,-
122,경상남도 창원시 성산구 사파동,1**,단독,12m미만,190.72,237.30,202009,08,"30,500",-,-,1985,창이대로648번길,-,-,-
123,경상남도 창원시 성산구 신월동,8*,단독,-,325.04,254.20,202009,07,"34,300",-,-,1995,동산로175번길,20201029,-,-
124,경상남도 창원시 성산구 신월동,1*,단독,-,113.34,114.50,202009,05,"32,000",-,-,1989,창이대로566번길,-,-,-
125,경상남도 창원시 성산구 신월동,1*,다가구,-,120.23,120.70,202009,04,"38,500",-,-,1986,신월로37번길,-,-,-
126,경상남도 창원시 성산구 사파동,6*,단독,25m미만,157.51,300.60,202009,04,"58,300",-,-,1999,창이대로689번길,-,-,-
127,경상남도 창원시 성산구 신월동,6*,단독,-,216.70,255.40,202009,04,"57,000",-,-,1999,신사로21번길,-,-,-
128,경상남도 창원시 성산구 대원동,1*,단독,-,120.32,171.00,202009,04,"54,500",-,-,1983,,-,-,-
129,경상남도 창원시 성산구 반지동,6*,단독,12m미만,188.90,225.70,202009,03,"27,000",-,-,1990,반송로82번길,-,-,-
130,경상남도 창원시 성산구 신월동,5*,단독,-,226.09,249.70,202008,31,"46,500",-,-,1995,상남로184번길,-,-,-
131,경상남도 창원시 성산구 사파동,2*,단독,12m미만,202.86,264.60,202008,29,"52,500",-,-,1999,창이대로639번길,-,-,-
132,경상남도 창원시 성산구 신월동,1*,단독,-,62.85,124.50,202008,27,"36,500",-,-,1984,상남로230번길,-,-,-
133,경상남도 창원시 성산구 중앙동,6*,다가구,12m미만,233.02,242.20,202008,27,"60,750",-,-,2012,원이대로566번길,-,-,-
134,경상남도 창원시 성산구 신월동,1*,단독,-,57.42,115.30,202008,26,"38,900",-,-,1987,상남로230번길,-,-,-
135,경상남도 창원시 성산구 신월동,1*,단독,-,120.44,121.80,202008,24,"39,500",-,-,1988,신월로37번길,-,-,-
136,경상남도 창원시 성산구 용호동,1*,단독,-,219.36,238.20,202008,24,"40,000",-,-,2000,창이대로478번길,-,-,-
137,경상남도 창원시 성산구 귀산동,5**,단독,8m미만,147.78,330.00,202008,24,"60,000",-,-,2005,삼귀로,-,-,-
138,경상남도 창원시 성산구 대원동,3*,단독,25m미만,88.35,218.70,202008,23,"68,684",-,-,1978,,-,-,-
139,경상남도 창원시 성산구 중앙동,4*,다가구,12m미만,225.03,243.30,202008,22,"40,000",-,-,2004,외동반림로40번길,20200915,-,-
140,경상남도 창원시 성산구 중앙동,4*,다가구,12m미만,225.03,243.30,202008,22,"40,000",-,-,2004,외동반림로40번길,-,-,-
141,경상남도 창원시 성산구 중앙동,4*,다가구,12m미만,225.03,243.30,202008,22,"40,000",-,-,2004,외동반림로40번길,20200914,-,-
142,경상남도 창원시 성산구 사파동,3*,단독,12m미만,177.31,240.90,202008,19,"53,700",-,-,2008,비음로27번길,-,-,-
143,경상남도 창원시 성산구 사파동,1**,다가구,12m미만,329.84,248.60,202008,17,"39,000",-,-,1992,동산로176번길,-,-,-
144,경상남도 창원시 성산구 신월동,1*,단독,-,55.20,111.50,202008,17,"15,000",-,-,1983,창이대로590번길,-,-,-
145,경상남도 창원시 성산구 대원동,1*,단독,-,98.52,198.90,202008,14,"63,000",-,-,1986,,-,-,-
146,경상남도 창원시 성산구 대원동,2*,단독,-,72.23,218.20,202008,11,"67,584",-,-,1978,,-,-,-
147,경상남도 창원시 성산구 용호동,1*,다가구,-,264.81,241.80,202008,11,"45,000",-,-,1990,용지로245번길,-,-,-
148,경상남도 창원시 성산구 신월동,1*,단독,-,111.00,111.40,202008,11,"32,000",-,-,1989,신월로37번길,-,-,-
149,경상남도 창원시 성산구 상남동,1**,다가구,12m미만,242.66,253.00,202008,10,"48,000",-,-,1999,동산로61번길,-,-,-
150,경상남도 창원시 성산구 사파동,8*,단독,12m미만,347.14,261.40,202008,07,"95,000",-,-,2010,창이대로695번길,-,-,-
151,경상남도 창원시 성산구 용호동,1*,다가구,-,237.30,239.90,202008,03,"59,000",-,-,2011,용지로245번길,-,-,-
152,경상남도 창원시 성산구 대원동,1*,단독,-,72.23,164.30,202008,03,"45,000",-,-,1978,,-,-,-
153,경상남도 창원시 성산구 신월동,1*,단독,-,73.02,113.20,202008,01,"34,800",-,-,1988,창이대로566번길,-,-,-
154,경상남도 창원시 성산구 반지동,9*,단독,12m미만,163.86,235.80,202007,31,"30,000",-,-,1988,창원천로138번길,-,-,-
