NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
101,경상남도 창원시 마산회원구 내서읍 용담리,3**,단독,8m미만,149.78,341.00,202010,01,"10,000",-,-,1984,용담로,-,-,-
102,경상남도 창원시 마산회원구 구암동,1***,단독,8m미만,129.40,123.50,202009,22,"11,500",-,-,1984,구암북17길,-,-,-
103,경상남도 창원시 마산회원구 구암동,1***,단독,8m미만,129.40,123.50,202009,22,"11,500",-,-,1984,구암북17길,20201006,-,-
104,경상남도 창원시 마산회원구 양덕동,1*,단독,12m미만,205.10,152.10,202009,21,"40,500",-,-,1974,양덕북5길,-,-,-
105,경상남도 창원시 마산회원구 구암동,2*,다가구,8m미만,131.89,130.60,202009,19,"19,000",-,-,1979,구암남2길,-,-,-
106,경상남도 창원시 마산회원구 회원동,3*,단독,25m미만,96.49,99.40,202009,18,"23,000",-,-,1978,회원동북로,-,-,-
107,경상남도 창원시 마산회원구 양덕동,2*,다가구,8m미만,143.31,162.00,202009,18,"30,800",-,-,1976,양덕동15길,-,-,-
108,경상남도 창원시 마산회원구 석전동,2**,단독,12m미만,122.97,145.50,202009,17,"17,000",-,-,1976,석전동2길,-,-,-
109,경상남도 창원시 마산회원구 합성동,8*,단독,8m미만,116.59,117.00,202009,17,"21,800",-,-,1977,합성서13길,-,-,-
110,경상남도 창원시 마산회원구 구암동,2*,단독,8m미만,91.64,91.40,202009,17,"11,000",-,-,1982,구암서1길,-,-,-
111,경상남도 창원시 마산회원구 구암동,2*,단독,12m미만,122.44,126.00,202009,16,"18,000",-,-,1979,구암남5길,20200928,-,-
112,경상남도 창원시 마산회원구 구암동,1***,다가구,12m미만,538.28,329.40,202009,16,"116,333",-,-,2020,구암북12길,-,-,-
113,경상남도 창원시 마산회원구 구암동,2*,다가구,12m미만,122.44,116.60,202009,16,"17,000",-,-,1979,구암남5길,-,-,-
114,경상남도 창원시 마산회원구 합성동,1**,단독,8m미만,59.50,152.20,202009,15,"15,000",-,-,1974,합성남5길,-,-,-
115,경상남도 창원시 마산회원구 합성동,2**,단독,8m미만,33.21,93.00,202009,15,"6,000",-,-,1983,합성남2길,-,-,-
116,경상남도 창원시 마산회원구 석전동,2**,단독,8m미만,52.99,90.10,202009,14,"8,200",-,-,1981,석전북23길,-,-,-
117,경상남도 창원시 마산회원구 합성동,1**,단독,8m미만,59.50,209.20,202009,14,"28,000",-,-,1974,합성남6길,20201014,-,-
118,경상남도 창원시 마산회원구 합성동,1**,단독,8m미만,59.50,209.20,202009,14,"28,000",-,-,1974,합성남6길,20201016,-,-
119,경상남도 창원시 마산회원구 회원동,2*,단독,12m미만,97.06,135.60,202009,14,"19,000",-,-,1974,회원동17길,-,-,-
120,경상남도 창원시 마산회원구 양덕동,9*,단독,8m미만,109.27,167.80,202009,13,"18,300",-,-,1986,양덕북16길,-,-,-
121,경상남도 창원시 마산회원구 구암동,1***,단독,25m미만,155.74,145.80,202009,09,"24,500",-,-,1986,금강로,-,-,-
122,경상남도 창원시 마산회원구 합성동,5**,단독,8m미만,68.59,116.00,202009,05,"12,000",-,-,1978,합성북9길,-,-,-
123,경상남도 창원시 마산회원구 합성동,1**,단독,12m미만,186.62,174.60,202009,05,"30,500",-,-,1983,합성동11길,-,-,-
124,경상남도 창원시 마산회원구 회원동,5**,단독,8m미만,11.70,17.00,202009,04,"3,558",-,-,1983,회원남9길,-,-,-
125,경상남도 창원시 마산회원구 합성동,5**,다가구,12m미만,139.15,100.00,202009,04,"25,000",-,-,2016,합성북8길,-,-,-
126,경상남도 창원시 마산회원구 회원동,5**,단독,8m미만,22.78,36.00,202009,04,"4,262",-,-,1983,,-,-,-
127,경상남도 창원시 마산회원구 석전동,1**,단독,8m미만,81.93,79.00,202008,31,"10,000",-,-,1983,석전북14길,20200907,-,-
128,경상남도 창원시 마산회원구 합성동,8*,단독,8m미만,117.23,126.50,202008,31,"16,100",-,-,1978,합성서8길,-,-,-
129,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,21.60,27.00,202008,28,"8,585",-,-,1983,,-,-,-
130,경상남도 창원시 마산회원구 석전동,1**,단독,8m미만,120.36,129.00,202008,28,"11,800",-,-,2003,석전북7길,-,-,-
131,경상남도 창원시 마산회원구 구암동,9*,단독,8m미만,73.13,139.50,202008,26,"16,500",-,-,1980,구암남15길,-,-,-
132,경상남도 창원시 마산회원구 석전동,2**,단독,8m미만,48.14,90.00,202008,25,"9,000",-,-,1983,석전북19길,-,-,-
133,경상남도 창원시 마산회원구 합성동,6*,단독,25m미만,55.81,77.94,202008,24,"5,700",-,-,1979,금강로,-,-,-
134,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,34.98,93.00,202008,24,"11,439",-,-,1995,,-,-,-
135,경상남도 창원시 마산회원구 석전동,2**,단독,8m미만,51.87,119.60,202008,20,"12,000",-,-,1975,,-,-,-
136,경상남도 창원시 마산회원구 회성동,4**,단독,12m미만,84.68,158.90,202008,20,"24,000",-,-,1984,회성남12길,-,-,-
137,경상남도 창원시 마산회원구 회원동,5**,단독,8m미만,24.23,131.00,202008,19,"12,574",-,-,1973,회원천북길,-,-,-
138,경상남도 창원시 마산회원구 구암동,7*,단독,8m미만,83.23,101.30,202008,19,"30,000",-,-,1983,구암남3길,-,-,-
139,경상남도 창원시 마산회원구 회원동,5**,단독,8m미만,141.15,142.00,202008,18,"18,739",-,-,1995,,-,-,-
140,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,107.77,109.00,202008,18,"16,115",-,-,1989,회원남2길,-,-,-
141,경상남도 창원시 마산회원구 내서읍 삼계리,1***,단독,8m미만,168.00,322.00,202008,17,"27,864",-,-,2005,삼계로,-,-,-
142,경상남도 창원시 마산회원구 양덕동,4*,다가구,8m미만,127.14,167.60,202008,15,"10,200",-,-,1975,양덕동12길,-,-,-
143,경상남도 창원시 마산회원구 구암동,2**,단독,8m미만,84.87,129.50,202008,15,"12,600",-,-,1980,구암북15길,-,-,-
144,경상남도 창원시 마산회원구 회성동,3*,단독,8m미만,84.90,95.00,202008,14,"11,950",-,-,1985,회성남2길,-,-,-
145,경상남도 창원시 마산회원구 합성동,3**,단독,8m미만,129.47,147.40,202008,14,"19,850",-,-,1977,팔용로,-,-,-
146,경상남도 창원시 마산회원구 회원동,6*,단독,8m미만,138.10,153.60,202008,12,"14,000",-,-,1977,회원동로,-,-,-
147,경상남도 창원시 마산회원구 구암동,2**,단독,12m미만,62.00,106.20,202008,12,"15,000",-,-,1984,3·15성역로,-,-,-
148,경상남도 창원시 마산회원구 석전동,3*,단독,8m미만,64.81,120.00,202008,12,"13,700",-,-,1995,무학로,-,-,-
149,경상남도 창원시 마산회원구 합성동,6*,단독,8m미만,123.63,120.40,202008,08,"9,850",-,-,1977,금강로,-,-,-
150,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,71.21,69.00,202008,07,"10,600",-,-,1995,,20200911,-,-
151,경상남도 창원시 마산회원구 구암동,1*,단독,12m미만,120.98,122.40,202008,06,"24,200",-,-,1997,구암서3길,-,-,-
152,경상남도 창원시 마산회원구 회원동,6*,단독,8m미만,62.92,106.10,202008,06,"14,400",-,-,1973,회원동10길,-,-,-
153,경상남도 창원시 마산회원구 합성동,1**,단독,12m미만,126.81,128.60,202008,05,"30,000",-,-,1979,합성옛길,-,-,-
154,경상남도 창원시 마산회원구 회성동,4**,단독,12m미만,95.50,133.50,202008,05,"13,800",-,-,1982,회성동8길,-,-,-
155,경상남도 창원시 마산회원구 회원동,5*,단독,12m미만,302.33,205.30,202008,03,"57,700",-,-,1989,회원동11길,-,-,-
156,경상남도 창원시 마산회원구 구암동,2*,단독,12m미만,126.21,129.60,202008,03,"20,000",-,-,1979,구암남7길,-,-,-
157,경상남도 창원시 마산회원구 회원동,5**,단독,8m미만,45.06,126.00,202008,01,"14,105",-,-,1995,,-,-,-
158,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,146.73,149.00,202007,29,"18,735",-,-,1987,회원남14길,-,-,-
159,경상남도 창원시 마산회원구 구암동,2**,단독,8m미만,77.04,145.40,202007,28,"8,000",-,-,1984,구암북5길,-,-,-
160,경상남도 창원시 마산회원구 회원동,6**,단독,8m미만,133.55,131.80,202007,27,"13,500",-,-,1984,회원남로,-,-,-
161,경상남도 창원시 마산회원구 구암동,4**,단독,8m미만,61.15,96.50,202007,25,"13,700",-,-,1976,구암북15길,-,-,-
162,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,88.04,84.00,202007,24,"15,156",-,-,1997,,20200812,-,-
163,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,88.04,84.00,202007,24,"15,156",-,-,1997,,-,-,-
164,경상남도 창원시 마산회원구 회원동,4*,단독,12m미만,39.37,97.50,202007,22,"8,700",-,-,1973,회원동12길,-,-,-
165,경상남도 창원시 마산회원구 구암동,1***,단독,25m미만,151.79,136.80,202007,22,"19,300",-,-,1983,금강로,-,-,-
166,경상남도 창원시 마산회원구 양덕동,1*,단독,8m미만,87.13,71.80,202007,20,"19,000",-,-,2015,양덕북20길,-,-,-
167,경상남도 창원시 마산회원구 회원동,5*,단독,12m미만,93.45,133.20,202007,19,"23,000",-,-,1973,회원천북길,-,-,-
168,경상남도 창원시 마산회원구 합성동,7*,단독,8m미만,104.83,110.80,202007,18,"12,800",-,-,1978,합성북16길,-,-,-
169,경상남도 창원시 마산회원구 회성동,1**,단독,8m미만,61.16,120.00,202007,18,"11,700",-,-,1991,회성북3길,-,-,-
170,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,26.84,40.00,202007,17,"9,501",-,-,1994,,-,-,-
171,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,80.73,86.00,202007,17,"12,400",-,-,1979,,20200717,-,-
172,경상남도 창원시 마산회원구 구암동,2**,단독,12m미만,174.83,158.90,202007,16,"25,750",-,-,1988,구암북10길,-,-,-
173,경상남도 창원시 마산회원구 회성동,4**,단독,8m미만,93.09,83.90,202007,15,"7,400",-,-,1996,회성남14길,-,-,-
174,경상남도 창원시 마산회원구 회원동,6*,단독,8m미만,108.04,149.90,202007,15,"17,000",-,-,1974,회원동28길,-,-,-
175,경상남도 창원시 마산회원구 석전동,1**,단독,8m미만,132.85,118.00,202007,15,"15,500",-,-,1990,석전북5길,-,-,-
176,경상남도 창원시 마산회원구 내서읍 호계리,5**,단독,12m미만,180.26,150.00,202007,15,"38,500",-,-,2013,호계본동로,-,-,-
177,경상남도 창원시 마산회원구 양덕동,*,단독,8m미만,66.78,120.90,202007,14,"17,000",-,-,1975,양덕북20길,-,-,-
178,경상남도 창원시 마산회원구 합성동,1**,다가구,8m미만,166.32,166.20,202007,14,"24,000",-,-,1986,합성남7길,-,-,-
179,경상남도 창원시 마산회원구 구암동,*,다가구,8m미만,625.89,410.70,202007,13,"130,947",-,-,2020,구암서9길,-,-,-
180,경상남도 창원시 마산회원구 내서읍 삼계리,9**,단독,8m미만,62.52,356.00,202007,13,"11,630",-,-,2015,숲속로,-,-,-
181,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,200.02,192.00,202007,10,"26,441",-,-,1996,,-,-,-
182,경상남도 창원시 마산회원구 회원동,5**,단독,8m미만,114.22,205.00,202007,10,"21,593",-,-,1983,,-,-,-
183,경상남도 창원시 마산회원구 석전동,2**,단독,12m미만,122.79,104.50,202007,09,"23,000",-,-,2004,석전동2길,-,-,-
184,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,131.87,223.00,202007,09,"28,053",-,-,1980,,-,-,-
185,경상남도 창원시 마산회원구 회원동,4**,다가구,8m미만,98.10,86.00,202007,09,"16,746",-,-,2004,,-,-,-
186,경상남도 창원시 마산회원구 회원동,5*,단독,12m미만,156.98,135.20,202007,09,"45,000",-,-,1975,회원동서로,-,-,-
187,경상남도 창원시 마산회원구 회성동,4**,단독,8m미만,42.98,99.00,202007,09,"9,500",-,-,1980,삼호천길,-,-,-
188,경상남도 창원시 마산회원구 내서읍 중리,1***,단독,25m미만,120.86,210.10,202007,09,"41,200",-,-,2005,,-,-,-
189,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,84.93,80.00,202007,08,"17,395",-,-,1997,,20200826,-,-
190,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,200.02,192.00,202007,08,"26,441",-,-,1996,,20200807,-,-
191,경상남도 창원시 마산회원구 회성동,4**,단독,12m미만,108.76,103.70,202007,08,"7,450",-,-,1983,회성동8길,-,-,-
192,경상남도 창원시 마산회원구 회원동,5**,단독,8m미만,39.66,48.00,202007,07,"13,022",-,-,1981,,-,-,-
193,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,34.38,96.00,202007,07,"12,958",-,-,1971,,-,-,-
194,경상남도 창원시 마산회원구 내서읍 신감리,5**,단독,8m미만,119.04,345.00,202007,06,"33,000",-,-,2012,광려로,20200915,-,-
195,경상남도 창원시 마산회원구 내서읍 신감리,5**,단독,8m미만,119.04,345.00,202007,06,"33,000",-,-,2012,광려로,-,-,-
196,경상남도 창원시 마산회원구 석전동,1**,단독,8m미만,67.36,116.00,202007,06,"13,900",-,-,1996,석전북22길,-,-,-
197,경상남도 창원시 마산회원구 양덕동,3*,다가구,8m미만,116.27,146.80,202007,06,"21,000",-,-,1977,양덕동18길,-,-,-
198,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,43.20,63.00,202007,06,"11,206",-,-,1983,,-,-,-
