시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 월영동,4**,다가구,8m미만,465.63,269,201908,9,"        93,000",2010,월영북3길
경상남도 창원마산합포구 월영동,6**,단독,8m미만,24.23,62.4,202002,21,"         2,000",1998,월영남20길
경상남도 창원마산합포구 월영동,4**,단독,25m미만,80.83,89,201909,4,"        17,000",1974,월영북로
경상남도 창원마산합포구 월영동,5**,단독,8m미만,84.51,99,201912,5,"        10,000",1994,월영서1길
경상남도 창원마산합포구 월영동,2**,단독,8m미만,23.1,108,201911,25,"         6,800",1998,
경상남도 창원마산합포구 월영동,9*,단독,-,54,110,202002,5,"         4,100",1998,문화서13길
경상남도 창원마산합포구 월영동,4**,단독,8m미만,118.73,110.9,201911,20,"        35,500",1990,월영북1길
경상남도 창원마산합포구 월영동,4**,단독,8m미만,96.2,116,201909,10,"        19,500",1997,월영북로
경상남도 창원마산합포구 월영동,6**,단독,12m미만,84.24,146,201911,5,"        12,000",1983,월영남18길
경상남도 창원마산합포구 월영동,*,단독,25m미만,129.69,202,201909,19,"        19,000",1979,고운로
경상남도 창원마산합포구 월영동,2**,단독,8m미만,16.53,231,202001,22,"        12,200",1998,문화서16길
경상남도 창원마산합포구 월영동,*,단독,25m미만,196.25,290,201911,9,"        25,000",2001,고운로
경상남도 창원마산합포구 월영동,1**,단독,8m미만,33.06,353,201911,1,"        18,500",1998,문화서17길
경상남도 창원마산합포구 월포동,*,단독,8m미만,70.56,162,201911,28,"        14,800",1997,반월동3길
경상남도 창원마산합포구 유록동,*,단독,12m미만,156.3,190.5,201912,29,"        31,200",1998,문화남4길
경상남도 창원마산합포구 자산동,2**,다가구,12m미만,147.93,185,202003,6,"        38,500",1998,자산남4길
경상남도 창원마산합포구 자산동,3**,단독,8m미만,29.75,23,201910,10,"         1,300",1960,자산남2길
경상남도 창원마산합포구 자산동,5*,단독,8m미만,31.93,23,202001,21,"         2,350",1998,
경상남도 창원마산합포구 자산동,2**,단독,8m미만,105.06,53,202002,14,"        12,000",1998,
경상남도 창원마산합포구 자산동,1**,단독,12m미만,51.13,64,202005,5,"         9,000",1988,자산동8길
경상남도 창원마산합포구 자산동,3**,단독,25m미만,70.75,66,202002,2,"         9,650",1994,심온길
경상남도 창원마산합포구 자산동,3**,단독,8m미만,72.33,86,201910,28,"         4,300",2001,자산남11길
경상남도 창원마산합포구 자산동,1**,단독,8m미만,55.34,89.99,202005,13,"         1,500",,무학로
경상남도 창원마산합포구 자산동,1**,단독,8m미만,50.25,99,201912,30,"        12,000",1998,자산동8길
경상남도 창원마산합포구 자산동,3**,단독,8m미만,64.2,119,202006,1,"         7,700",1998,자산남13길
경상남도 창원마산합포구 자산동,6*,단독,8m미만,63.34,127,201907,2,"         9,000",1980,자산동13길
경상남도 창원마산합포구 자산동,1**,단독,8m미만,69.21,132,202004,17,"         8,270",1996,자산동7길
경상남도 창원마산합포구 자산동,1**,단독,25m이상,355.11,132,201910,10,"        40,000",1980,3·15대로
경상남도 창원마산합포구 자산동,1**,단독,8m미만,61.92,155,202004,17,"        14,000",2008,자산서5길
경상남도 창원마산합포구 자산동,1**,단독,8m미만,237.65,298,202001,1,"        22,000",1977,자산동9길
경상남도 창원마산합포구 장군동1가,*,단독,8m미만,142.15,849.6,201912,16,"        62,500",1998,반월북2길
경상남도 창원마산합포구 장군동2가,*,단독,8m미만,145.42,122.3,201907,31,"        33,100",1987,중앙남10길
경상남도 창원마산합포구 장군동3가,*,단독,8m미만,36.93,52.9,201910,15,"         3,600",1972,완월동1길
경상남도 창원마산합포구 장군동3가,1*,단독,8m미만,98.38,83,202004,10,"        12,000",1998,중앙남7길
경상남도 창원마산합포구 장군동3가,1*,단독,12m미만,105.49,94.4,202005,20,"        12,400",2020,중앙남7길
경상남도 창원마산합포구 장군동3가,1*,단독,8m미만,124.09,161.9,202005,20,"        17,000",,중앙남6길
경상남도 창원마산합포구 장군동4가,2*,단독,12m미만,101.85,190.4,202003,27,"        29,000",1975,완월동6길
경상남도 창원마산합포구 장군동5가,1*,단독,8m미만,56.87,59.5,202005,29,"        11,200",1997,완월동15길
경상남도 창원마산합포구 중성동,1*,단독,8m미만,105.67,98.5,202003,2,"        11,500",1996,오동서17길
경상남도 창원마산합포구 중성동,6*,단독,8m미만,119.4,131.9,201910,5,"         8,000",1981,오동서12길
경상남도 창원마산합포구 중성동,1**,단독,8m미만,33.06,138.8,201907,18,"        11,000",1998,오동서1길
경상남도 창원마산합포구 중성동,*,단독,8m미만,163.67,228.1,201910,25,"        20,000",1984,오동서19길
경상남도 창원마산합포구 중앙동1가,*,다가구,12m미만,508.72,361.6,201910,10,"       111,000",2014,반월동6길
경상남도 창원마산합포구 중앙동1가,*,단독,8m미만,39.67,66.1,201911,8,"         6,000",1998,반월북1길
경상남도 창원마산합포구 중앙동2가,*,단독,12m미만,51.24,52.8,201909,18,"         5,000",1998,중앙남2길
경상남도 창원마산합포구 중앙동2가,*,단독,25m이상,170.68,76.06,201910,5,"        22,800",1977,3·15대로
경상남도 창원마산합포구 중앙동2가,*,단독,8m미만,81.06,83.6,201911,20,"         8,040",1977,중앙동3길
경상남도 창원마산합포구 중앙동2가,*,단독,8m미만,113.79,141,202005,19,"        21,000",1982,중앙동4길
경상남도 창원마산합포구 중앙동2가,*,단독,8m미만,84.73,181.8,201911,11,"        54,000",1983,중앙동4길
경상남도 창원마산합포구 진동면 고현리,2**,단독,8m미만,23.4,47.8,202003,12,"         1,450",1998,미더덕로
경상남도 창원마산합포구 진동면 고현리,6**,단독,8m미만,38.06,63,202006,1,"         2,000",2004,미더덕로
경상남도 창원마산합포구 진동면 고현리,1**,단독,8m미만,109.33,86,202005,14,"        11,000",1998,고현새동네길
경상남도 창원마산합포구 진동면 고현리,3**,단독,8m미만,54,98.6,202001,21,"         3,000",1998,고현장터길
경상남도 창원마산합포구 진동면 고현리,2**,단독,12m미만,44.04,134.6,202003,27,"        15,050",1998,미더덕로
경상남도 창원마산합포구 진동면 고현리,3**,단독,12m미만,68.92,149.7,201912,11,"        19,000",2019,미더덕로
경상남도 창원마산합포구 진동면 고현리,2**,단독,8m미만,87.93,618,201912,24,"         9,000",1998,장기2길
경상남도 창원마산합포구 진동면 교동리,6**,단독,8m미만,123.3,674,202004,24,"        36,000",2020,요장2길
경상남도 창원마산합포구 진동면 교동리,5**,단독,8m미만,109.99,790,202003,25,"        17,000",1998,교동1길
경상남도 창원마산합포구 진동면 다구리,1*,단독,8m미만,62.63,255,202004,10,"        11,500",2011,도만1길
경상남도 창원마산합포구 진동면 다구리,1*,단독,8m미만,57,336,202006,2,"        12,000",2020,도만1길
경상남도 창원마산합포구 진동면 신기리,3**,단독,8m미만,39.96,116,201908,18,"         7,000",2008,미더덕로
경상남도 창원마산합포구 진동면 신기리,1**,단독,8m미만,53.58,377,201910,7,"        13,000",1998,죽전샛길
경상남도 창원마산합포구 진동면 신기리,1**,단독,8m미만,53.58,377,202003,12,"        13,200",1998,죽전샛길
경상남도 창원마산합포구 진동면 요장리,2*,단독,8m미만,77,159,201911,8,"        10,000",1998,주도해안길
경상남도 창원마산합포구 진동면 요장리,2**,단독,8m미만,98,167,201911,23,"         5,800",1998,주도2길
경상남도 창원마산합포구 진동면 요장리,2**,단독,12m미만,57.48,193,201908,2,"        10,000",2004,해양관광로
경상남도 창원마산합포구 진동면 요장리,2**,단독,8m미만,49.5,251,202002,3,"         6,800",1998,주도2길
경상남도 창원마산합포구 진동면 요장리,2**,단독,8m미만,49.5,251,201907,6,"         6,700",1998,주도2길
경상남도 창원마산합포구 진동면 요장리,4**,단독,8m미만,96.05,302,202002,27,"        10,280",1996,요장1길
경상남도 창원마산합포구 진동면 요장리,4**,단독,8m미만,99.72,800,201910,29,"        28,000",2007,해양관광로
경상남도 창원마산합포구 진동면 진동리,4**,단독,25m미만,36,17,202005,25,"         3,800",1998,삼진의거대로
경상남도 창원마산합포구 진동면 진동리,3**,단독,8m미만,48.42,69,201910,31,"         3,000",1998,동촌길
경상남도 창원마산합포구 진동면 진동리,2**,단독,8m미만,116.59,171,202001,2,"        17,500",1984,진동시장길
경상남도 창원마산합포구 진동면 태봉리,2**,단독,8m미만,133.65,357.8,201910,29,"        20,000",2002,오산1길
경상남도 창원마산합포구 진북면 금산리,9*,단독,8m미만,130.59,645,201908,21,"        13,500",2006,학동로
경상남도 창원마산합포구 진북면 대평리,2**,단독,8m미만,64.13,400,201910,21,"         6,000",1998,대평길
경상남도 창원마산합포구 진북면 부산리,1**,단독,8m미만,80.8,235,202004,29,"         7,500",1997,부산1길
경상남도 창원마산합포구 진북면 영학리,2**,단독,8m미만,42.31,258,202003,9,"         6,300",1998,학동마을길
경상남도 창원마산합포구 진북면 예곡리,1**,단독,8m미만,19.17,370,201910,10,"         8,000",1998,진북예곡3길
경상남도 창원마산합포구 진북면 이목리,3**,단독,8m미만,77.22,350,201908,1,"         6,000",2008,학동로
