시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,매수자,매도자,해제사유발생일,거래유형,중개사소재지
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,18.9,201508,10,"         2,700",2,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,19.44,201508,10,"         2,700",2,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,184-14,184,14,	(184-14)	,18.9,201508,10,"         2,700",3,2002.0,의창대로132번길 29-21,,,,,,
경상남도 창원의창구 팔용동,31-2,31,2,한미코보스텔,28.72,201509,24,"         5,400",3,2004.0,창원대로397번길 8-9,,,,,,
경상남도 창원의창구 소답동,158-16,158,16,(158-16),26.92,201509,9,"         7,408",6,2015.0, ,,,,,,
경상남도 창원의창구 명서동,202-3,202,3,모비딕빌딩,29.6,201509,17,"         6,300",11,2004.0,우곡로217번길 24,,,,,,
경상남도 창원의창구 소답동,156-2,156,2,펌스빌,27.06,201509,11,"         3,500",5,2002.0,읍성로117번길 8,,,,,,
경상남도 창원의창구 신월동,68-1,68,1,토월복합상가,44.16,201509,9,"         4,800",5,1991.0,신월로 42,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201509,21,"        44,000",27,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,118.91,201509,1,"        35,800",10,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201509,7,"        42,500",2,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201509,19,"        38,000",13,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 팔용동,31-2,31,2,한미코보스텔,30.87,201509,24,"         5,700",3,2004.0,창원대로397번길 8-9,,,,,,
경상남도 창원의창구 팔용동,31-2,31,2,한미코보스텔,28.72,201509,7,"         5,300",3,2004.0,창원대로397번길 8-9,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201509,22,"        45,500",14,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 봉곡동,32-4,32,4,우성빌딩,33.6,201510,13,"         6,500",7,,지귀로24번길 16,,,,,,
경상남도 창원의창구 용호동,73-2,73,2,라이크빌-1,27.39,201510,5,"         4,850",7,1991.0,용지로169번길 13,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201510,5,"        58,000",20,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201510,7,"        49,500",35,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201510,15,"        60,000",11,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 용호동,73-49,73,49,창원오피스텔,30.6,201510,13,"         4,070",5,1990.0,용지로153번길 3,,,,,,
경상남도 창원의창구 용호동,73-49,73,49,창원오피스텔,28.0,201510,2,"         5,300",6,1990.0,용지로153번길 3,,,,,,
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,48.66,201511,23,"         5,365",4,2002.0,사림로 47,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201511,18,"        41,500",26,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201511,9,"        49,800",12,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201511,15,"        47,000",5,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 용호동,73-2,73,2,라이크빌-1,37.44,201511,28,"         5,400",5,1991.0,용지로169번길 13,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,118.91,201511,2,"        38,300",16,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201511,24,"        42,300",27,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 용호동,73-49,73,49,창원오피스텔,41.32,201511,10,"         5,200",4,1990.0,용지로153번길 3,,,,,,
경상남도 창원의창구 신월동,68-1,68,1,토월복합상가,40.72,201511,4,"         5,150",7,1991.0,신월로 42,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201511,25,"        51,700",22,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 소답동,156-4,156,4,노블하우스,48.18,201511,19,"        13,000",6,2012.0,읍성로117번길 12,,,,,,
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,48.66,201511,23,"         5,356",6,2002.0,사림로 47,,,,,,
경상남도 창원의창구 사림동,25,25,0,우영프라자,31.13,201512,21,"         5,750",5,2003.0,용지로293번길 28,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201512,8,"        52,000",23,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201512,7,"        37,000",24,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201512,4,"        41,000",7,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 용호동,73-49,73,49,창원오피스텔,78.84,201512,10,"        10,700",6,1990.0,용지로153번길 3,,,,,,
경상남도 창원의창구 사림동,25,25,0,우영프라자,31.13,201512,19,"         5,770",5,2003.0,용지로293번길 28,,,,,,
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,32.37,201512,24,"         5,250",6,2002.0,사림로 47,,,,,,
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,44.55,201512,10,"         5,800",5,2002.0,사림로 47,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,118.91,201512,3,"        36,500",19,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,96-6,96,6,대원그린빌,26.45,201601,6,"         5,450",4,2003.0,대원로27번길 20,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201601,7,"        60,000",19,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201601,6,"        60,000",36,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,96-6,96,6,대원그린빌,27.95,201601,6,"         6,000",5,2003.0,대원로27번길 20,,,,,,
경상남도 창원의창구 사림동,25,25,0,우영프라자,31.13,201601,8,"         5,830",4,2003.0,용지로293번길 28,,,,,,
