시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,동,매수자,매도자,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
경상남도 창원의창구 동정동,277,277,0,흥한웰가,84.91,201501,2,"        34,500",2,2004,천주로 33,,,,,,,,,
경상남도 창원의창구 동정동,277,277,0,흥한웰가,84.91,201501,3,"        33,500",1,2004,천주로 33,,,,,,,,,
경상남도 창원의창구 명서동,27,27,0,명곡두산위브,137.98,201501,12,"        49,000",3,2010,도계로 135,,,,,,,,,
경상남도 창원의창구 명서동,27,27,0,명곡두산위브,84.99,201501,12,"        41,000",6,2010,도계로 135,,,,,,,,,
경상남도 창원의창구 동정동,277,277,0,흥한웰가,116.95,201501,23,"        46,500",9,2004,천주로 33,,,,,,,,,
경상남도 창원의창구 동정동,277,277,0,흥한웰가,116.95,201501,28,"        44,000",4,2004,천주로 33,,,,,,,,,
경상남도 창원의창구 명서동,27,27,0,두산위브,103.75,201501,17,"        50,000",9,2011,도계로 135,,,,,,,,,
경상남도 창원의창구 명서동,27,27,0,두산위브,103.49,201501,19,"        45,000",1,2011,도계로 135,,,,,,,,,
경상남도 창원의창구 명서동,27,27,0,명곡두산위브,84.99,201501,19,"        41,000",2,2010,도계로 135,,,,,,,,,
경상남도 창원의창구 명서동,27,27,0,명곡두산위브,189.35,201501,20,"        65,000",15,2010,도계로 135,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,84.905,201501,9,"        33,800",14,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 팔용동,122,122,0,벽산블루밍B,84.905,201501,14,"        33,400",9,1999,반계로 104-8,,,,,,,,,
경상남도 창원의창구 봉곡동,66,66,0,늘푸른마을코오롱,84.384,201501,31,"        28,950",7,1999,지귀로95번길 7,,,,,,,,,
경상남도 창원의창구 봉림동,715,715,0,엘에이치피닉스포레,84.99,201501,10,"        37,200",7,2011,대봉로 27,,,,,,,,,
경상남도 창원의창구 봉림동,715,715,0,엘에이치피닉스포레,84.92,201501,20,"        37,000",13,2011,대봉로 27,,,,,,,,,
경상남도 창원의창구 북면 감계리,230-1,230,1,창원감계힐스테이트1차,84.9601,201501,31,"        29,500",16,2014,동전로 86,,,,,,,,,
경상남도 창원의창구 북면 감계리,229-1,229,1,휴먼빌,84.93,201501,31,"        29,300",19,2014,감계로 297,,,,,,,,,
경상남도 창원의창구 북면 무동리,123-1,123,1,휴먼빌(1단지),84.994,201501,16,"        24,900",16,2013,동곡로 33,,,,,,,,,
경상남도 창원의창구 북면 신촌리,995-1,995,1,대호,59.65,201501,28,"        10,500",14,1998,천주로 1053,,,,,,,,,
경상남도 창원의창구 북면 신촌리,995-1,995,1,대호,59.65,201501,12,"         9,000",1,1998,천주로 1053,,,,,,,,,
경상남도 창원의창구 북면 신촌리,905-6,905,6,신우,60.0,201501,5,"        12,600",6,1999,신촌본포로 12-10,,,,,,,,,
경상남도 창원의창구 북면 신촌리,905-6,905,6,신우,60.0,201501,8,"        12,500",12,1999,신촌본포로 12-10,,,,,,,,,
경상남도 창원의창구 북면 신촌리,561-1,561,1,신한그린파크맨션,84.62,201501,28,"        13,500",8,1994,천주로 1104,,,,,,,,,
경상남도 창원의창구 북면 신촌리,959-1,959,1,청우,73.62,201501,8,"         6,600",4,1992,천주로1083번길 10-1,,,,,,,,,
경상남도 창원의창구 북면 신촌리,905-24,905,24,춘광2,59.81,201501,3,"         9,300",4,1995,신촌본포로 12-13,,,,,,,,,
경상남도 창원의창구 북면 신촌리,905-24,905,24,춘광2,57.92,201501,15,"         8,700",13,1995,신촌본포로 12-13,,,,,,,,,
경상남도 창원의창구 북면 신촌리,905-24,905,24,춘광2,57.92,201501,16,"         8,300",7,1995,신촌본포로 12-13,,,,,,,,,
경상남도 창원의창구 팔용동,123-1,123,1,벽산블루밍A,59.97,201501,5,"        25,000",3,2000,반계로 104-9,,,,,,,,,
경상남도 창원의창구 팔용동,123-1,123,1,벽산블루밍A,59.97,201501,14,"        24,000",3,2000,반계로 104-9,,,,,,,,,
경상남도 창원의창구 팔용동,123-1,123,1,벽산블루밍A,59.97,201501,14,"        24,500",6,2000,반계로 104-9,,,,,,,,,
경상남도 창원의창구 팔용동,123-1,123,1,벽산블루밍A,59.97,201501,15,"        24,500",10,2000,반계로 104-9,,,,,,,,,
경상남도 창원의창구 팔용동,123-1,123,1,벽산블루밍A,59.97,201501,19,"        24,000",13,2000,반계로 104-9,,,,,,,,,
경상남도 창원의창구 팔용동,123-1,123,1,벽산블루밍A,59.97,201501,19,"        25,500",12,2000,반계로 104-9,,,,,,,,,
경상남도 창원의창구 팔용동,123-1,123,1,벽산블루밍A,59.97,201501,21,"        24,800",19,2000,반계로 104-9,,,,,,,,,
경상남도 창원의창구 서상동,319-13,319,13,덕산세영파크,84.69,201501,2,"        25,000",1,2013,천주로18번길 6,,,,,,,,,
경상남도 창원의창구 소계동,468-1,468,1,럭키,49.77,201501,12,"         9,000",4,1991,금강로379번길 16-9,,,,,,,,,
경상남도 창원의창구 서상동,348-4,348,4,스마트빌,84.38,201501,13,"        18,000",2,2003,천주로12번길 2,,,,,,,,,
경상남도 창원의창구 서상동,649,649,0,중동대동다:숲,84.8736,201501,16,"        34,750",8,2005,팔용로 512,,,,,,,,,
경상남도 창원의창구 서상동,649,649,0,중동대동다:숲,131.1125,201501,18,"        45,300",14,2005,팔용로 512,,,,,,,,,
경상남도 창원의창구 서상동,649,649,0,중동대동다:숲,84.8736,201501,24,"        28,000",1,2005,팔용로 512,,,,,,,,,
경상남도 창원의창구 서상동,649,649,0,중동대동다:숲,84.9715,201501,29,"        36,500",13,2005,팔용로 512,,,,,,,,,
경상남도 창원의창구 소계동,468-1,468,1,럭키,54.06,201501,16,"         9,900",6,1991,금강로379번길 16-9,,,,,,,,,
경상남도 창원의창구 소계동,468-1,468,1,럭키,60.0,201501,19,"        14,300",10,1991,금강로379번길 16-9,,,,,,,,,
경상남도 창원의창구 소계동,468-1,468,1,럭키,60.0,201501,29,"        12,300",10,1991,금강로379번길 16-9,,,,,,,,,
경상남도 창원의창구 팔용동,123-1,123,1,벽산블루밍A,84.905,201501,27,"        33,200",20,2000,반계로 104-9,,,,,,,,,
경상남도 창원의창구 팔용동,123-1,123,1,벽산블루밍A,59.97,201501,31,"        24,800",6,2000,반계로 104-9,,,,,,,,,
경상남도 창원의창구 팔용동,124-3,124,3,대동차룡,49.98,201501,20,"        17,000",5,1994,반계로 95,,,,,,,,,
경상남도 창원의창구 소답동,146-4,146,4,백영빌라,67.96,201501,22,"        12,000",2,1991,의안로62번길 46,,,,,,,,,
