시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,매수자,매도자,해제사유발생일,거래유형,중개사소재지
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201505,7,"         4,500",10,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 홍문동,12-1,12,1,	(주)상신기업	,48.96,201505,12,"        14,837",5,2012.0,문화남11길 7,,,,,,
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,37.22,201505,22,"         9,500",6,2004.0,산호북19길 11,,,,,,
경상남도 창원마산합포구 오동동,322,322,0,중앙마린파이브,31.95,201505,7,"         8,700",3,2014.0,오동동14길 67,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201506,2,"         4,000",14,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,36.08,201506,11,"         6,800",9,2004.0,산호북19길 11,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,201506,30,"         3,400",9,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201506,15,"         3,720",8,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 오동동,322,322,0,중앙마린파이브,33.27,201506,17,"         8,821",3,2014.0,오동동14길 67,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201506,5,"         3,970",11,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201506,12,"         3,970",14,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,36.08,201506,9,"         6,800",6,2004.0,산호북19길 11,,,,,,
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,36.08,201506,9,"         6,800",6,2004.0,산호북19길 11,,,,,,
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,40.18,201506,9,"         7,900",5,2004.0,산호북19길 11,,,,,,
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201506,19,"         6,400",8,2003.0,3·15대로 47,,,,,,
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201506,12,"         6,600",12,2003.0,3·15대로 47,,,,,,
경상남도 창원마산합포구 동성동,50,50,0,리치클Ⅱ,29.26,201506,30,"         8,400",2,1997.0,아구찜길 7,,,,,,
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201506,21,"         8,360",9,2015.0,합포로 162,,,,,,
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201506,30,"         8,467",10,2015.0,합포로 162,,,,,,
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,36.08,201506,11,"         6,800",10,2004.0,산호북19길 11,,,,,,
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,47.84,201506,9,"        18,479",9,2015.0,합포로 162,,,,,,
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201506,30,"         8,467",10,2015.0,합포로 162,,,,,,
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201506,21,"         8,360",9,2015.0,합포로 162,,,,,,
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201506,21,"         8,360",9,2015.0,합포로 162,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,23.45,201506,17,"         3,800",15,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 동성동,50,50,0,리치클Ⅱ,29.26,201506,30,"         8,400",3,1997.0,아구찜길 7,,,,,,
경상남도 창원마산합포구 동성동,50,50,0,리치클Ⅱ,39.87,201506,30,"        12,000",3,1997.0,아구찜길 7,,,,,,
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,34.39,201506,30,"         7,050",7,2003.0,월영동로 7,,,,,,
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201506,12,"         6,350",3,2003.0,3·15대로 47,,,,,,
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201506,19,"         6,400",8,2003.0,3·15대로 47,,,,,,
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,30.0,201506,20,"         6,800",9,2004.0,3·15대로 34,,,,,,
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,31.39,201506,17,"         6,900",8,2004.0,3·15대로 34,,,,,,
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201507,2,"         6,100",2,2003.0,3·15대로 47,,,,,,
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,24.1,201507,6,"         6,100",10,2003.0,3·15대로 47,,,,,,
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,24.5,201507,21,"         4,170",7,2006.0,해안대로 367,,,,,,
경상남도 창원마산합포구 창동,3-1,3,1,창동 오피스텔,34.37,201507,23,"         5,500",7,2003.0,북성로 5,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201507,1,"         4,050",11,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201507,24,"         2,900",2,2002.0,문화남11길 144,,,,,,
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201507,24,"         3,100",6,2002.0,문화남11길 144,,,,,,
경상남도 창원마산합포구 월영동,598-5,598,5,월영동 에드텔,29.25,201507,5,"         3,500",6,2000.0,밤밭고개로 395,,,,,,
경상남도 창원마산합포구 월영동,598-5,598,5,월영동 에드텔,29.25,201507,16,"         3,900",8,2000.0,밤밭고개로 395,,,,,,
경상남도 창원마산합포구 월영동,598-5,598,5,월영동 에드텔,29.25,201507,20,"         3,550",9,2000.0,밤밭고개로 395,,,,,,
경상남도 창원마산합포구 산호동,36-18,36,18,동원오피스텔,30.78,201507,10,"         4,550",7,2004.0,산호남2길 1,,,,,,
경상남도 창원마산합포구 산호동,427-2,427,2,기전모닝텔,37.8,201507,31,"         4,650",13,1998.0,합포남2길 6,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,27.84,201507,14,"         4,350",7,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,23.45,201507,20,"         3,900",7,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.93,201507,21,"         4,700",6,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.93,201507,29,"         4,500",13,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,23.36,201507,29,"         4,000",15,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.62,201507,8,"         5,000",7,2003.0,중앙북7길 7,,,,,,
경상남도 창원마산합포구 창동,3-1,3,1,창동 오피스텔,34.37,201507,20,"         5,000",9,2003.0,북성로 5,,,,,,
경상남도 창원마산합포구 상남동,105-14,105,14,선우아트빌,36.9,201507,2,"         5,000",9,2005.0,노산남7길 25,,,,,,
경상남도 창원마산합포구 신포동2가,85-6,85,6,기전씨티텔,37.08,201507,7,"         5,000",4,1998.0,동서동2길 41,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201508,28,"         8,250",10,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201508,28,"         9,000",11,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201508,27,"         8,250",10,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201508,26,"         8,250",10,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201508,26,"         8,250",10,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201508,27,"         9,000",11,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201508,28,"         9,000",11,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 산호동,427-2,427,2,기전모닝텔,35.2,201508,29,"         4,650",7,1998.0,합포남2길 6,,,,,,
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,42.14,201508,19,"         7,500",2,2004.0,산호북19길 11,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,201508,19,"         2,900",15,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201508,24,"         8,250",7,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201508,25,"         8,250",9,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201508,17,"         8,250",9,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 산호동,427-2,427,2,기전모닝텔,35.2,201508,24,"         4,600",14,1998.0,합포남2길 6,,,,,,
경상남도 창원마산합포구 산호동,14-5,14,5,	(14-5)	,33.46,201508,3,"         4,600",5,2002.0,산호북4길 11,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201508,19,"         8,250",9,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 월영동,598-5,598,5,월영동 에드텔,29.25,201508,17,"         3,533",5,2000.0,밤밭고개로 395,,,,,,
경상남도 창원마산합포구 오동동,17-135,17,135,가고파오피스텔,57.92,201508,12,"         4,500",6,1991.0,오동동10길 56,,,,,,
경상남도 창원마산합포구 오동동,316-1,316,1,상지솔리움,22.27,201508,24,"         3,500",10,2003.0,해안대로 389,,,,,,
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,32.8,201508,6,"         5,000",10,2006.0,해안대로 367,,,,,,
경상남도 창원마산합포구 동성동,315-1,315,1,삼오빌딩,35.77,201508,17,"         3,850",10,2003.0,해안대로 359,,,,,,
경상남도 창원마산합포구 신포동2가,85-6,85,6,기전씨티텔,37.08,201508,29,"         6,300",7,1998.0,동서동2길 41,,,,,,
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,26.4,201508,11,"         3,700",12,2006.0,해안대로 367,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,10,"         8,250",8,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,1,"         8,250",9,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,1,"         8,250",8,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,10,"         8,250",9,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,21,"         8,250",7,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,21,"         8,250",10,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,16,"         8,250",8,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,11,"         8,250",9,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,7,"         8,250",8,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 자산동,302-38,302,38,형제샘터마을,20.52,201509,8,"         3,400",8,2003.0,자산삼거리로 2-1,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,39.27,201509,7,"         4,800",11,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 자산동,302-38,302,38,형제샘터마을,25.92,201509,18,"         4,200",7,2003.0,자산삼거리로 2-1,,,,,,
경상남도 창원마산합포구 산호동,316-6,316,6,상신크루지움 오피스텔,23.92,201509,23,"         8,653",8,2015.0,합포로 162,,,,,,
경상남도 창원마산합포구 산호동,7-5,7,5,동인노블리앙,40.33,201509,8,"         9,000",11,2004.0,산호북19길 11,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,27.39,201509,4,"         4,250",8,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,14,"         8,250",8,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,15,"         8,250",10,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,8,"         9,000",11,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,8,"         9,000",11,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,11,"         9,000",11,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 창포동3가,4-4,4,4,창포 프리텔,28.56,201509,20,"         5,800",1,2002.0,문화동11길 14,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,2,"         8,250",8,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,21,"         8,250",10,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,30,"         8,250",10,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 부림동,83-18,83,18,강남 와이즈하우스,27.54,201509,30,"         7,200",6,2015.0,3·15대로 353,,,,,,
경상남도 창원마산합포구 서성동,83-12,83,12,	(83-12)	,33.22,201509,5,"         4,900",4,2003.0,동서남1길 16,,,,,,
