NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
,경상남도 창원성산구 내동,456-17,456,17,내동상가,46.94,37.9,201810,1,"         8,000",4,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,178.0,240.59,201812,21,"        98,000",1,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,176.52,238.59,201812,19,"        78,500",2,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201812,17,"        42,700",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201901,4,"        40,000",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201902,17,"        38,500",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201903,22,"        41,000",2,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,144.14,194.82,201903,8,"        65,000",3,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201903,18,"        40,900",2,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201904,29,"        36,000",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201905,11,"        34,200",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,145.85,197.13,201905,23,"        76,000",1,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201905,13,"        33,800",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 안민동,120-15,120,15,송원빌라트(120-15),44.45,28.01,201906,28,"         5,500",4,,,2002,안민안길30번길 15,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201906,22,"        34,400",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201907,13,"        33,700",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201907,11,"        44,300",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201908,1,"        33,850",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201908,20,"        37,500",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,169,169,0,성주중앙블루아템,84.76,142.91,201909,10,"        50,000",4,,,2015,삼정자로72번길 99,,,,,
,경상남도 창원성산구 성주동,169,169,0,성주중앙블루아템,84.76,142.91,201909,3,"        39,000",2,,,2015,삼정자로72번길 99,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201909,2,"        33,000",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201910,10,"        36,400",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201910,29,"        33,000",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201910,23,"        34,500",2,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201910,20,"        38,250",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201910,14,"        41,000",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201911,18,"        40,000",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201911,6,"        33,900",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,46.94,37.9,201911,10,"         6,500",3,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201911,3,"        37,000",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,176.52,238.59,201911,20,"        85,000",2,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 안민동,120-15,120,15,송원빌라트(120-15),52.02,32.77,201911,14,"         3,200",1,,,2002,안민안길30번길 15,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,60.5,48.0,201911,25,"        10,400",4,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,46.94,37.9,201911,25,"         4,700",4,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201911,1,"        34,300",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201912,21,"        38,000",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201912,13,"        35,000",2,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201912,28,"        35,500",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201912,18,"        41,800",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,202001,20,"        40,500",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,202001,30,"        40,000",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.25,108.72,202001,18,"        36,000",2,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,202002,12,"        42,000",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,202002,26,"        40,200",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,176.52,238.59,202002,10,"        88,000",3,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,46.94,37.9,202003,20,"         5,850",5,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,41.32,32.8,202004,15,"         5,200",4,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,41.32,32.8,202005,1,"         7,500",2,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,202005,6,"        39,800",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,202005,12,"        36,000",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,144.14,194.82,202005,10,"        74,000",2,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,41.32,32.8,202005,20,"         5,000",5,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,202006,23,"        38,700",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,144.14,194.82,202006,23,"        62,500",2,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,144.14,194.82,202006,18,"        68,000",4,,,2008,창원대로1137번길 18,,,,,
38.0,경상남도 창원시 성산구 성주동,157,157,0,효성해링턴코트,84.88,109.5309,202007,2,"42,000",1,-,-,2013,삼정자로 78,-,-,-,-,연립
36.0,경상남도 창원시 성산구 성주동,157,157,0,효성해링턴코트,100.41,129.5711,202007,7,"50,000",4,-,-,2013,삼정자로 78,-,-,-,-,연립
35.0,경상남도 창원시 성산구 내동,456-17,456,17,내동상가,42.32,32.8,202007,7,"5,000",4,-,-,1976,창원대로 726,-,-,-,-,연립다세대
