NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
,경상남도 창원의창구 서상동,10-3,10,3,동원빌라,61.37,49.83,201503,24,"        14,000",4,,,1997,의창대로211번길 6-4,,,,,
,경상남도 창원의창구 서상동,313-8,313,8,삼창주택B동,57.32,55.0,201503,18,"         6,000",1,,,1983,의창대로211번길 5,,,,,
,경상남도 창원의창구 북면 신촌리,1386-67,1386,67,거풍힐링빌2단지,75.915,90.87,201503,13,"        16,000",2,,,2013,천주로 1202-12,,,,,
,경상남도 창원의창구 서상동,416,416,0,대영주택,55.11,47.74,201503,20,"        13,450",1,,,1982,천주로12번길 19,,,,,
,경상남도 창원의창구 소답동,130-19,130,19,성은빌라,44.91,21.5,201503,16,"         9,000",3,,,1995,의안로56번길 36,,,,,
,경상남도 창원의창구 도계동,365-1,365,1,담양빌라2,71.57,31.58,201503,12,"        12,500",2,,,1993,하남천동길44번길 8,,,,,
,경상남도 창원의창구 소답동,145-5,145,5,익산무지개빌라,77.985,46.7,201503,8,"        17,000",1,,,1992,의창대로317번길 57,,,,,
,경상남도 창원의창구 소답동,134-7,134,7,이조빌라,45.84,19.5,201503,25,"         8,000",5,,,1993,의안로28번길 29-6,,,,,
,경상남도 창원의창구 도계동,360-4,360,4,리코아트빌라,72.99,66.58,201503,24,"        14,600",2,,,1994,하남천동길44번길 5-7,,,,,
,경상남도 창원의창구 팔용동,177-2,177,2,청원빌,76.42,57.11,201503,5,"        15,000",4,,,2012,남산로9번길 10-6,,,,,
,경상남도 창원의창구 팔용동,163-18,163,18,대원하이빌B동,84.98,60.2,201503,3,"        20,750",4,,,2011,사화로1번길 12,,,,,
,경상남도 창원의창구 팔용동,163-2,163,2,대원하이빌C동,84.98,60.18,201503,28,"        20,700",2,,,2011,사화로1번길 14,,,,,
,경상남도 창원의창구 팔용동,168-4,168,4,대한파크,68.19,30.17,201503,28,"        11,000",4,,,1996,의창대로116번길 12,,,,,
,경상남도 창원의창구 도계동,397-8,397,8,리코명작빌라가동,76.5,40.28,201503,19,"        16,500",5,,,1997,원이대로69번길 30-13,,,,,
,경상남도 창원의창구 도계동,342-6,342,6,기전맨션,59.51,61.98,201503,6,"        13,700",3,,,1996,도계로50번길 5-7,,,,,
,경상남도 창원의창구 중동,642-1,642,1,중동성은빌라3차,84.09,55.09,201503,3,"        13,500",2,,,1997,의안로27번길 23,,,,,
,경상남도 창원의창구 대산면 제동리,270-3,270,3,하림빌라,57.78,59.84,201503,18,"         5,000",2,,,1990,진산대로355번길 16-13,,,,,
,경상남도 창원의창구 소답동,148-7,148,7,형제상가빌라,73.47,33.66,201503,25,"         9,000",6,,,1994,의안로66번길 39,,,,,
,경상남도 창원의창구 도계동,359-7,359,7,성창빌라,39.48,18.78,201504,1,"         6,100",1,,,1994,하남천동길32번길 3-25,,,,,
,경상남도 창원의창구 도계동,348-3,348,3,성산빌라6차,67.17,33.03,201504,2,"        13,900",3,,,1993,원이대로55번길 12-22,,,,,
,경상남도 창원의창구 도계동,327-1,327,1,환웅수빌리지,67.34,44.12,201504,1,"        19,300",2,,,2015,도계로 35-8,,,,,
,경상남도 창원의창구 도계동,303-2,303,2,세종빌라,81.33,56.05,201504,17,"        17,400",4,,,2002,도계두리길6번길 5-15,,,,,
,경상남도 창원의창구 소계동,716-29,716,29,안성빌라,64.27,43.37,201504,18,"        15,250",2,,,2003,금강로355번길 27-9,,,,,
,경상남도 창원의창구 북면 신촌리,879-1,879,1,올라빌,75.31,78.18,201504,4,"        18,000",4,,,2013,신리길30번길 20,,,,,
,경상남도 창원의창구 북면 신촌리,905-19,905,19,리치빌,76.0,66.78,201504,1,"        14,000",2,,,2012,신촌본포로 12-20,,,,,
,경상남도 창원의창구 소답동,150-22,150,22,남양빌라1차,48.12,48.94,201504,4,"         8,800",5,,,1994,읍성로101번길 16,,,,,
,경상남도 창원의창구 북면 신촌리,1386-67,1386,67,거풍힐링빌2단지,75.915,90.87,201504,8,"        16,000",4,,,2013,천주로 1202-12,,,,,
,경상남도 창원의창구 서상동,453-2,453,2,정동아트빌라1차,69.98,35.8,201504,23,"        13,700",5,,,1998,의창대로211번길 29,,,,,
,경상남도 창원의창구 소계동,707-10,707,10,이조빌라B동,76.205,56.65,201504,8,"        19,000",4,,,2009,소계로90번길 20,,,,,
,경상남도 창원의창구 동읍 용잠리,654,654,0,동아바론하우스,84.972,78.5,201504,20,"        21,000",4,,,2013,동읍로83번길 30-7,,,,,
,경상남도 창원의창구 도계동,360-7,360,7,근사한집(원창),61.5,34.05,201504,11,"        12,800",2,,,1996,하남천동길44번길 5-6,,,,,
,경상남도 창원의창구 중동,447-1,447,1,남산빌라,79.15,48.07,201504,10,"        10,000",5,,,1998,의안로 23,,,,,
,경상남도 창원의창구 중동,480-25,480,25,중동빌라,74.79,43.68,201504,8,"        16,900",3,,,1996,의안로27번길 5,,,,,
,경상남도 창원의창구 소답동,142-39,142,39,영진블루빌B,68.41,50.75,201504,23,"        18,500",4,,,2010,의창대로289번길 15,,,,,
,경상남도 창원의창구 팔용동,65,65,0,프라임하우스1단지,209.12,329.49,201504,10,"        57,818",1,,,2010,반계로62번길 24,,,,,
,경상남도 창원의창구 도계동,404-1,404,1,서광데파트,84.885,24.17,201504,23,"        12,000",5,,,1989,태복산로3번길 41,,,,,
,경상남도 창원의창구 소답동,132-17,132,17,팔도상가,70.27,38.38,201504,16,"        13,000",5,,,1991,읍성로79번길 2,,,,,
,경상남도 창원의창구 대산면 가술리,387-26,387,26,한솔푸르네오,57.37,52.28,201504,15,"        12,200",2,,,2014,가술길1번길 19,,,,,
,경상남도 창원의창구 소답동,119-18,119,18,옥산빌라,56.5,20.29,201504,11,"         9,000",6,,,1997,의안로32번길 24,,,,,
,경상남도 창원의창구 소답동,152-18,152,18,신흥빌라,71.455,32.1,201504,6,"        14,200",2,,,1994,의창대로299번길 19,,,,,
,경상남도 창원의창구 소답동,152-19,152,19,태백산빌라,63.05,28.23,201504,18,"        11,000",5,,,1998,의창대로299번길 15,,,,,
,경상남도 창원의창구 도계동,327-1,327,1,환웅수빌리지,73.79,48.34,201504,1,"        21,400",4,,,2015,도계로 35-8,,,,,
