□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 단독다가구(매매),,,,,주소구분 : 지번 주소,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,
,,,,,,,,,,,,,,,,
NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
164,경상남도 창원시 진해구 이동,6**,다가구,12m미만,200.55,184.70,202007,31,"33,500",-,-,2004,이동로27번길,-,-,-
165,경상남도 창원시 진해구 경화동,1***,단독,25m이상,57.39,101.20,202007,29,"10,800",-,-,1982,태백로,-,-,-
166,경상남도 창원시 진해구 덕산동,7*,단독,8m미만,35.70,50.00,202007,28,"4,490",-,-,1960,덕산로14번길,-,-,-
167,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,470.58,243.90,202007,27,"48,000",-,-,2008,용재로59번길,-,-,-
168,경상남도 창원시 진해구 제황산동,2*,단독,12m미만,140.48,165.00,202007,27,"9,000",-,-,1977,인사로23번길,-,-,-
169,경상남도 창원시 진해구 여좌동,8**,단독,8m미만,41.00,84.60,202007,27,"10,200",-,-,1987,대야로,-,-,-
170,경상남도 창원시 진해구 용원동,1***,단독,12m미만,459.07,230.10,202007,27,"54,000",-,-,2008,용재로89번길,-,-,-
171,경상남도 창원시 진해구 경화동,9**,단독,8m미만,20.30,59.00,202007,22,"4,023",-,-,1950,충장로329번길,-,-,-
172,경상남도 창원시 진해구 대죽동,1*,단독,12m미만,36.10,50.00,202007,20,"6,500",-,-,1938,속천로,-,-,-
173,경상남도 창원시 진해구 태백동,1*,단독,8m미만,60.14,56.00,202007,20,"11,200",-,-,1995,대야남로62번길,-,-,-
174,경상남도 창원시 진해구 제덕동,5**,단독,8m미만,139.51,188.00,202007,17,"15,000",-,-,1991,제덕로234번길,-,-,-
175,경상남도 창원시 진해구 근화동,1*,단독,8m미만,27.11,46.30,202007,17,"2,100",-,-,1970,중원동로,-,-,-
176,경상남도 창원시 진해구 경화동,8**,단독,8m미만,67.44,269.00,202007,14,"11,800",-,-,1979,진해대로694번길,-,-,-
177,경상남도 창원시 진해구 무송동,*,단독,12m미만,27.50,66.10,202007,14,"5,700",-,-,1969,태평로66번길,-,-,-
178,경상남도 창원시 진해구 경화동,1***,단독,12m미만,99.15,105.00,202007,13,"9,500",-,-,1979,충장로235번길,-,-,-
179,경상남도 창원시 진해구 자은동,8**,다가구,12m미만,342.60,193.00,202007,13,"34,200",-,-,2006,진해대로914번길,-,-,-
180,경상남도 창원시 진해구 경화동,1***,단독,12m미만,71.00,169.30,202007,12,"12,500",-,-,1975,중초로,20200811,-,-
181,경상남도 창원시 진해구 대죽동,1*,단독,12m미만,36.10,50.00,202007,10,"6,200",-,-,1938,속천로,-,-,-
182,경상남도 창원시 진해구 자은동,8**,단독,12m미만,71.62,68.00,202007,09,"9,500",-,-,1993,덕산로,-,-,-
183,경상남도 창원시 진해구 태백동,1*,단독,8m미만,58.10,112.00,202007,09,"13,022",-,-,2002,대야로66번길,-,-,-
184,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,490.56,231.10,202007,08,"36,000",-,-,2003,용재로67번길,-,-,-
185,경상남도 창원시 진해구 소사동,1**,단독,8m미만,55.72,116.80,202007,07,"10,400",-,-,1983,소사천로26번길,-,-,-
186,경상남도 창원시 진해구 여좌동,8**,단독,8m미만,78.48,72.50,202007,06,"10,000",-,-,1999,대야로,-,-,-
187,경상남도 창원시 진해구 용원동,1***,단독,12m미만,417.42,250.10,202007,05,"42,500",-,-,2001,용재로67번길,-,-,-
188,경상남도 창원시 진해구 자은동,6**,단독,8m미만,151.89,157.00,202007,04,"16,000",-,-,1992,진해대로988번길,-,-,-
189,경상남도 창원시 진해구 자은동,6**,단독,8m미만,151.89,157.00,202007,04,"16,000",-,-,1992,진해대로988번길,20200805,-,-
190,경상남도 창원시 진해구 여좌동,8**,단독,8m미만,68.97,114.00,202007,03,"12,585",-,-,1960,대야남로35번길,-,-,-
191,경상남도 창원시 진해구 경화동,6**,단독,8m미만,47.60,155.00,202007,02,"13,100",-,-,1965,경화로33번길,-,-,-
192,경상남도 창원시 진해구 여좌동,9**,단독,8m미만,68.10,123.90,202007,02,"12,850",-,-,1961,대야로,-,-,-
193,경상남도 창원시 진해구 자은동,8**,단독,25m미만,389.57,167.00,202007,01,"70,000",-,-,2007,진해대로970번길,-,-,-
194,경상남도 창원시 진해구 태백동,1*,단독,8m미만,87.24,150.00,202007,01,"16,100",-,-,1988,대야로66번길,-,-,-
