시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 월영동,4**,단독,8m미만,81.03,119,201902,11,"        18,000",2008,월영북3길
경상남도 창원마산합포구 월영동,4**,단독,8m미만,94.62,119,201901,11,"        17,500",1978,월영북2길
경상남도 창원마산합포구 월영동,6**,단독,8m미만,66.87,123,201905,6,"        12,000",1978,월영남12길
경상남도 창원마산합포구 월영동,6**,단독,8m미만,122.2,136,201809,29,"        23,700",1960,월영남18길
경상남도 창원마산합포구 월영동,6**,단독,8m미만,131.05,136,201812,1,"        28,250",1960,월영남18길
경상남도 창원마산합포구 월영동,6**,단독,8m미만,131.67,136,201810,5,"        25,000",1983,월영남13길
경상남도 창원마산합포구 월영동,6**,단독,8m미만,148.37,136,201812,1,"        23,000",1960,월영남18길
경상남도 창원마산합포구 월영동,6**,단독,8m미만,129.59,150,201809,10,"        13,500",1980,월영남17길
경상남도 창원마산합포구 월영동,4**,단독,8m미만,42.72,155,201810,31,"        20,000",1960,월영북로
경상남도 창원마산합포구 월포동,*,단독,8m미만,83.82,142.1,201811,8,"        12,000",1995,3·15대로
경상남도 창원마산합포구 자산동,1**,단독,8m미만,37.5,13,201906,28,"         3,400",1998,자산동9길
경상남도 창원마산합포구 자산동,1**,단독,8m미만,31.87,56,201904,1,"         6,000",1998,자산동3길
경상남도 창원마산합포구 자산동,1**,단독,8m미만,46.1,69,201904,10,"         9,000",2011,자산동1길
경상남도 창원마산합포구 자산동,2**,단독,8m미만,33.63,72,201902,18,"         3,100",1994,자산서9길
경상남도 창원마산합포구 자산동,1**,단독,8m미만,78.27,74,201810,5,"        15,000",1997,자산북1길
경상남도 창원마산합포구 자산동,3**,단독,8m미만,40.83,79,201807,3,"         7,200",1990,자산남11길
경상남도 창원마산합포구 자산동,2**,단독,25m미만,28.46,89,201905,30,"        15,000",1988,자산삼거리로
경상남도 창원마산합포구 자산동,1**,단독,8m미만,48.58,89,201904,1,"         8,000",2001,자산동9길
경상남도 창원마산합포구 자산동,2**,단독,8m미만,49.19,119,201812,14,"         3,800",1974,자산서4길
경상남도 창원마산합포구 자산동,3**,단독,8m미만,60.8,136,201810,2,"         6,800",1968,자산남14길
경상남도 창원마산합포구 자산동,3**,단독,8m미만,162.4,152.7,201906,22,"        14,800",1989,자산서11길
경상남도 창원마산합포구 자산동,3**,단독,8m미만,61.16,206,201902,26,"        10,300",2001,자산남10길
경상남도 창원마산합포구 장군동2가,*,단독,8m미만,134.6,122.3,201903,21,"        15,040",1987,중앙남10길
경상남도 창원마산합포구 장군동3가,*,단독,8m미만,28.93,97.5,201901,17,"         8,700",2010,완월동1길
경상남도 창원마산합포구 장군동3가,1*,단독,12m미만,82.12,106.2,201904,29,"        20,300",2008,중앙남3길
경상남도 창원마산합포구 장군동3가,*,단독,8m미만,27.77,110.7,201808,20,"         8,450",1960,완월동1길
경상남도 창원마산합포구 장군동3가,*,단독,8m미만,175.68,133.3,201903,4,"        34,000",2019,완월동1길
경상남도 창원마산합포구 장군동3가,1*,단독,12m미만,467.68,284.2,201901,22,"        89,900",2011,중앙남6길
경상남도 창원마산합포구 장군동4가,2*,단독,8m미만,27.77,52.9,201807,17,"         8,200",1960,완월동7길
경상남도 창원마산합포구 장군동4가,2*,단독,8m미만,102.18,121.4,201812,27,"        13,500",1976,장군천로
경상남도 창원마산합포구 장군동4가,1*,단독,8m미만,482.26,247,201807,30,"        94,000",2014,완월동11길
경상남도 창원마산합포구 중성동,1*,단독,8m미만,6.61,46.3,201809,21,"         4,000",1960,오동서17길
경상남도 창원마산합포구 중성동,1*,단독,8m미만,71.16,125.6,201904,19,"        11,000",2002,오동서18길
경상남도 창원마산합포구 중성동,1**,단독,8m미만,131.11,170.6,201807,4,"        23,000",1990,오동서1길
경상남도 창원마산합포구 중앙동2가,*,단독,8m미만,64.83,125.6,201905,31,"         7,500",1976,중앙동3길
경상남도 창원마산합포구 중앙동3가,*,단독,12m미만,63.6,45,201812,9,"         6,500",1960,중앙북5길
경상남도 창원마산합포구 중앙동3가,*,단독,8m미만,440.19,233.7,201901,30,"        25,000",1993,3·15대로
경상남도 창원마산합포구 진동면 고현리,2**,단독,8m미만,84.46,76.6,201811,16,"         4,000",1986,고현장터길
경상남도 창원마산합포구 진동면 고현리,2**,단독,12m미만,165.16,104,201904,11,"        13,000",2008,미더덕로
경상남도 창원마산합포구 진동면 고현리,1**,단독,8m미만,85.84,160,201809,21,"         6,500",1997,미더덕로
경상남도 창원마산합포구 진동면 고현리,4*,단독,8m미만,60.6,164,201809,12,"         6,500",1984,고현새동네길
경상남도 창원마산합포구 진동면 고현리,4*,단독,8m미만,60.6,164,201903,23,"         6,500",1984,고현새동네길
경상남도 창원마산합포구 진동면 고현리,3**,단독,-,67,234.8,201906,16,"         6,250",1998,고현장터길
경상남도 창원마산합포구 진동면 고현리,1**,단독,-,49.92,302,201905,7,"        12,000",2011,장기2길
경상남도 창원마산합포구 진동면 사동리,9*,단독,8m미만,67.2,132,201809,6,"        10,500",1992,사동길
경상남도 창원마산합포구 진동면 신기리,3**,단독,8m미만,47.3,96,201901,14,"         8,800",2011,미더덕로
경상남도 창원마산합포구 진동면 신기리,2**,단독,8m미만,147.28,137,201904,19,"         7,500",1998,신기남산길
경상남도 창원마산합포구 진동면 신기리,3**,단독,8m미만,47.99,232,201811,7,"         5,000",1960,신기남산길
경상남도 창원마산합포구 진동면 신기리,2**,단독,-,90.35,268,201810,19,"         6,200",1960,죽전안담길
경상남도 창원마산합포구 진동면 신기리,2**,단독,8m미만,115.11,330,201810,2,"        22,000",1960,신기남산길
경상남도 창원마산합포구 진동면 신기리,3**,단독,8m미만,82.01,369,201809,27,"         7,800",1960,신기남산길
경상남도 창원마산합포구 진동면 요장리,2**,단독,12m미만,47.32,107,201904,17,"         6,700",1979,해양관광로
경상남도 창원마산합포구 진동면 요장리,2**,단독,8m미만,52.8,112,201904,25,"         3,500",1997,해양관광로
