□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 석전동,48-9,0048,0009,성우예은빌,65.189,65.05,201812,24,"        17,000",5,2018,회원서1길 61
경상남도 창원마산회원구 석전동,48-9,0048,0009,성우예은빌,65.189,65.05,201812,24,"        17,000",4,2018,회원서1길 61
경상남도 창원마산회원구 석전동,48-9,0048,0009,성우예은빌,65.189,65.05,201812,24,"        17,000",2,2018,회원서1길 61
경상남도 창원마산회원구 석전동,48-9,0048,0009,성우예은빌,65.189,65.05,201902,21,"        17,000",2,2018,회원서1길 61
경상남도 창원마산회원구 석전동,48-9,0048,0009,성우예은빌,65.189,65.05,201906,20,"        17,000",3,2018,회원서1길 61
경상남도 창원마산회원구 석전동,278-10,0278,0010,성진,42.9,55.65,201903,31,"         3,600",3,1982,석전서9길 23
경상남도 창원마산회원구 석전동,277-8,0277,0008,유림,53.701,33.91,201904,10,"         8,000",4,2003,석전서1길 3
경상남도 창원마산회원구 석전동,247-7,0247,0007,이화,34.68,30.57,201809,11,"         5,000",1,1979,석전동6길 21
경상남도 창원마산회원구 석전동,247-7,0247,0007,이화,34.68,30.57,201902,15,"         4,000",1,1979,석전동6길 21
경상남도 창원마산회원구 석전동,191-29,0191,0029,청원,64.28,39.85,201812,1,"         9,300",3,1984,석전서6길 132
경상남도 창원마산회원구 양덕동,154-10,0154,0010,(154-10),29.62,41.33,201904,18,"         3,900",1,1979,양덕남9길 39
경상남도 창원마산회원구 양덕동,164-76,0164,0076,(164-76),48.135,54.99,201807,2,"         9,060",1,1985,양덕동4길 15
경상남도 창원마산회원구 양덕동,58-10,0058,0010,(58-10),69.29,81.9,201906,10,"         7,900",1,1979,양덕남7길 12-8
경상남도 창원마산회원구 양덕동,97-6,0097,0006,삼정주택,52.44,40.05,201811,17,"         6,800",1,1984,양덕북18길 67
경상남도 창원마산회원구 양덕동,158-14,0158,0014,송학,57.72,28.7,201902,18,"         9,000",2,1979,양덕동1길 10
경상남도 창원마산회원구 양덕동,158-14,0158,0014,송학,47.44,28.7,201905,1,"         6,700",4,1979,양덕동1길 10
경상남도 창원마산회원구 양덕동,150-20,0150,0020,수산,56.63,31.59,201809,5,"         8,000",3,1977,양덕남8길 12
경상남도 창원마산회원구 양덕동,28-7,0028,0007,시티원,79.64,47.81,201811,24,"        10,500",2,2004,양덕동15길 13-1
경상남도 창원마산회원구 양덕동,158-7,0158,0007,타코마,54.94,42.03,201905,3,"         8,000",3,1976,양덕로 65
경상남도 창원마산회원구 합성동,145-3,0145,0003,(145-3),56.17,45.9,201809,27,"         7,200",2,1979,합성동11길 22-1
경상남도 창원마산회원구 합성동,209-9,0209,0009,(209-9),72.69,56.17,201809,5,"         8,450",1,1979,합성남12길 47-17
경상남도 창원마산회원구 합성동,602-102,0602,0102,대암빌라B동,66.28,33.74,201812,7,"         8,000",4,2002,합성북9길 2
경상남도 창원마산회원구 합성동,321-1,0321,0001,대영빌라,60.22,28.31,201808,30,"        12,500",4,1996,합성동11길 81
경상남도 창원마산회원구 합성동,100-20,0100,0020,대영빌라(100-20),58.09,22.52,201811,13,"        18,500",4,2017,합성서1길 16
경상남도 창원마산회원구 합성동,67-12,0067,0012,성산,45.65,41,201809,20,"         7,800",1,1980,합포성지길 42
경상남도 창원마산회원구 합성동,595-4,0595,0004,세보빌,63.49,32.25,201807,10,"         7,900",4,2004,합성북8길 28
경상남도 창원마산회원구 합성동,129-13,0129,0013,세종,48.43,28.67,201810,25,"         7,720",1,1981,합성서1길 153
경상남도 창원마산회원구 합성동,602-6,0602,0006,웰 하우스,40.9986,45.3,201905,16,"         9,400",2,2013,금강로 90
경상남도 창원마산회원구 합성동,131-59,0131,0059,조은아트빌C,71.44,50.91,201809,10,"         8,000",3,2003,합성동4길 10
경상남도 창원마산회원구 합성동,129-6,0129,0006,태우,51.9,39.67,201906,4,"         8,000",2,1983,합성서11길 148-1
경상남도 창원마산회원구 회성동,470-6,0470,0006,82회성국민주택,42.68,39.43,201807,2,"         4,000",3,1982,회성동8길 18
경상남도 창원마산회원구 회성동,459-10,0459,0010,82회성국민주택(신광),42.91,46.06,201808,6,"         6,000",2,1982,회성남17길 14
경상남도 창원마산회원구 회성동,207-3,0207,0003,동남국민주택,57.06,54.21,201902,26,"         5,300",3,1986,회성북1길 50-1
경상남도 창원마산회원구 회성동,445-18,0445,0018,두승,72.11,34.75,201809,20,"         7,460",4,2003,회성남7길 26
경상남도 창원마산회원구 회성동,442-19,0442,0019,신신,49.14,46.56,201807,6,"         6,500",1,1983,회성남5길 14
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,84.9895,64.06,201810,22,"        26,900",1,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,77.8984,58.85,201810,22,"        21,800",1,2017,회성남20길 47
