□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원진해구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201509,14,"        20,500",4,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.96,127.18,201509,30,"        27,500",3,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.96,112.41,201510,1,"        23,800",4,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,83.47,201510,9,"        21,000",1,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201510,19,"        21,300",3,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201510,21,"        20,500",4,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.96,112.41,201510,29,"        25,900",3,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201510,29,"        21,300",4,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.96,112.41,201511,5,"        22,000",4,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,83.47,201511,7,"        20,400",1,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.96,104.58,201512,11,"        23,800",1,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201601,30,"        19,100",4,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.96,127.18,201602,29,"        26,500",4,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,83.47,201603,4,"        18,250",1,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.96,104.58,201604,1,"        25,000",1,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201604,1,"        21,800",4,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201604,22,"        19,800",3,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,83.47,201606,6,"        19,500",1,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201606,15,"        19,000",4,2003,석동로 80
경상남도 창원진해구 석동,413-4,0413,0004,안성빌라,79.675,45.5,201606,21,"        12,500",4,1996,진해대로763번길 23
경상남도 창원진해구 석동,298-2,0298,0002,유일수정빌라,70.95,39.81,201606,3,"        11,500",4,1994,돌리로10번길 25
경상남도 창원진해구 속천동,4-2,0004,0002,유진파크뷰,73.185,57.83,201509,21,"        17,900",5,2012,속천로 57
경상남도 창원진해구 속천동,4-2,0004,0002,유진파크뷰,74.13,58.58,201603,23,"        16,000",4,2012,속천로 57
경상남도 창원진해구 송학동,50-10,0050,0010,중앙상가,80.39,4.96,201507,15,"         8,500",2,1980,벚꽃로60번길 19-2
경상남도 창원진해구 송학동,50-10,0050,0010,중앙상가,80.39,4.96,201510,23,"         9,000",3,1980,벚꽃로60번길 9-2
경상남도 창원진해구 여좌동,93-1,0093,0001,녹원빌라,42.17,22.17,201601,25,"         5,950",1,1993,여좌천로 78
경상남도 창원진해구 여좌동,901-7,0901,0007,대야동구,61.16,43.8,201511,23,"         4,000",2,1979,대야남로63번길 5
경상남도 창원진해구 여좌동,120-35,0120,0035,동백맨션,64.06,40.5,201602,2,"        11,000",2,1985,여좌남로41번길 12
경상남도 창원진해구 여좌동,120-35,0120,0035,동백맨션,64.06,40.5,201603,30,"        10,000",2,1985,여좌남로41번길 12
경상남도 창원진해구 여좌동,39-2,0039,0002,라인빌라,45.16,28.52,201512,14,"         6,800",1,1998,여좌천로 94
경상남도 창원진해구 여좌동,39-2,0039,0002,라인빌라,50.56,31.94,201603,19,"         7,600",2,1998,여좌천로 94
경상남도 창원진해구 여좌동,8-3,0008,0003,목화나동,46.17,41.44,201509,3,"         4,800",1,1988,여좌천로116번길 14
경상남도 창원진해구 여좌동,122-24,0122,0024,삼원맨션,75.88,52.99,201509,14,"         8,750",1,1983,여좌남로55번길 14
경상남도 창원진해구 여좌동,122-24,0122,0024,삼원맨션,75.88,52.98,201511,29,"         8,200",3,1983,여좌남로55번길 14
경상남도 창원진해구 여좌동,750-1,0750,0001,서진,73.35,54.05,201605,23,"        12,000",1,1991,여좌남로 14
경상남도 창원진해구 여좌동,113-24,0113,0024,세운APT,58.2,42,201601,22,"         5,600",2,1983,여좌로40번길 14-4
경상남도 창원진해구 여좌동,101-1,0101,0001,세진체리힐가든,150.42,81.4,201508,11,"        26,500",3,1991,여명로25번라길 22
경상남도 창원진해구 여좌동,101-1,0101,0001,세진체리힐가든,163.33,88.38,201509,8,"        25,000",2,1991,여명로25번라길 22
경상남도 창원진해구 여좌동,121-1,0121,0001,신흥연립(가),46.695,27,201512,5,"         8,000",3,1988,여좌남로55번안길 3
경상남도 창원진해구 여좌동,120-3,0120,0003,예덴빌라,43.63,22.13,201511,23,"         6,500",3,2005,여좌남로55번안길 9
경상남도 창원진해구 여좌동,2-26,0002,0026,장복(2-26),55.89,66,201508,19,"         5,500",1,1983,여좌천로116번길 7-2
경상남도 창원진해구 여좌동,2-26,0002,0026,장복(2-26),55.89,66,201509,9,"         5,680",1,1983,여좌천로116번길 7-2
경상남도 창원진해구 여좌동,2-26,0002,0026,장복(2-26),55.89,66,201601,16,"         6,000",2,1983,여좌천로116번길 7-2
경상남도 창원진해구 여좌동,4-8,0004,0008,중앙빌라,57.69,34.71,201601,20,"         6,250",3,1991,여좌로118번다길 6
경상남도 창원진해구 여좌동,104-1,0104,0001,청송빌라,44.25,21.6,201511,10,"         5,700",2,1983,여명로 78
경상남도 창원진해구 여좌동,104-1,0104,0001,청송빌라,39.54,19.3,201604,25,"         5,000",2,1983,여명로 78
경상남도 창원진해구 여좌동,107-30,0107,0030,한일빌라(107-30),84.84,43.2,201510,29,"        11,000",4,1990,여명로 51-1
경상남도 창원진해구 여좌동,121-35,0121,0035,한일주택(121-35),75,82.6,201508,5,"        10,000",1,1987,여좌남로49번길 16-4
경상남도 창원진해구 여좌동,37-24,0037,0024,해성APT,70.55,45.5,201509,9,"         6,700",2,1979,여좌로118번길 20
경상남도 창원진해구 여좌동,37-24,0037,0024,해성APT,70.55,45.5,201511,7,"         5,900",2,1979,여좌로118번길 20
경상남도 창원진해구 여좌동,37-24,0037,0024,해성APT,70.55,45.5,201511,11,"         6,800",4,1979,여좌로118번길 20
경상남도 창원진해구 여좌동,37-24,0037,0024,해성APT,70.55,45.5,201606,30,"         6,000",3,1979,여좌로118번길 20
경상남도 창원진해구 용원동,1125-8,1125,0008,해동아트빌라,76.1,40.07,201512,15,"         9,600",1,2005,용원동로 280-1
경상남도 창원진해구 이동,154-4,0154,0004,경남맨션,103.26,53.36,201512,18,"        11,000",2,1993,이동로54번길 8
경상남도 창원진해구 이동,334-1,0334,0001,대풍빌리지,58.44,21.5,201606,10,"         6,200",4,1995,해원로8번길 15
