□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 동읍 용잠리,132-7,0132,0007,삼우빌라,67.76,50.07,201507,28,"         6,850",1,1991,의창대로915번길 21
경상남도 창원의창구 동읍 용잠리,437-29,0437,0029,성우하이빌,73.44,64.7,201509,9,"        16,500",1,2015,동읍로19번길 2-8
경상남도 창원의창구 동읍 용잠리,437-29,0437,0029,성우하이빌,73.26,64.55,201509,9,"        16,400",1,2015,동읍로19번길 2-8
경상남도 창원의창구 동읍 용잠리,437-29,0437,0029,성우하이빌,73.26,64.55,201510,22,"        17,000",2,2015,동읍로19번길 2-8
경상남도 창원의창구 동읍 용잠리,437-29,0437,0029,성우하이빌,73.26,64.55,201511,5,"        16,500",4,2015,동읍로19번길 2-8
경상남도 창원의창구 동읍 용잠리,437-29,0437,0029,성우하이빌,73.26,64.55,201605,27,"        17,190",3,2015,동읍로19번길 2-8
경상남도 창원의창구 동읍 용잠리,779-3,0779,0003,소전파크빌,67.24,74.5,201507,3,"        16,000",2,2013,동읍로71번길 11
경상남도 창원의창구 동읍 용잠리,779-3,0779,0003,소전파크빌,67.24,74.5,201509,18,"        16,500",1,2013,동읍로71번길 11
경상남도 창원의창구 동읍 용잠리,779-3,0779,0003,소전파크빌,67.24,74.5,201511,11,"        15,000",1,2013,동읍로71번길 11
경상남도 창원의창구 동읍 용정리,21-4,0021,0004,대원하이빌1차,82.69,75.89,201507,31,"        17,500",4,2012,용정길46번길 16
경상남도 창원의창구 동읍 용정리,21-5,0021,0005,대원하이빌2차,82.59,63.55,201507,30,"        17,800",2,2012,용정길46번길 20
경상남도 창원의창구 동읍 용정리,21-5,0021,0005,대원하이빌2차,82.59,63.55,201510,13,"        16,500",1,2012,용정길46번길 20
경상남도 창원의창구 동읍 용정리,21-5,0021,0005,대원하이빌2차,82.59,63.55,201603,12,"        16,500",1,2012,용정길46번길 20
경상남도 창원의창구 동읍 용정리,20-5,0020,0005,라인빌라트,84.995,48.65,201511,3,"         9,000",3,1998,용정길46번길 39
경상남도 창원의창구 동읍 용정리,20-5,0020,0005,라인빌라트,84.995,48.65,201604,8,"         8,500",5,1998,용정길46번길 39
경상남도 창원의창구 동읍 용정리,159-2,0159,0002,자미르하우스,60.63,88.03,201512,30,"        13,800",5,2012,자여로115번길 5
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201510,30,"        14,500",3,2012,용정길46번길 11
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201511,6,"        15,000",3,2012,용정길46번길 11
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201511,13,"        15,000",4,2012,용정길46번길 11
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201601,3,"        17,732",2,2012,용정길46번길 11
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201602,17,"        16,000",2,2012,용정길46번길 11
경상남도 창원의창구 동정동,284-2,0284,0002,대성빌라트,65.565,37.06,201509,14,"        10,000",3,2002,서상로35번길 10-4
경상남도 창원의창구 동정동,284-2,0284,0002,대성빌라트,84.87,47.97,201606,30,"        16,000",3,2002,서상로35번길 10-4
경상남도 창원의창구 동정동,334-2,0334,0002,더푸름빌리지,74.2996,70.03,201604,4,"        24,203",2,2016,동정길 53-17
경상남도 창원의창구 동정동,334-2,0334,0002,더푸름빌리지,74.2996,70.03,201605,13,"        24,203",4,2016,동정길 53-17
경상남도 창원의창구 동정동,275-5,0275,0005,덕산세영파크2차,46.84,38.04,201509,2,"        19,000",1,2014,서상로 39-8
경상남도 창원의창구 북동,2,0002,0000,성원큐브타운B동,82.175,82.18,201512,1,"        23,000",2,2015,천주로36번길 46-6
경상남도 창원의창구 북동,2,0002,0000,성원큐브타운B동,77.235,70.22,201601,5,"        22,000",1,2015,천주로36번길 46-6
경상남도 창원의창구 북동,2,0002,0000,성원큐브타운B동,73.615,66.93,201602,29,"        20,900",2,2015,천주로36번길 46-6
경상남도 창원의창구 북동,2,0002,0000,성원큐브타운B동,68.735,62.49,201604,5,"        19,000",1,2015,천주로36번길 46-6
경상남도 창원의창구 북동,2,0002,0000,성원큐브타운B동,73.615,66.93,201604,7,"        21,000",3,2015,천주로36번길 46-6
경상남도 창원의창구 북동,2,0002,0000,성원큐브타운B동,82.175,74.71,201606,8,"        22,000",3,2015,천주로36번길 46-6
경상남도 창원의창구 북동,2-2,0002,0002,성원큐브타운C동,80.215,61.64,201601,5,"        23,000",1,2015,천주로36번길 46-2
경상남도 창원의창구 북동,2-2,0002,0002,성원큐브타운C동,80.215,61.64,201601,25,"        22,800",1,2015,천주로36번길 46-2
경상남도 창원의창구 북동,2-3,0002,0003,성원큐브타운D동,78.795,63.07,201603,12,"        20,900",1,2015,천주로36번길 44
경상남도 창원의창구 북동,56,0056,0000,썬빌Ⅱ,76.86,56.74,201601,27,"        23,500",2,2012,의안로43번길 11
경상남도 창원의창구 북동,49,0049,0000,이조빌라7차,76.18,67.75,201601,14,"        16,000",4,2005,의안로49번길 8
경상남도 창원의창구 북동,49-15,0049,0015,"이조빌라8,9차",75.78,50.56,201508,26,"        18,900",3,2005,의안로43번길 4-7
경상남도 창원의창구 북동,49-15,0049,0015,"이조빌라8,9차",75.78,50.56,201604,1,"        16,800",5,2005,의안로43번길 4-9
경상남도 창원의창구 북면 신촌리,882-4,0882,0004,SK빌,65.367,69.75,201606,30,"        19,500",4,2016,신리길30번길 10
경상남도 창원의창구 북면 신촌리,1533-9,1533,0009,거풍센터빌1단지,84.564,91.08,201507,17,"        20,900",1,2014,신촌본포로 5-10
경상남도 창원의창구 북면 신촌리,1533-14,1533,0014,거풍센터빌2단지,82.224,90.14,201509,24,"        20,500",1,2014,신촌본포로 5-14
경상남도 창원의창구 북면 신촌리,1533-14,1533,0014,거풍센터빌2단지,82.224,90.14,201512,7,"        20,500",2,2014,신촌본포로 5-14
경상남도 창원의창구 북면 신촌리,1533-14,1533,0014,거풍센터빌2단지,82.224,90.14,201512,16,"        20,000",1,2014,신촌본포로 5-14
경상남도 창원의창구 북면 신촌리,1386-65,1386,0065,거풍힐링빌,75.915,82.93,201511,27,"        16,500",3,2014,천주로 1202-15
경상남도 창원의창구 북면 신촌리,1386-10,1386,0010,거풍힐링빌,75.915,87,201601,15,"        16,200",4,2014,천주로 1202-7
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,76.7,61.51,201508,3,"        18,600",2,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,76.7,61.51,201508,3,"        19,000",3,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,76.7,61.51,201508,4,"        19,000",2,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,77.72,62.35,201508,18,"        18,500",3,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,77.72,62.35,201508,18,"        19,000",2,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,76.7,61.51,201508,28,"        18,700",4,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,77.72,62.35,201508,28,"        18,950",4,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,77.72,62.35,201509,11,"        18,950",2,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,76.7,61.51,201510,21,"        18,000",3,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,76.7,61.51,201510,21,"        18,000",5,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,77.72,62.35,201510,21,"        18,000",5,2015,신리길 25
