□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 북동,56,0056,0000,썬빌Ⅱ,81.17,59.92,201904,5,"        14,200",4,2012,의안로43번길 11
경상남도 창원의창구 북동,28,0028,0000,정도체리빌라,56,35,201811,7,"         9,000",3,2005,의안로55번길 15
경상남도 창원의창구 북면 신촌리,1386-65,1386,0065,거풍힐링빌,75.915,82.94,201901,28,"        14,000",3,2014,천주로 1202-15
경상남도 창원의창구 북면 신촌리,1386-16,1386,0016,거풍힐링빌1단지,75.915,86.88,201812,18,"         9,200",1,2013,천주로 1202-8
경상남도 창원의창구 북면 신촌리,1386-67,1386,0067,거풍힐링빌2단지,75.915,90.88,201807,3,"        10,000",3,2013,천주로 1202-12
경상남도 창원의창구 북면 신촌리,산65-8,0065,0008,숲속그린빌,72.8926,101,201809,7,"        17,000",4,2018,천주로 1209
경상남도 창원의창구 북면 신촌리,산65-8,0065,0008,숲속그린빌,72.8926,101,201809,7,"        17,000",2,2018,천주로 1209
경상남도 창원의창구 북면 신촌리,산65-8,0065,0008,숲속그린빌,72.8926,102.62,201810,1,"        18,700",3,2018,천주로 1209
경상남도 창원의창구 서상동,317-1,0317,0001,대영주택D,55.115,47.4,201811,13,"         6,280",2,1985,천주로12번길 24-7
경상남도 창원의창구 서상동,348-1,0348,0001,성수빌라21차,73.22,49.54,201901,22,"        10,100",3,1997,천주로12번길 6
경상남도 창원의창구 서상동,517-11,0517,0011,장성,48.6,40.24,201903,4,"         7,000",2,1985,읍성로 2
