□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 도계동,306-21,0306,0021,강남빌라,65.23,201804,19,"        15,000",7,1992,도계로31번길 11
경상남도 창원의창구 도계동,326-1,0326,0001,강남프라자,73.83,201712,26,"        16,700",7,1995,하남천서길5번길 13
경상남도 창원의창구 도계동,322-3,0322,0003,강남훼미리,59.4,201709,25,"        15,000",4,1997,하남천서길21번길 8-14
경상남도 창원의창구 도계동,322-3,0322,0003,강남훼미리,59.4,201803,5,"        13,000",5,1997,하남천서길21번길 8-14
경상남도 창원의창구 도계동,322-3,0322,0003,강남훼미리,59.4,201804,27,"        11,000",7,1997,하남천서길21번길 8-14
경상남도 창원의창구 도계동,322-3,0322,0003,강남훼미리,59.4,201805,21,"        12,700",8,1997,하남천서길21번길 8-14
경상남도 창원의창구 도계동,398-2,0398,0002,건우맨션,59.4,201708,1,"        15,000",8,1996,원이대로69번길 30-14
경상남도 창원의창구 도계동,398-2,0398,0002,건우맨션,63.18,201709,11,"        14,000",1,1996,원이대로69번길 30-14
경상남도 창원의창구 도계동,398-2,0398,0002,건우맨션,63.18,201802,13,"        13,500",2,1996,원이대로69번길 30-14
경상남도 창원의창구 도계동,398-2,0398,0002,건우맨션,63.18,201804,4,"        14,700",7,1996,원이대로69번길 30-14
경상남도 창원의창구 도계동,398-2,0398,0002,건우맨션,59.4,201804,15,"        14,600",5,1996,원이대로69번길 30-14
경상남도 창원의창구 도계동,307-3,0307,0003,고려빌라,83.84,201804,19,"        14,500",4,1992,도계두리길6번길 26
경상남도 창원의창구 도계동,420-4,0420,0004,국도그린맨션,59.64,201803,10,"        14,800",10,1997,원이대로103번길 25
경상남도 창원의창구 도계동,416-1,0416,0001,국도무궁화맨션,58.97,201708,22,"        15,800",12,1996,도계로95번길 6-5
경상남도 창원의창구 도계동,416-1,0416,0001,국도무궁화맨션,58.97,201712,22,"        15,600",13,1996,도계로95번길 6-5
경상남도 창원의창구 도계동,324-7,0324,0007,금강국화,83.61,201709,1,"        18,000",3,1996,하남천서길9번길 6
경상남도 창원의창구 도계동,407-6,0407,0006,금강동백빌라,69.5,201707,26,"        16,000",4,1996,원이대로93번길 9
경상남도 창원의창구 도계동,320-2,0320,0002,금강목련,64.4,201708,16,"        14,000",4,1996,하남천서길37번길 6-12
경상남도 창원의창구 도계동,320-2,0320,0002,금강목련,59.98,201710,31,"        13,300",9,1996,하남천서길37번길 6-12
경상남도 창원의창구 도계동,320-2,0320,0002,금강목련,59.36,201802,23,"        13,000",10,1996,하남천서길37번길 6-12
경상남도 창원의창구 도계동,320-2,0320,0002,금강목련,59.36,201805,15,"        13,000",2,1996,하남천서길37번길 6-12
경상남도 창원의창구 도계동,320-2,0320,0002,금강목련,59.36,201805,30,"        13,750",3,1996,하남천서길37번길 6-12
경상남도 창원의창구 도계동,305-5,0305,0005,금강빌라,91.38,201708,16,"        17,600",1,1992,도계두리길6번길 11-14
경상남도 창원의창구 도계동,310-3,0310,0003,금강이화빌라,54.54,201803,30,"         9,200",3,1995,하남천서길5번길 32
경상남도 창원의창구 도계동,421-1,0421,0001,대경,57.3,201709,23,"        10,800",3,1990,원이대로93번길 20
경상남도 창원의창구 도계동,308-9,0308,0009,대광빌라,75.82,201801,2,"         9,000",2,1993,도계로31번길 2
경상남도 창원의창구 도계동,308-9,0308,0009,대광빌라,69.54,201805,29,"         8,000",5,1993,도계로31번길 2
경상남도 창원의창구 도계동,317-10,0317,0010,대풍훼미리,59.33,201710,30,"        14,410",9,1992,하남천서길51번길 10
경상남도 창원의창구 도계동,308-10,0308,0010,대화빌라,84.39,201804,28,"        16,000",5,1990,도계로 35-5
경상남도 창원의창구 도계동,415-2,0415,0002,더좋은집2,39.15,201712,19,"         9,400",7,1999,도계두리길 218
경상남도 창원의창구 도계동,309-2,0309,0002,동하라일락,84.912,201802,9,"        18,500",6,1991,도계로31번길 10
경상남도 창원의창구 도계동,313-35,0313,0035,리코가든빌라,67.23,201709,15,"        10,400",5,1993,하남천서길15번길 14-6
경상남도 창원의창구 도계동,313-35,0313,0035,리코가든빌라,63.73,201711,7,"        15,500",1,1993,하남천서길15번길 14-6
경상남도 창원의창구 도계동,310-9,0310,0009,리코팔레스,53.41,201707,10,"        10,000",6,1991,하남천서길9번길 31
경상남도 창원의창구 도계동,414-9,0414,0009,무지개파크,62.93,201708,14,"        12,000",1,1990,도계로83번길 14-20
경상남도 창원의창구 도계동,320-1,0320,0001,부민상가빌라,75.37,201805,10,"        11,900",2,1992,하남천서길51번길 7
경상남도 창원의창구 도계동,321-8,0321,0008,삼영,59.79,201806,25,"        11,500",4,1991,도계두리길86번길 9
경상남도 창원의창구 도계동,396-7,0396,0007,삼호빌라,144.33,201712,20,"        37,400",12,1993,도계로 75
경상남도 창원의창구 도계동,395-2,0395,0002,상강한주맨션,77.37,201708,30,"        20,300",3,1993,하남천동길16번길 11
경상남도 창원의창구 도계동,395-2,0395,0002,상강한주맨션,57.52,201709,21,"        16,000",5,1993,하남천동길16번길 11
경상남도 창원의창구 도계동,395-2,0395,0002,상강한주맨션,57.52,201710,19,"        15,075",3,1993,하남천동길16번길 11
경상남도 창원의창구 도계동,395-2,0395,0002,상강한주맨션,57.52,201712,19,"        16,700",5,1993,하남천동길16번길 11
경상남도 창원의창구 도계동,395-2,0395,0002,상강한주맨션,57.52,201801,11,"        12,550",8,1993,하남천동길16번길 11
경상남도 창원의창구 도계동,395-2,0395,0002,상강한주맨션,62.26,201801,30,"        16,400",12,1993,하남천동길16번길 11
경상남도 창원의창구 도계동,395-2,0395,0002,상강한주맨션,84.9,201804,9,"        20,000",7,1993,하남천동길16번길 11
경상남도 창원의창구 도계동,395-2,0395,0002,상강한주맨션,62.26,201806,19,"        14,200",10,1993,하남천동길16번길 11
경상남도 창원의창구 도계동,358-2,0358,0002,상아그로리아맨션,80.82,201801,13,"        18,900",11,1992,하남천동길16번길 3-19
경상남도 창원의창구 도계동,358-2,0358,0002,상아그로리아맨션,80.82,201802,14,"        20,800",12,1992,하남천동길16번길 3-19
경상남도 창원의창구 도계동,320-11,0320,0011,상아리더스맨션,59.9,201710,9,"        12,900",10,1992,하남천서길51번길 3
경상남도 창원의창구 도계동,320-11,0320,0011,상아리더스맨션,59.9,201710,23,"        14,300",8,1992,하남천서길51번길 3
경상남도 창원의창구 도계동,320-11,0320,0011,상아리더스맨션,59.9,201801,29,"        12,500",14,1992,하남천서길51번길 3
경상남도 창원의창구 도계동,360-1,0360,0001,서전파크빌라,73.71,201711,13,"        11,000",5,1990,하남천동길 48
경상남도 창원의창구 도계동,348-4,0348,0004,성산빌라,77.69,201804,1,"        13,700",5,1991,원이대로55번길 8-17
경상남도 창원의창구 도계동,305-1,0305,0001,송광파크,94.1,201707,29,"        18,000",5,1993,도계두리길 38
경상남도 창원의창구 도계동,316-1,0316,0001,신세계맨션,84.885,201804,4,"        17,500",6,1992,도계두리길 96
경상남도 창원의창구 도계동,413-3,0413,0003,신우빌라,68.52,201711,1,"        13,000",6,1991,도계로83번길 10-12
경상남도 창원의창구 도계동,413-3,0413,0003,신우빌라,78.16,201801,10,"        16,700",3,1991,도계로83번길 10-12
경상남도 창원의창구 도계동,396-3,0396,0003,영남1,49.32,201707,28,"        10,000",1,1990,도계로73번길 12
경상남도 창원의창구 도계동,396-3,0396,0003,영남1,74.37,201803,14,"        15,300",3,1990,도계로73번길 12
경상남도 창원의창구 도계동,394-19,0394,0019,영남3,77.49,201803,31,"        14,100",4,1991,도계두리길 174
경상남도 창원의창구 도계동,415-5,0415,0005,영남양지맨션,84.74,201801,27,"        15,000",7,1992,도계로95번길 14-16
경상남도 창원의창구 도계동,415-5,0415,0005,영남양지맨션,59.4,201802,9,"        15,800",4,1992,도계로95번길 14-16
경상남도 창원의창구 도계동,415-1,0415,0001,유일파크,56.42,201804,2,"        12,800",8,1993,도계두리길 214
경상남도 창원의창구 도계동,396-4,0396,0004,유진에코블루하임,72.843,201708,25,"        33,300",5,2011,도계로83번길 5
경상남도 창원의창구 도계동,396-4,0396,0004,유진에코블루하임,84.9834,201806,12,"        36,400",4,2011,도계로83번길 5
경상남도 창원의창구 도계동,321-9,0321,0009,익산빌라,69.06,201711,30,"        13,600",1,1991,도계두리길86번길 11
경상남도 창원의창구 도계동,319-5,0319,0005,일흥빌라,59.94,201707,12,"        13,500",5,1992,하남천서길 63
경상남도 창원의창구 도계동,319-5,0319,0005,일흥빌라,59.56,201802,27,"        10,150",6,1992,하남천서길 63
경상남도 창원의창구 도계동,313-15,0313,0015,장미,59.76,201802,5,"        11,400",5,1997,하남천서길15번길 20
경상남도 창원의창구 도계동,338-2,0338,0002,진보,73.39,201707,7,"        20,000",2,1994,도계로50번길 6-43
경상남도 창원의창구 도계동,338-2,0338,0002,진보,59.76,201804,20,"        15,000",1,1994,도계로50번길 6-43
경상남도 창원의창구 도계동,394-11,0394,0011,진보백화맨션,59.77,201708,24,"        13,800",5,1996,하남천동길16번길 3-20
경상남도 창원의창구 도계동,394-11,0394,0011,진보백화맨션,59.77,201709,20,"        14,500",4,1996,하남천동길16번길 3-20
경상남도 창원의창구 도계동,412-3,0412,0003,청구아트빌라,81.66,201707,12,"        15,000",4,1994,도계로83번길 6-10
경상남도 창원의창구 도계동,362-3,0362,0003,청구파크빌라,77.85,201709,6,"        14,500",2,1995,하남천동길50번길 5
경상남도 창원의창구 도계동,394-20,0394,0020,청방그린,58.63,201806,13,"        11,800",3,1996,하남천동길32번길 8
경상남도 창원의창구 도계동,319-3,0319,0003,청호,82.275,201711,28,"        16,500",4,1995,하남천서길 67
경상남도 창원의창구 도계동,319-3,0319,0003,청호,73.16,201712,7,"        14,500",1,1995,하남천서길 67
경상남도 창원의창구 도계동,319-3,0319,0003,청호,59.355,201805,22,"        10,300",12,1995,하남천서길 67
경상남도 창원의창구 도계동,319-2,0319,0002,초원빌라,69.6,201802,8,"        10,000",4,1992,도계두리길 120
경상남도 창원의창구 도계동,329,0329,0000,한마음코아,49.44,201712,26,"        13,900",9,1992,도계로50번길 6-46
경상남도 창원의창구 도계동,329,0329,0000,한마음코아,49.44,201801,10,"        14,000",15,1992,도계로50번길 6-46
경상남도 창원의창구 도계동,329,0329,0000,한마음코아,49.44,201801,29,"        13,000",1,1992,도계로50번길 6-46
경상남도 창원의창구 도계동,362-1,0362,0001,한울파크맨션,73.26,201707,3,"        12,300",5,1991,하남천동길50번길 9
경상남도 창원의창구 도계동,362-1,0362,0001,한울파크맨션,73.26,201712,15,"        15,200",1,1991,하남천동길50번길 9
경상남도 창원의창구 도계동,328-1,0328,0001,한효로얄코아,49.44,201708,31,"        14,750",2,1992,도계로50번길 6-18
경상남도 창원의창구 도계동,328-1,0328,0001,한효로얄코아,49.44,201709,7,"        13,600",3,1992,도계로50번길 6-18
경상남도 창원의창구 도계동,328-1,0328,0001,한효로얄코아,49.44,201804,24,"        12,200",13,1992,도계로50번길 6-18
경상남도 창원의창구 도계동,339,0339,0000,한효해바라기,84.9,201804,5,"        21,900",2,1990,도계로50번길 6-33
경상남도 창원의창구 도계동,340-1,0340,0001,해바라기맨션,50.31,201708,21,"        14,300",3,1989,도계로50번길 6-25
경상남도 창원의창구 도계동,340-1,0340,0001,해바라기맨션,58.56,201804,26,"        14,000",4,1989,도계로50번길 6-25
경상남도 창원의창구 도계동,328-3,0328,0003,해바라기맨션(328-3),72.54,201709,15,"        18,450",4,1989,도계로50번길 6-8
경상남도 창원의창구 도계동,408-4,0408,0004,화목그린타워,83.74,201707,10,"        20,000",1,2002,태복산로15번길 36
경상남도 창원의창구 도계동,408-4,0408,0004,화목그린타워,59.96,201803,19,"        14,900",14,2002,태복산로15번길 36
경상남도 창원의창구 도계동,408-4,0408,0004,화목그린타워,83.74,201806,28,"        20,000",11,2002,태복산로15번길 36
경상남도 창원의창구 도계동,363-4,0363,0004,황제빌라A,84.725,201710,23,"         7,000",4,1992,하남천동길 68
경상남도 창원의창구 동읍 무성리,293,0293,0000,동보미리내타운,59.13,201803,17,"         7,000",3,2001,무성길47번길 24
경상남도 창원의창구 동읍 무성리,152,0152,0000,우성전원,69.565,201707,3,"         6,900",3,1991,무성길47번길 17
경상남도 창원의창구 동읍 무성리,152,0152,0000,우성전원,66.385,201711,8,"         5,500",3,1991,무성길47번길 9
경상남도 창원의창구 동읍 무성리,152,0152,0000,우성전원,69.565,201802,4,"         6,200",4,1991,무성길47번길 17
경상남도 창원의창구 동읍 무성리,152,0152,0000,우성전원,59.38,201803,17,"         5,000",3,1991,무성길47번길 9
경상남도 창원의창구 동읍 무성리,152,0152,0000,우성전원,75.445,201806,2,"         5,200",1,1991,무성길47번길 9
경상남도 창원의창구 동읍 송정리,23-1,0023,0001,동부산훼미리2차,68.365,201708,29,"         9,500",1,1998,용정길32번길 14
경상남도 창원의창구 동읍 송정리,23-1,0023,0001,동부산훼미리2차,45.65,201712,20,"         7,000",12,1998,용정길32번길 14
경상남도 창원의창구 동읍 송정리,23-1,0023,0001,동부산훼미리2차,45.65,201805,22,"         7,450",4,1998,용정길32번길 14
경상남도 창원의창구 동읍 송정리,23-1,0023,0001,동부산훼미리2차,68.365,201806,4,"        12,000",9,1998,용정길32번길 14
경상남도 창원의창구 동읍 송정리,23-8,0023,0008,동부산훼미리타운4차,78.8516,201801,25,"        12,600",2,1999,자여로65번길 14
경상남도 창원의창구 동읍 송정리,23-8,0023,0008,동부산훼미리타운4차,78.8516,201804,17,"        11,200",15,1999,자여로65번길 14
경상남도 창원의창구 동읍 송정리,23-8,0023,0008,동부산훼미리타운4차,71.6916,201806,22,"        11,000",6,1999,자여로65번길 14
경상남도 창원의창구 동읍 신방리,52,0052,0000,대한,59.88,201709,4,"         9,500",16,1997,신방로 17
경상남도 창원의창구 동읍 신방리,52,0052,0000,대한,84.96,201709,15,"        13,000",3,1997,신방로 17
경상남도 창원의창구 동읍 신방리,52,0052,0000,대한,84.96,201709,30,"        15,000",17,1997,신방로 17
경상남도 창원의창구 동읍 신방리,52,0052,0000,대한,59.88,201710,17,"        12,500",12,1997,신방로 17
경상남도 창원의창구 동읍 신방리,52,0052,0000,대한,59.88,201801,29,"        10,500",8,1997,신방로 17
경상남도 창원의창구 동읍 신방리,52,0052,0000,대한,84.96,201805,16,"        14,000",6,1997,신방로 17
경상남도 창원의창구 동읍 신방리,52,0052,0000,대한,59.88,201806,29,"         9,300",2,1997,신방로 17
경상남도 창원의창구 동읍 용잠리,468,0468,0000,동읍 다숲 아파트,59.88,201802,28,"        19,600",9,2016,용잠로 19
경상남도 창원의창구 동읍 용잠리,468,0468,0000,동읍 다숲 아파트,59.88,201803,20,"        19,600",17,2016,용잠로 19
경상남도 창원의창구 동읍 용잠리,468,0468,0000,동읍 다숲 아파트,59.88,201804,24,"        19,550",8,2016,용잠로 19
경상남도 창원의창구 동읍 용잠리,230-6,0230,0006,보광드림빌,68.2123,201710,31,"        21,970",7,2017,용잠로41번길 4
경상남도 창원의창구 동읍 용잠리,230-6,0230,0006,보광드림빌,68.2123,201710,31,"        21,970",8,2017,용잠로41번길 4
