□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,134.402,201804,16,"        37,500",16,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9935,201804,19,"        26,100",1,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,73.8661,201804,20,"        25,000",15,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9308,201806,7,"        26,700",13,2009,노산서18길 142
경상남도 창원마산합포구 교방동,377-1,0377,0001,배진,50.76,201707,4,"         8,000",5,1987,교방서4길 18
경상남도 창원마산합포구 교방동,377-1,0377,0001,배진,47.01,201708,26,"         8,000",1,1987,교방서4길 18
경상남도 창원마산합포구 교방동,377-1,0377,0001,배진,53.96,201801,30,"        10,000",2,1987,교방서4길 18
경상남도 창원마산합포구 교방동,379-9,0379,0009,수경,60.75,201711,21,"         9,800",2,1985,교방서5길 45
경상남도 창원마산합포구 교방동,379-9,0379,0009,수경,60.75,201803,20,"         7,000",5,1985,교방서5길 45
경상남도 창원마산합포구 교방동,382-4,0382,0004,신교방빌라,61.74,201711,14,"        11,000",2,1989,교방동1길 46
경상남도 창원마산합포구 교방동,377-7,0377,0007,청송,59.06,201709,22,"        10,000",2,1984,교방동1길 27
경상남도 창원마산합포구 교방동,377-7,0377,0007,청송,59.15,201709,26,"        11,000",1,1984,교방동1길 27
