□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 구암동,1344,1344,0000,한성(1344),54.99,201804,25,"        11,400",2,1984,구암북11길 60
경상남도 창원마산회원구 구암동,984-2,0984,0002,한영빌,79.8975,201712,4,"        15,000",8,2004,구암동1길 93
경상남도 창원마산회원구 구암동,1337,1337,0000,한우,45.64,201710,19,"        10,000",3,1985,구암북12길 70
경상남도 창원마산회원구 구암동,20-7,0020,0007,한진,59.9,201804,30,"        12,800",1,1978,구암서1길 3
경상남도 창원마산회원구 구암동,20-7,0020,0007,한진,43.77,201806,5,"         8,500",5,1978,구암서1길 3
경상남도 창원마산회원구 구암동,26-17,0026,0017,한효이화맨션,70.335,201707,27,"        14,000",1,1987,구암남2길 24
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201707,3,"        12,000",15,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201707,8,"        11,800",15,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201707,10,"        14,000",14,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201708,4,"        12,000",5,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201708,17,"        12,500",14,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201708,31,"        12,700",5,1998,삼계10길 22
