address,lat,lon
옥계안길,38.122230687,127.049144545
월영북14길,35.182052882,128.556905955
덕동남2길,35.138766055,128.578156847
덕동남3길,35.139966374,128.575814831
문화서8길,35.186959929,128.555246268
합포북6길,35.211182545,128.579348497
산호동9길,35.213547224,128.587016211
합포서8길,35.210789173,128.576211293
노산북2길,35.214776199,128.571608543
동서남3길,35.200964432,128.568809912
성호서8길,35.208388241,128.569672811
성호동2길,35.208175857,128.572340515
반월서1길,35.193262187,128.560581535
반월서5길,35.192494883,128.559994991
완월남5길,35.197084796,128.558204462
완월서1길,35.200156351,128.556542586
월영남17길,35.177075438,128.560822355
월영남11길,35.177965108,128.560078875
월영서2길,35.177925345,128.555799818
자산서9길,35.203514834,128.560480865
자산서4길,35.204552690,128.562302697
고현새동네길,35.103140683,128.479565961
주도1길,35.099978474,128.506834772
서동촌길,35.112730837,128.486652558
귀정길,35.163344380,128.473604194
지산4길,35.115737035,128.468736584
추곡1길,35.157032281,128.479551910
원산2길,35.152447234,128.368698662
개양길,35.127955970,128.382424952
둔덕안담길,35.191970838,128.389459185
일암3길,35.116356809,128.375331346
평암로,35.147882712,128.384693048
가술길1번길,35.334217561,128.707692419
가술길,35.334389558,128.707764868
주남로327번길,35.315546229,128.693050772
주남로483번길,35.327482765,128.703931498
진산대로260번길,35.325458651,128.716790361
동읍로112번길,35.285967040,128.680603517
주남로71번길,35.304503835,128.675068459
동정길51번길,35.265681185,128.615704731
동정길43번길,35.265580591,128.614788259
봉곡로4번길,35.246171968,128.663066331
대봉로42번길,35.254307739,128.667632913
내감2길,35.301585867,128.590786541
구룡로339번길,35.301856550,128.624259250
신촌본포로186번길,35.346927212,128.626162953
구룡로38번길,35.286372357,128.614027508
하천로132번길,35.368005158,128.604063552
구암남20길,35.249460382,128.603161272
삼계본동2길,35.230870165,128.497344158
윗구슬길,35.239056823,128.531731664
호계본동1길,35.268414786,128.522175804
두척2길,35.237146460,128.542384991
석전북9길,35.232876979,128.571095584
석전남23길,35.226451991,128.570941205
양덕서9길,35.224009931,128.578366093
합성남14길,35.235082045,128.590462003
합성남13길,35.237318884,128.586707280
합성남6길,35.235802239,128.582644333
회성동4길,35.232876462,128.564570508
바냇들1길,35.219244725,128.578469647
회원동6길,35.216377578,128.572298889
회원동1길,35.218016530,128.571330976
회원동20길,35.223810622,128.572094480
회원동22길,35.225323073,128.572000665
회원동19길,35.223536158,128.571316911
조천북로97번나길,35.163440207,128.681584915
웅천중로33번안길,35.108874566,128.748667298
남영로467번길,35.109015018,128.774760263
진해대로882번길,35.150475997,128.705259602
웅천중로55번길,35.111352505,128.749212420
소사로5번길,35.125652745,128.780468940
소사로59번가길,35.130054944,128.776410826
수도로34번길,35.084749017,128.746665563
진해대로2457번길,35.103229131,128.826341750
태평로37번길,35.146980758,128.663963891
어은로23번길,35.114637211,128.727522571
어은로35번길,35.115578670,128.729053925
귀산로80번길,35.168079273,128.616319379
귀산로52번길,35.165572852,128.615833899
귀산로86번길,35.169008827,128.614953946
웅천북로19번길,35.115344037,128.747644049
여좌로104번길,35.160855306,128.663597232
행암로66번길,35.128765223,128.702262836
진해대로1162번길,35.125701925,128.711116859
제덕로179번안길,35.099536794,128.744381892
진해대로1033번안길,35.137746650,128.711335722
구암북13길,35.255754555,128.598457781
구암동6길,35.254234381,128.600697154
구암남21길,35.252022633,128.602119362
호계본동3길,35.265792309,128.519189037
호계본동2길,35.265537333,128.519899317
석전북8길,35.233164732,128.572020401
석전남11길,35.225820313,128.571174243
석전서3길,35.228391079,128.568303003
석전남18길,35.228230845,128.568954035
석전서1길,35.229496929,128.567420483
석전북17길,35.231202915,128.566451619
석전북20길,35.231251653,128.567919259
석전남22길,35.228113264,128.573013100
양덕동19길,35.232559010,128.588620579
양덕북23길,35.234659804,128.581669457
양덕동18길,35.233855711,128.589606482
합성동4길,35.243217085,128.587059846
합성남5길,35.236078291,128.582520141
회성남9길,35.232159960,128.558678192
회성남21길,35.230922931,128.565291230
회성북7길,35.236033051,128.561021293
회성북3길,35.235812770,128.560042819
회성동6길,35.232957799,128.565473948
회성북1길,35.235023289,128.559960095
회원남29길,35.218008319,128.562634286
회원남1길,35.217030847,128.570023021
교방북1길,35.214882321,128.564216515
회원북17길,35.220598172,128.566819915
회원남28길,35.217792868,128.569877978
회원남27길,35.217904861,128.562581994
회원남30길,35.217736026,128.562567737
회원북22길,35.218982873,128.565518921
회원동25길,35.218415962,128.575901058
회원동23길,35.223443616,128.572589943
앵지밭골4길,35.221052708,128.556151978
앵지밭골2길,35.219887302,128.558313955
교방동13길,35.210252190,128.564502074
교방남5길,35.209865048,128.565922394
교방남7길,35.210080591,128.567466287
노산서24길,35.212372696,128.573222243
노산서22길,35.212118332,128.571492912
조밭길,35.063837621,128.559234032
내포3길,35.094910891,128.582584908
실리섬길,35.063546127,128.637693019
반월북8길,35.191599808,128.560721265
문화북10길,35.186152456,128.556994757
문화북8길,35.189363686,128.558636221
