address,lat,lon
용원북로11번길,35.1044072,128.8125972
용원북로12번길,35.1032317,128.8186346
용원남로17번안길,35.094547305,128.817872235
용원남로17번길,35.0942198,128.8181261
용원동로221번길,35.0915499,128.8150369
용원동로,35.0946938,128.8035272
용원남로7번길,35.0950368,128.8189033
용원로89번길,35.0993201,128.819123
용원중로37번길,35.1008414,128.8157508
용원북로11번가길,35.1039608,128.8114392
용원중로26번길,35.0991666,128.8180569
용원로78번안길,35.0979463,128.8187045
용원로101번길,35.0992933,128.8206409
용재로,35.1011361,128.8163885
용원북로12번안길,35.1028794,128.8175948
용재로59번길,35.101611,128.8165099
용원로102번길,35.0974659,128.8198853
충장로442번길,35.1492971,128.6948196
해원로14번길,35.1536929,128.6971443
충장로405번길,35.1529604,128.6960879
이동로58번길,35.1505316,128.698787
충장로415번길,35.152147,128.6976008
병암로29번길,35.156311,128.6917077
충장로407번길,35.1519167,128.6963938
이동로,36.0317031,129.3360108
충장로419번길,35.1518524,128.6980101
충장로364번나길,35.1522472,128.6908694
충장로468번길,35.1478633,128.6948525
충장로446번길,35.1489066,128.6948278
충장로426번길,35.1500073,128.6923302
이동로38번길,35.1492971,128.6959286
충장로465번길,35.1477217,128.7003473
이동로40번길,35.1489273,128.6978432
충장로412번길,35.1513698,128.6933966
이동로69번길,35.1523626,128.6990075
충장로130번길,35.1501125,128.6657199
인사로6번길,35.1498183,128.6682074
벚꽃로60번길,35.1507377,128.6659954
제황로,35.1489458,128.6684171
덕산로51번길,35.1472656,128.7052741
동진로,35.4862,129.42896
자은로6번길,35.1485253,128.7046974
냉천로129번길,35.1563531,128.7093314
자은로28번길,35.1494468,128.7053759
진해대로902번길,35.1491429,128.7062065
진해대로901번길,35.1492412,128.7088826
진해대로914번길,35.1479409,128.704737
자은로,35.1508829,128.7083853
제덕로,35.1048628,128.7408578
제덕로179번길,35.0996708,128.7452781
속천로,35.1444556,128.6727212
벚꽃로50번안길,35.150522273,128.662856886
충장로168번길,35.1513532,128.6705891
인사로22번길,35.149567565,128.668664539
인사로17번길,35.1504726,128.6685536
백구로6번길,35.147062309,128.662968336
벚꽃로50번길,35.1495451,128.6653224
중원로38번길,35.1473925,128.6602434
편백로20번길,35.1484278,128.6579729
청안로150번길,35.103336501,128.792249696
태평로34번길,37.735577,127.0509183
중원동로10번길,35.1450623,128.664379
태백서로,35.1571948,128.674527
여좌천로166번길,35.1671107,128.6584377
대야남로67번길,35.155951,128.6715344
태백서로47번길,35.156802747,128.674163229
백구로,35.147749,128.661203
중원로,35.9755856,129.4008707
덕산로36번길,35.1431273,128.7038932
천자로373번길,35.136742,128.7062898
진해대로1041번길,35.1366673,128.7099351
행암로217번길,35.115791566,128.702423011
여명로25번라길,35.157905,128.6568172
중원로85번길,35.1520118,128.6589548
충장로82번길,35.151242,128.6607869
가포해안길,35.1691514,128.5713217
교방서6길,35.212092312,128.564269106
교방서5길,35.2123577,128.5635038
교방동1길,35.2128988,128.5652773
교방동2길,35.2125326,128.5655682
교방북2길,35.215702,128.563953
교방동18길,35.2115055,128.567647
교방동15길,35.2102809,128.566307838
교방천남길,35.2103932,128.5735772
노산서23길,35.212957188,128.572810384
천하장사로,35.2107887,128.5649643
교방동10길,35.210016163,128.564022076
교방동16길,35.210089981,128.564560411
교방동14길,35.210050864,128.564454472
성호북4길,0.0,0.0
교방동17길,35.210496431,128.566410322
교방동19길,35.209900148,128.566612473
노산서9길,35.2133715,128.5688728
교방동11길,35.210229849,128.564331784
노산서18길,35.2150095,128.565874
교방동9길,35.2141581,128.5676679
교방서3길,35.2136977,128.5641378
교방동5길,35.214151,128.5661981
교방남1길,35.210288,128.5651991
교방서7길,35.2111184,128.5648704
교방동20길,35.210135407,128.564866444
교방동4길,35.2129401,128.5667288
교방시장3길,35.2177437,128.5629591
교방서2길,35.2140212,128.5647217
노산서19길,35.215708655,128.569477178
교방천북길,35.2116539,128.5647377
회원천남길,35.2120255,128.5783851
노산남8길,35.213943913,128.570664851
노산서25길,35.212261928,128.57124356
노산남11길,35.211227242,128.57173481
노산서20길,35.215524125,128.568136107
장구길,35.080573369,128.565828103
해양관광로,35.0696386,128.562542
난포해안길,35.0814998,128.6108206
난포2길,35.081189972,128.604619171
난포1길,35.081612105,128.603036203
욱곡2길,35.096763102,128.55772996
욱곡1길,35.095984124,128.556995352
마전길,34.8347903,127.609366
마전1길,35.8218186,127.103826
양평길,35.0845769,128.5851155
수정1길,34.7451734,127.7470507
구산로,37.4827543,126.7512879
안녕로,35.1126118,128.600014
이순신로,35.0882483,128.6016469
심리3길,35.068983423,128.607242981
합포로,35.2220491,128.5872147
월영북로,35.1832534,128.5561421
월영북13길,35.182535566,128.556695649
중앙남9길,35.1936124,128.5636584
중앙서1길,35.1942395,128.5631749
문화남6길,35.1851595,128.5583319
문화남2길,35.1847431,128.5596802
문화서1길,35.1861418,128.5523358
현동로,35.1517915,128.5535727
동서북17길,35.2060046,128.5775405
문화북1길,35.1872646,128.5609218
문화북2길,35.1870793,128.5591322
문화서12길,35.187902845,128.555928048
문화북4길,35.1877633,128.5594695
고운로,35.1830468,126.902958
반월북3길,35.190056,128.5600392
반월북7길,35.190755091,128.559415064
반월남7길,35.190243731,128.559197129
허당로,35.2111825,128.5771733
산호남11길,35.214805968,128.586069931
산호동6길,35.2151248,128.5875564
산호남6길,35.2165522,128.5796418
산호남2길,35.2171044,128.5803393
산호북4길,35.2185203,128.5855915
산호서4길,35.2180698,128.5781329
합포북21길,35.214679278,128.577075584
해안대로,35.2050619,128.5822367
회원천북길,35.2161093,128.5694364
산호남3길,35.2156994,128.5815321
합포북9길,35.211824996,128.579127072
합포남5길,35.2099884,128.5810354
합포북18길,35.213643,128.5779275
산호서6길,35.2181649,128.5769307
합포북3길,35.211478215,128.580437212
산호남9길,35.21559696,128.584052221
산호남4길,35.2156408,128.5806068
합포남10길,35.209811261,128.580897253
산호서7길,35.2196458,128.5810652
산호북1길,35.2182157,128.584672
산호서2길,35.2173595,128.5784637
산호북3길,35.2172723,128.5846491
산호북8길,35.2185027,128.5841629
산호서3길,35.217683,128.577743
산호남로,35.2161868,128.5834373
산호북17길,35.2202787,128.5849862
산호남1길,35.2157996,128.5818219
산호북10길,35.218852,128.5836934
용마로,33.5140632,126.5058784
산호북5길,35.2194105,128.5852987
합포남1길,35.21036347,128.583075957
합포북10길,35.212101849,128.579892249
산호시장길,35.2194442,128.5826199
산호서5길,35.2185252,128.5784577
