□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원성산구 중앙동,1*,다가구,12m미만,156.2,241.9,201803,9,"        40,000",1982,외동반림로138번길
경상남도 창원성산구 중앙동,1**,다가구,12m미만,245.16,248.4,201709,28,"        65,300",2008,용지로21번길
경상남도 창원성산구 중앙동,3*,단독,25m미만,165.29,235.8,201711,8,"        39,000",1988,외동반림로68번길
경상남도 창원성산구 중앙동,4*,단독,12m미만,229.57,238.9,201803,10,"        60,000",2012,외동반림로40번길
경상남도 창원성산구 중앙동,1*,단독,12m미만,239.03,244.1,201710,23,"        67,500",2014,외동반림로130번길
경상남도 창원성산구 중앙동,4*,단독,12m미만,240.86,245.5,201712,4,"        63,500",2014,외동반림로50번길
경상남도 창원성산구 중앙동,*,단독,12m미만,361.23,246.2,201801,5,"        63,400",2004,외동반림로142번길
경상남도 창원성산구 중앙동,1*,단독,12m미만,181.74,248.8,201805,25,"        36,000",1985,외동반림로134번길
경상남도 창원성산구 중앙동,*,단독,12m미만,231.24,250.3,201708,11,"        38,500",1987,외동반림로138번길
경상남도 창원성산구 중앙동,*,단독,12m미만,196.71,252.1,201710,15,"        40,000",1988,외동반림로142번길
경상남도 창원성산구 중앙동,3*,단독,12m미만,254.58,260.7,201707,24,"        68,000",2016,외동반림로54번길
경상남도 창원성산구 중앙동,5*,단독,12m미만,259.84,263.4,201805,11,"        69,817",2017,외동반림로54번길
경상남도 창원성산구 중앙동,5*,단독,12m미만,408.27,264.5,201711,6,"        59,000",2002,외동반림로54번길
경상남도 창원성산구 중앙동,6*,단독,25m미만,246.01,284.8,201712,14,"        45,000",1991,외동반림로74번길
경상남도 창원성산구 중앙동,5*,단독,12m미만,131.18,289.9,201802,14,"        30,000",1979,외동반림로80번길
경상남도 창원성산구 중앙동,4*,단독,25m이상,290.4,318.7,201804,6,"       101,000",2004,용지로
