□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
44,경상남도 창원시 진해구 용원동,1206,1206,0000,진해녹산현대,84.9700,202212,16,"15,900",-,11,-,-,2000,안청북로 42,-,중개거래,경남 창원진해구,-,아파트
45,경상남도 창원시 진해구 남양동,20,0020,0000,STX칸,84.9859,202212,15,"16,900",-,12,-,-,2009,월남로 142,-,중개거래,경남 창원진해구,-,아파트
46,경상남도 창원시 진해구 청안동,474,0474,0000,부영2차,59.8404,202212,14,"14,800",-,14,-,-,2002,안청북로 12,-,중개거래,경남 창원진해구,-,아파트
47,경상남도 창원시 진해구 석동,90-1,0090,0001,석동주공,32.7600,202212,14,"7,000",-,3,-,-,1991,냉천로 52,-,직거래,-,-,아파트
48,경상남도 창원시 진해구 경화동,1181-19,1181,0019,씨스위트빌,84.5040,202212,14,"15,000",-,4,-,-,2003,진해대로636번길 16,-,직거래,-,-,아파트
49,경상남도 창원시 진해구 장천동,119-12,0119,0012,진해장천대동다:숲,84.8893,202212,14,"32,500",-,6,-,-,2007,행암로 25,-,중개거래,경남 창원진해구,-,아파트
50,경상남도 창원시 진해구 풍호동,744,0744,0000,풍호주공,39.3000,202212,14,"7,000",-,2,-,-,1990,동진로 166,-,직거래,-,-,아파트
51,경상남도 창원시 진해구 풍호동,305-8,0305,0008,창원마린푸르지오1단지,84.9626,202212,14,"41,700",-,15,-,-,2015,천자로 386,-,중개거래,경남 창원진해구,-,아파트
52,경상남도 창원시 진해구 석동,551-1,0551,0001,진해석동푸르지오,84.9790,202212,13,"33,000",-,1,-,-,2006,진해대로 727,-,중개거래,경남 창원진해구,-,아파트
53,경상남도 창원시 진해구 경화동,1334,1334,0000,경화동두산위브,84.9052,202212,13,"38,500",-,8,-,-,2017,조천로 30,-,중개거래,경남 창원진해구,-,아파트
54,경상남도 창원시 진해구 남문동,1274-1,1274,0001,시티프라디움1차아파트,59.9808,202212,13,"19,500",-,13,-,-,2017,웅천동로 16,-,중개거래,경남 창원진해구,-,아파트
55,경상남도 창원시 진해구 화천동,8-1,0008,0001,중앙아파트,83.8150,202212,12,"17,700",-,8,-,-,2018,중원로85번길 17,-,중개거래,경남 창원의창구,-,아파트
56,경상남도 창원시 진해구 남문동,1293-1,1293,0001,남문호반베르디움,84.9908,202212,12,"30,000",-,13,-,-,2018,웅천동로43번길 19,-,중개거래,경남 창원진해구,-,아파트
57,경상남도 창원시 진해구 청안동,472,0472,0000,풍림,59.9600,202212,12,"10,200",-,2,-,-,2000,안청북로 39,-,중개거래,경남 창원진해구,-,아파트
58,경상남도 창원시 진해구 여좌동,126-34,0126,0034,금화스위트빌,84.8400,202212,12,"14,500",-,6,-,-,2005,여좌남로 47,-,중개거래,경남 창원진해구,-,아파트
59,경상남도 창원시 진해구 풍호동,305-8,0305,0008,창원마린푸르지오1단지,84.9626,202212,10,"42,800",-,16,-,-,2015,천자로 386,-,중개거래,경남 창원진해구,-,아파트
60,경상남도 창원시 진해구 청안동,474,0474,0000,부영2차,59.8404,202212,10,"11,000",-,5,-,-,2002,안청북로 12,-,중개거래,경남 창원진해구,-,아파트
61,경상남도 창원시 진해구 풍호동,305-8,0305,0008,창원마린푸르지오1단지,84.9626,202212,10,"44,000",-,23,-,-,2015,천자로 386,-,중개거래,경남 창원진해구,-,아파트
62,경상남도 창원시 진해구 남문동,1256-1,1256,0001,시티프라디움2차,84.9908,202212,09,"26,750",-,9,-,-,2017,웅천동로 100,-,직거래,-,-,아파트
63,경상남도 창원시 진해구 마천동,50-12,0050,0012,한결예다움,49.3100,202212,09,"8,300",-,7,-,-,2014,웅동로 103,-,중개거래,경남 창원진해구,-,아파트
64,경상남도 창원시 진해구 석동,407,0407,0000,좋은아침,70.2225,202212,09,"15,000",-,1,-,-,2005,진해대로763번길 19,-,중개거래,경남 창원진해구,-,아파트
65,경상남도 창원시 진해구 두동,1296-16,1296,0016,청안프리존빌,84.3400,202212,08,"10,400",-,10,-,-,2004,웅동로 164,-,중개거래,경남 창원진해구,-,아파트
66,경상남도 창원시 진해구 두동,1296-16,1296,0016,청안프리존빌,84.3400,202212,08,"10,400",-,10,-,-,2004,웅동로 164,20230105,중개거래,경남 창원진해구,-,아파트
67,경상남도 창원시 진해구 남문동,1293-1,1293,0001,남문호반베르디움,71.9910,202212,08,"26,500",-,8,-,-,2018,웅천동로43번길 19,-,중개거래,경남 창원진해구,-,아파트
68,경상남도 창원시 진해구 경화동,900,0900,0000,보람더좋은큐브,48.4400,202212,07,"11,500",-,7,-,-,2013,진해대로694번길 24,-,중개거래,경남 창원진해구,-,아파트
