□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2023-01-01 ~ 2023-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 의창구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
65,경상남도 창원시 의창구 중동,788,0788,0000,창원중동유니시티4단지,84.7886,202312,09,"80,000",-,31,-,-,2019,중동로 78,20231214,중개거래,경남 창원의창구,-,아파트
66,경상남도 창원시 의창구 북면 감계리,225-1,0225,0001,창원감계힐스테이트4차,84.9743,202312,09,"28,000",404동,8,-,-,2017,감계로 233,-,중개거래,경남 창원의창구,24.01.15,아파트
67,경상남도 창원시 의창구 중동,788,0788,0000,창원중동유니시티4단지,72.9280,202312,09,"69,000",405동,10,-,-,2019,중동로 78,-,중개거래,경남 창원시의창구,24.02.07,아파트
68,경상남도 창원시 의창구 중동,788,0788,0000,창원중동유니시티4단지,84.7886,202312,09,"80,000",402동,30,-,-,2019,중동로 78,-,중개거래,경남 창원의창구,24.01.08,아파트
69,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.5002,202312,08,"34,562",-,20,-,-,2019,감계로 342,20240509,직거래,-,-,아파트
70,경상남도 창원시 의창구 북면 무동리,155-1,0155,0001,창원무동STX칸2차,84.9900,202312,08,"20,000",201,14,-,-,2015,무동로267번길 10,-,중개거래,경남 창원의창구,24.01.08,아파트
71,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.5002,202312,08,"34,562",212동,14,-,-,2019,감계로 342,-,중개거래,경남 창원의창구,24.01.19,아파트
72,경상남도 창원시 의창구 도계동,319-5,0319,0005,일흥빌라,58.6300,202312,07,"10,400",-,3,-,-,1992,하남천서길 63,-,중개거래,경남 창원의창구,23.12.29,아파트
73,경상남도 창원시 의창구 도계동,394-18,0394,0018,성진파크맨션,67.3900,202312,05,"8,900",-,5,-,-,1990,도계두리길 180-6,-,중개거래,경남 창원의창구,23.12.27,아파트
74,경상남도 창원시 의창구 소답동,148-1,0148,0001,팔도맨션,118.8300,202312,05,"15,800",-,12,-,-,1994,읍성로89번길 34,-,중개거래,경남 창원마산회원구 경남 창원의창구,23.12.22,아파트
75,경상남도 창원시 의창구 도계동,363-3,0363,0003,성산그린빌라,59.5800,202312,05,"9,100",-,4,-,-,1994,하남천동길 56-15,-,중개거래,경남 창원시의창구,24.03.07,아파트
76,경상남도 창원시 의창구 동정동,536-2,0536,0002,남아그린타워,59.9650,202312,04,"12,500",-,15,-,-,1997,동정길 7,-,중개거래,경남 창원시의창구,24.02.15,아파트
77,경상남도 창원시 의창구 팔용동,124-2,0124,0002,대동중앙,59.9000,202312,04,"23,500",106,9,-,-,1993,반계로 101,-,중개거래,경남 창원의창구,23.12.28,아파트
78,경상남도 창원시 의창구 팔용동,124-1,0124,0001,극동,84.8800,202312,04,"31,000",104,17,-,-,1994,팔용로 446,-,직거래,-,23.12.11,아파트
79,경상남도 창원시 의창구 팔용동,122,0122,0000,벽산블루밍B,59.9700,202312,04,"30,000",116,15,-,-,1999,반계로 104-8,-,중개거래,경남 창원의창구,23.12.20,아파트
80,경상남도 창원시 의창구 북면 동전리,128,0128,0000,창원동전월드메르디앙,67.6322,202312,04,"17,450",102동,7,-,-,2016,동전로224번길 3,-,직거래,-,23.12.26,아파트
81,경상남도 창원시 의창구 북면 감계리,230-1,0230,0001,창원감계힐스테이트1차,84.9601,202312,04,"30,000",109,11,-,-,2014,동전로 86,-,중개거래,경남 창원의창구,24.02.02,아파트
82,경상남도 창원시 의창구 북면 감계리,225-2,0225,0002,창원감계푸르지오,84.8853,202312,04,"29,900",103동,3,-,-,2017,감계로 221,-,중개거래,경남 창원의창구,24.01.25,아파트
83,경상남도 창원시 의창구 북면 감계리,225-2,0225,0002,창원감계푸르지오,72.8583,202312,04,"29,000",107동,22,-,-,2017,감계로 221,-,중개거래,경남 창원의창구,24.01.25,아파트
84,경상남도 창원시 의창구 명서동,27,0027,0000,명곡두산위브,84.9900,202312,03,"45,200",201,1,-,-,2010,도계로 136,-,중개거래,경남 창원의창구,24.01.29,아파트
85,경상남도 창원시 의창구 북면 감계리,225-1,0225,0001,창원감계힐스테이트4차,59.8544,202312,03,"21,900",417동,16,-,-,2017,감계로 233,-,중개거래,경남 창원의창구,24.01.10,아파트
86,경상남도 창원시 의창구 북면 감계리,225-2,0225,0002,창원감계푸르지오,72.8583,202312,02,"26,500",102동,12,-,-,2017,감계로 221,-,중개거래,경남 창원의창구,24.01.12,아파트
87,경상남도 창원시 의창구 도계동,326-1,0326,0001,강남프라자,59.7600,202312,02,"13,800",-,7,-,-,1995,하남천서길5번길 13,-,중개거래,경남 창원의창구,24.01.19,아파트
88,경상남도 창원시 의창구 동읍 용정리,20-3,0020,0003,성진까치빌라트2,58.0200,202312,02,"7,400",102,13,-,-,1993,용정길46번길 35,-,중개거래,경남 창원의창구,23.12.19,아파트
89,경상남도 창원시 의창구 도계동,326-1,0326,0001,강남프라자,57.2400,202312,01,"12,000",-,6,-,-,1995,하남천서길5번길 13,-,직거래,-,23.12.27,아파트
90,경상남도 창원시 의창구 동읍 용잠리,419,0419,0000,신안맨션,84.9500,202312,01,"11,300",-,2,-,-,1997,동읍로 7,20240402,중개거래,경남 창원시의창구,-,아파트
91,경상남도 창원시 의창구 북면 감계리,227-2,0227,0002,감계아내에코프리미엄1차,84.8042,202312,01,"26,800",102,3,-,-,2014,감계로 277,-,중개거래,경남 창원시의창구,24.02.29,아파트
92,경상남도 창원시 의창구 도계동,319-5,0319,0005,일흥빌라,58.6300,202311,30,"10,400",-,3,-,-,1992,하남천서길 63,20231206,중개거래,경남 창원의창구,-,아파트
93,경상남도 창원시 의창구 동읍 용정리,20-1,0020,0001,동부산훼미리타운1차,55.9400,202311,29,"7,300",1,5,-,-,1997,용정길46번길 29,-,중개거래,경남 창원의창구,24.01.16,아파트
94,경상남도 창원시 의창구 도계동,320-2,0320,0002,금강목련,59.9800,202311,29,"12,530",-,7,-,-,1996,하남천서길37번길 6-12,-,중개거래,경남 창원의창구,24.01.10,아파트
95,경상남도 창원시 의창구 북면 신촌리,905-24,0905,0024,춘광2,57.9200,202311,29,"7,000",501,8,-,-,1995,신촌본포로 12-13,-,중개거래,경남 창원의창구,23.12.21,아파트
96,경상남도 창원시 의창구 팔용동,122,0122,0000,벽산블루밍B,84.9050,202311,28,"42,500",104,8,-,-,1999,반계로 104-21,-,중개거래,경남 창원의창구,24.01.12,아파트
97,경상남도 창원시 의창구 북면 신촌리,905-24,0905,0024,춘광2,57.9200,202311,28,"7,000",501,13,-,-,1995,신촌본포로 12-13,-,중개거래,경남 창원의창구,24.01.03,아파트
98,경상남도 창원시 의창구 도계동,302-5,0302,0005,금강장미,74.9400,202311,28,"14,000",-,5,-,-,1995,도계두리길6번길 5-8,-,중개거래,경남 창원의창구,24.01.23,아파트
99,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.5002,202311,27,"34,562",212동,13,-,-,2019,감계로 342,-,직거래,-,24.01.04,아파트
100,경상남도 창원시 의창구 북면 감계리,227-1,0227,0001,창원감계힐스테이트3차,84.7732,202311,27,"30,000",304,5,-,-,2014,감계로 259,-,직거래,-,23.12.01,아파트
101,경상남도 창원시 의창구 도계동,358-2,0358,0002,상아그로리아맨션,59.9000,202311,27,"12,800",-,11,-,-,1992,하남천동길16번길 3-19,-,중개거래,경남 창원시의창구,24.01.26,아파트
102,경상남도 창원시 의창구 동읍 용정리,20-3,0020,0003,성진까치빌라트2,58.0200,202311,27,"6,750",102,1,-,-,1993,용정길46번길 35,-,중개거래,경남 창원성산구 경남 창원의창구,23.12.18,아파트
103,경상남도 창원시 의창구 소답동,133-15,0133,0015,동일그린맨션,59.7300,202311,27,"11,700",-,12,-,-,1992,읍성로 90,-,중개거래,경남 창원의창구,23.12.04,아파트
104,경상남도 창원시 의창구 도계동,329,0329,0000,한마음코아,49.4400,202311,26,"11,900",101,13,-,-,1992,도계로50번길 6-46,-,중개거래,경남 창원의창구,23.12.26,아파트
105,경상남도 창원시 의창구 북면 감계리,230-1,0230,0001,창원감계힐스테이트1차,84.8931,202311,25,"30,800",106,7,-,-,2014,동전로 86,-,중개거래,경남 창원의창구,23.12.26,아파트
106,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,59.9932,202311,25,"20,000",106동,11,-,-,2018,무동서로 24,-,중개거래,경남 창원의창구,24.01.05,아파트
107,경상남도 창원시 의창구 북면 감계리,231-10,0231,0010,창원감계힐스테이트2차,59.2812,202311,25,"25,700",208,9,-,-,2017,감계로 341,-,중개거래,경남 창원시의창구,24.02.13,아파트
108,경상남도 창원시 의창구 북면 감계리,225-2,0225,0002,창원감계푸르지오,72.8583,202311,25,"26,500",102동,19,-,-,2017,감계로 221,-,중개거래,경남 창원의창구,23.12.27,아파트
109,경상남도 창원시 의창구 도계동,414-10,0414,0010,중앙맨션,84.1500,202311,24,"16,800",-,8,-,-,1992,도계로83번길 10-9,-,중개거래,경남 창원시의창구,24.02.19,아파트
110,경상남도 창원시 의창구 동읍 용정리,20-9,0020,0009,성진까치빌라트3,54.6500,202311,24,"8,300",102,15,-,-,1995,용정길46번길 49-1,-,중개거래,경남 창원의창구,23.11.30,아파트
111,경상남도 창원시 의창구 동읍 용정리,21-7,0021,0007,동부산훼미리타운5차,48.0041,202311,24,"6,500",-,1,-,-,2000,용정길46번길 24,-,직거래,-,23.11.24,아파트
