□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
38,경상남도 창원시 마산회원구 구암동,1336-1,1336,0001,경남(1336),52.4175,202212,16,"9,900",-,5,-,-,1986,소계천서길 59,-,중개거래,경남 창원마산회원구,-,아파트
39,경상남도 창원시 마산회원구 석전동,252-1,0252,0001,우성,58.8600,202212,16,"8,300",-,5,-,-,1985,석전동로 31,-,중개거래,경남 창원마산회원구,-,아파트
40,경상남도 창원시 마산회원구 양덕동,161-1,0161,0001,대림하이빌,84.9365,202212,14,"22,000",-,12,-,-,2002,양덕동2길 76,-,중개거래,경남 창원마산회원구,-,아파트
41,경상남도 창원시 마산회원구 내서읍 중리,338-1,0338,0001,현대,84.9450,202212,14,"12,700",-,13,-,-,1992,호원로 186-1,-,직거래,-,-,아파트
42,경상남도 창원시 마산회원구 양덕동,64-1,0064,0001,한일타운2,59.9880,202212,13,"20,250",-,22,-,-,1996,양덕로 151,-,중개거래,경남 창원마산회원구 경남 창원성산구,-,아파트
43,경상남도 창원시 마산회원구 내서읍 중리,338-1,0338,0001,현대,84.9450,202212,13,"12,950",-,7,-,-,1992,호원로 186-1,-,직거래,-,-,아파트
44,경상남도 창원시 마산회원구 내서읍 호계리,358,0358,0000,동명빌라,60.4200,202212,12,"5,000",-,6,-,-,2001,호계안길 42,-,중개거래,경남 창원마산회원구,-,아파트
45,경상남도 창원시 마산회원구 양덕동,84-1,0084,0001,메트로시티,124.4478,202212,11,"61,000",-,6,-,-,2009,양덕서로 30,-,중개거래,경남 창원마산회원구,-,아파트
46,경상남도 창원시 마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2단지,59.9573,202212,10,"16,200",-,11,-,-,2003,광려로 29,-,중개거래,경남 창원마산회원구,-,아파트
47,경상남도 창원시 마산회원구 양덕동,535,0535,0000,양덕코오롱하늘채,84.9783,202212,10,"45,000",-,20,-,-,2016,양덕서5길 15,-,중개거래,경남 창원마산회원구,-,아파트
48,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,103.9320,202212,09,"34,500",-,11,-,-,2005,호원로 359,-,중개거래,경남 창원시 마산회원구,-,아파트
49,경상남도 창원시 마산회원구 구암동,1212,1212,0000,신우,48.5302,202212,08,"12,000",-,3,-,-,2001,구암남21길 3,-,중개거래,경남 창원마산회원구,-,아파트
50,경상남도 창원시 마산회원구 내서읍 중리,338-1,0338,0001,현대,74.2950,202212,07,"10,000",-,8,-,-,1992,호원로 186-1,-,중개거래,경남 창원마산회원구,-,아파트
51,경상남도 창원시 마산회원구 내서읍 상곡리,196,0196,0000,동남타운,59.9810,202212,07,"9,500",-,5,-,-,1996,상곡로 5,-,중개거래,경남 창원마산회원구,-,아파트
52,경상남도 창원시 마산회원구 회원동,648-1,0648,0001,회원주공,59.8900,202212,07,"11,000",-,17,-,-,2002,회원서11길 21,-,중개거래,경남 창원마산합포구,-,아파트
53,경상남도 창원시 마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,39.7400,202212,06,"8,700",-,8,-,-,1998,삼계10길 22,-,중개거래,경남 창원마산회원구,-,아파트
54,경상남도 창원시 마산회원구 내서읍 호계리,9,0009,0000,신우,59.9500,202212,05,"8,000",-,4,-,-,1996,호원로 371,-,중개거래,경남 창원마산회원구,-,아파트
55,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,38.8280,202212,05,"22,500",-,26,-,-,2019,석전남8길 40,-,직거래,-,-,아파트
56,경상남도 창원시 마산회원구 양덕동,888-1,0888,0001,우성,59.9700,202212,05,"21,500",-,18,-,-,1998,양덕옛2길 16,-,중개거래,경남 창원마산회원구,-,아파트
