□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
69,경상남도 창원시 진해구 남문동,1256-1,1256,0001,시티프라디움2차,74.2787,202012,25,"21,000",-,17,-,-,2017,웅천동로 100,-,-,-,-,아파트
70,경상남도 창원시 진해구 경화동,859,0859,0000,경화주공,39.7200,202012,25,"8,500",-,2,-,-,1986,충장로345번길 50,-,-,-,-,아파트
71,경상남도 창원시 진해구 석동,351,0351,0000,한솔솔파크1단지,131.4810,202012,24,"30,000",-,2,-,-,2009,진해대로789번길 24,-,-,-,-,아파트
72,경상남도 창원시 진해구 자은동,911,0911,0000,성원,39.7500,202012,24,"8,000",-,3,-,-,1995,냉천로108번길 6,-,-,-,-,아파트
73,경상남도 창원시 진해구 석동,551-1,0551,0001,진해석동푸르지오,138.0440,202012,24,"32,000",-,3,-,-,2006,진해대로 727,-,-,-,-,아파트
74,경상남도 창원시 진해구 두동,1296-2,1296,0002,희가로,84.9990,202012,24,"11,000",-,1,-,-,2008,웅동로 182,-,-,-,-,아파트
75,경상남도 창원시 진해구 자은동,831,0831,0000,삼성아파트2단지,59.9200,202012,24,"9,500",-,9,-,-,1993,자은로64번길 39,-,-,-,-,아파트
76,경상남도 창원시 진해구 장천동,260,0260,0000,창원한신휴플러스오션파크,69.9261,202012,24,"26,200",-,6,-,-,2016,행암로 5,-,-,-,-,아파트
77,경상남도 창원시 진해구 장천동,260,0260,0000,창원한신휴플러스오션파크,84.4557,202012,24,"36,400",-,17,-,-,2016,행암로 5,-,-,-,-,아파트
78,경상남도 창원시 진해구 용원동,1338-3,1338,0003,부산신항만이지더원2단지,59.9276,202012,24,"16,200",-,11,-,-,2014,신항북로 202,-,-,-,-,아파트
79,경상남도 창원시 진해구 남문동,1256-2,1256,0002,진해남문하우스디,84.9402,202012,24,"27,490",-,13,-,-,2019,웅천동로106번길 20,-,-,-,-,아파트
