□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 성산구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
37,경상남도 창원시 성산구 가음동,12,0012,0000,창원센텀푸르지오,59.9573,202212,24,"42,000",-,9,-,-,2018,가음정로 59,-,중개거래,경남 창원성산구,-,아파트
38,경상남도 창원시 성산구 반지동,24,0024,0000,까치2차,54.0900,202212,24,"14,000",-,10,-,-,1991,창원천로 256,-,중개거래,경남 창원성산구,-,아파트
39,경상남도 창원시 성산구 반림동,3-1,0003,0001,현대1차,68.7600,202212,24,"29,000",-,6,-,-,1989,외동반림로 219,-,중개거래,경남 창원성산구,-,아파트
40,경상남도 창원시 성산구 대방동,356,0356,0000,덕산타운1,49.9400,202212,24,"14,500",-,4,-,-,1992,대정로 131,-,중개거래,경남 창원성산구,-,아파트
41,경상남도 창원시 성산구 대방동,374,0374,0000,대방동성,60.0000,202212,24,"27,400",-,12,-,-,1996,대암로 282,-,중개거래,경남 창원성산구,-,아파트
42,경상남도 창원시 성산구 대방동,371,0371,0000,대동디지털황토방,59.7686,202212,24,"24,000",-,1,-,-,2001,창이대로881번길 8,-,중개거래,경남 창원성산구,-,아파트
43,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,49.9800,202212,23,"14,500",-,8,-,-,1994,원이대로 774,-,직거래,-,-,아파트
44,경상남도 창원시 성산구 안민동,197,0197,0000,대동청솔,85.0000,202212,23,"25,750",-,19,-,-,1999,안민로101번길 29,-,중개거래,경남 창원성산구,-,아파트
45,경상남도 창원시 성산구 반림동,18,0018,0000,트리비앙,76.0300,202212,23,"45,500",-,18,-,-,2006,원이대로 495,-,중개거래,경남 창원성산구,-,아파트
46,경상남도 창원시 성산구 남양동,20,0020,0000,성원1차,84.9700,202212,23,"25,500",-,1,-,-,1991,대정로 73,20230220,중개거래,경남 창원성산구,-,아파트
47,경상남도 창원시 성산구 남양동,22,0022,0000,성원2차,84.9200,202212,23,"24,250",-,4,-,-,1992,대정로 99,-,중개거래,경남 창원성산구,-,아파트
48,경상남도 창원시 성산구 사파동,93,0093,0000,동성,49.5000,202212,23,"18,500",-,18,-,-,1992,창이대로 737,-,중개거래,경남 창원성산구,-,아파트
49,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,84.9200,202212,23,"35,500",-,12,-,-,1994,원이대로 774,-,중개거래,경남 창원마산합포구 경남 창원성산구,-,아파트
50,경상남도 창원시 성산구 용호동,63,0063,0000,롯데1단지,82.5300,202212,22,"60,000",-,3,-,-,1988,용지로 229,-,중개거래,경남 창원성산구,-,아파트
51,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,59.9700,202212,22,"26,000",-,16,-,-,1994,원이대로 774,-,중개거래,경남 창원성산구,-,아파트
52,경상남도 창원시 성산구 사파동,93,0093,0000,동성,49.5000,202212,22,"19,500",-,7,-,-,1992,창이대로 737,-,중개거래,경남 창원성산구,-,아파트
53,경상남도 창원시 성산구 남양동,24,0024,0000,피오르빌,49.5100,202212,22,"17,500",-,4,-,-,1995,대정로 84,-,중개거래,경남 창원성산구,-,아파트
54,경상남도 창원시 성산구 대방동,355,0355,0000,성원남산3차,47.9700,202212,22,"12,500",-,18,-,-,1992,대암로 126,-,중개거래,경남 창원성산구,-,아파트
55,경상남도 창원시 성산구 대방동,356,0356,0000,덕산타운1,84.9800,202212,22,"24,000",-,7,-,-,1992,대정로 131,-,직거래,-,-,아파트
56,경상남도 창원시 성산구 대방동,357,0357,0000,개나리1차,42.1800,202212,21,"12,200",-,2,-,-,1992,대정로 149,-,중개거래,경남 창원성산구,-,아파트
57,경상남도 창원시 성산구 상남동,44-1,0044,0001,대동,59.2920,202212,21,"27,850",-,24,-,-,1994,동산로 115,-,중개거래,경남 창원성산구,-,아파트
58,경상남도 창원시 성산구 반림동,18,0018,0000,트리비앙,129.5200,202212,21,"70,000",-,10,-,-,2006,원이대로 495,-,중개거래,경남 창원성산구,-,아파트
59,경상남도 창원시 성산구 사파동,148,0148,0000,무궁화,51.5700,202212,21,"23,000",-,4,-,-,1988,동산로 148,-,직거래,-,-,아파트
60,경상남도 창원시 성산구 대방동,357,0357,0000,개나리1차,42.1800,202212,21,"14,500",-,15,-,-,1992,대정로 149,-,중개거래,경남 창원성산구,-,아파트
61,경상남도 창원시 성산구 가음동,12,0012,0000,창원센텀푸르지오,84.9584,202212,21,"59,500",-,17,-,-,2018,가음정로 59,-,중개거래,경남 창원성산구,-,아파트
62,경상남도 창원시 성산구 대방동,356,0356,0000,덕산타운1,49.9400,202212,20,"16,600",-,3,-,-,1992,대정로 131,-,중개거래,경남 창원성산구,-,아파트
63,경상남도 창원시 성산구 가음동,12,0012,0000,창원센텀푸르지오,59.9573,202212,20,"46,000",-,24,-,-,2018,가음정로 59,-,중개거래,경남 창원성산구,-,아파트
64,경상남도 창원시 성산구 대방동,357,0357,0000,개나리1차,42.1800,202212,20,"13,500",-,9,-,-,1992,대정로 149,-,중개거래,경남 창원시 성산구,-,아파트
65,경상남도 창원시 성산구 대방동,357,0357,0000,개나리1차,42.1800,202212,20,"13,000",-,4,-,-,1992,대정로 149,-,중개거래,경남 창원성산구,-,아파트
66,경상남도 창원시 성산구 신월동,93,0093,0000,은아,84.7800,202212,20,"58,000",-,2,-,-,1988,원이대로 663,-,중개거래,경남 창원성산구,-,아파트
67,경상남도 창원시 성산구 남산동,601-7,0601,0007,대우사원,37.7400,202212,20,"6,900",-,7,-,-,1991,정동로162번길 81,-,중개거래,경남 창원성산구,-,아파트
68,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,49.9800,202212,19,"15,500",-,11,-,-,1994,원이대로 774,-,중개거래,경남 창원성산구,-,아파트
69,경상남도 창원시 성산구 대원동,81,0081,0000,대원파크빌,52.9200,202212,19,"11,000",-,6,-,-,1997,삼동로 121,-,중개거래,경남 창원성산구,-,아파트
70,경상남도 창원시 성산구 반림동,3-1,0003,0001,현대1차,84.5100,202212,19,"31,000",-,12,-,-,1989,외동반림로 219,-,직거래,-,-,아파트
71,경상남도 창원시 성산구 반림동,8,0008,0000,럭키,59.2200,202212,19,"21,900",-,13,-,-,1989,반송로 105,-,중개거래,경남 창원성산구,-,아파트
72,경상남도 창원시 성산구 대방동,355,0355,0000,성원남산3차,47.9700,202212,19,"13,200",-,14,-,-,1992,대암로 126,-,중개거래,경남 창원성산구,-,아파트
73,경상남도 창원시 성산구 남양동,24,0024,0000,피오르빌,39.7000,202212,17,"15,100",-,7,-,-,1995,대정로 84,-,중개거래,경남 창원성산구,-,아파트
74,경상남도 창원시 성산구 가음동,12,0012,0000,창원센텀푸르지오,73.7334,202212,17,"49,000",-,3,-,-,2018,가음정로 59,-,중개거래,경남 창원성산구,-,아파트
75,경상남도 창원시 성산구 반림동,18,0018,0000,트리비앙,84.9900,202212,17,"50,000",-,12,-,-,2006,원이대로 495,-,중개거래,경남 창원성산구,-,아파트
76,경상남도 창원시 성산구 성주동,101,0101,0000,프리빌리지,101.9708,202212,16,"45,100",-,4,-,-,2003,대암로 253,-,중개거래,경남 창원성산구,-,아파트
77,경상남도 창원시 성산구 사파동,147,0147,0000,삼익,49.7600,202212,16,"30,000",-,5,-,-,1988,원이대로773번길 13,-,중개거래,경남 창원성산구,-,아파트
78,경상남도 창원시 성산구 사파동,93,0093,0000,동성,49.5000,202212,16,"19,000",-,8,-,-,1992,창이대로 737,-,중개거래,경남 창원성산구,-,아파트
79,경상남도 창원시 성산구 사파동,93,0093,0000,동성,49.5000,202212,16,"18,200",-,15,-,-,1992,창이대로 737,-,중개거래,경남 창원성산구,-,아파트
80,경상남도 창원시 성산구 가음동,12,0012,0000,창원센텀푸르지오,59.9573,202212,15,"42,900",-,7,-,-,2018,가음정로 59,-,중개거래,경남 창원성산구,-,아파트
81,경상남도 창원시 성산구 남산동,601-26,0601,0026,남산효성해링턴플레이스,59.8625,202212,15,"24,500",-,8,-,-,2018,정동로162번길 78,-,직거래,-,-,아파트
82,경상남도 창원시 성산구 반림동,10,0010,0000,노블파크,84.9500,202212,15,"49,900",-,8,-,-,2007,원이대로 449,-,중개거래,경남 창원성산구,-,아파트
83,경상남도 창원시 성산구 남양동,23,0023,0000,위드파크아파트,53.8200,202212,15,"18,000",-,11,-,-,1998,가양로 99,-,중개거래,경남 창원성산구,-,아파트
84,경상남도 창원시 성산구 반림동,18,0018,0000,트리비앙,84.9800,202212,14,"49,500",-,11,-,-,2006,원이대로 495,-,중개거래,경남 창원성산구,-,아파트
85,경상남도 창원시 성산구 반림동,18,0018,0000,트리비앙,84.9500,202212,14,"54,000",-,6,-,-,2006,원이대로 495,-,중개거래,경남 창원성산구,-,아파트
86,경상남도 창원시 성산구 가음동,13,0013,0000,창원가음한화꿈에그린,84.9521,202212,14,"52,500",-,12,-,-,2017,원이대로878번길 9,-,중개거래,경남 창원마산회원구 경남 창원성산구,-,아파트
87,경상남도 창원시 성산구 사파정동,1127,1127,0000,성산반도유보라아이비파크,86.4135,202212,14,"65,000",-,15,-,-,2022,비음로 191,-,중개거래,경남 창원의창구,-,아파트
88,경상남도 창원시 성산구 가음동,17,0017,0000,창원더샵센트럴파크1단지,84.8074,202212,14,"58,000",-,11,-,-,2017,대정로40번길 7,-,중개거래,경남 창원성산구,-,아파트
89,경상남도 창원시 성산구 신월동,90,0090,0000,주공,39.7200,202212,13,"34,000",-,4,-,-,1987,신사로 64,-,중개거래,경남 창원성산구,-,아파트
90,경상남도 창원시 성산구 사파동,93,0093,0000,동성,59.9200,202212,13,"21,700",-,7,-,-,1992,창이대로 737,-,중개거래,경남 창원성산구,-,아파트
91,경상남도 창원시 성산구 신촌동,33-8,0033,0008,신촌동원로얄듀크,84.9827,202212,13,"30,200",-,12,-,-,2008,신촌로 130,-,중개거래,경남 창원성산구,-,아파트
92,경상남도 창원시 성산구 반지동,23,0023,0000,대동그린파크,70.1100,202212,13,"25,000",-,1,-,-,1990,창원천로 292,-,중개거래,경남 창원성산구,-,아파트
93,경상남도 창원시 성산구 대방동,356,0356,0000,덕산타운1,49.9400,202212,13,"18,950",-,5,-,-,1992,대정로 131,-,중개거래,경남 창원성산구,-,아파트
94,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,59.9700,202212,12,"23,300",-,23,-,-,1994,원이대로 774,-,중개거래,경남 창원성산구,-,아파트
95,경상남도 창원시 성산구 신촌동,27-1,0027,0001,문창팀버빌리지,122.5497,202212,12,"24,500",-,4,-,-,2003,신촌로134번길 33,-,중개거래,경남 창원성산구,-,아파트
96,경상남도 창원시 성산구 안민동,188,0188,0000,동부산아이존빌,59.9888,202212,12,"16,900",-,11,-,-,2002,안민로117번길 3,-,중개거래,경남 창원성산구,-,아파트
97,경상남도 창원시 성산구 안민동,143-7,0143,0007,신우에이스타운,59.7600,202212,12,"13,700",-,10,-,-,1999,안민안길 8,-,중개거래,경남 창원성산구,-,아파트
98,경상남도 창원시 성산구 남양동,24,0024,0000,피오르빌,39.7000,202212,12,"14,000",-,14,-,-,1995,대정로 84,-,중개거래,경남 창원성산구,-,아파트
99,경상남도 창원시 성산구 상남동,65-1,0065,0001,꿈에그린,84.9008,202212,11,"50,000",-,4,-,-,2014,토월로27번길 18,-,중개거래,경남 창원성산구,-,아파트
100,경상남도 창원시 성산구 반림동,4-1,0004,0001,현대2차,69.8400,202212,10,"30,000",-,5,-,-,1989,반송로 177,-,중개거래,경남 창원성산구,-,아파트
101,경상남도 창원시 성산구 남양동,24,0024,0000,피오르빌,39.7000,202212,10,"13,600",-,3,-,-,1995,대정로 84,-,중개거래,경남 창원성산구,-,아파트
102,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,84.9100,202212,10,"34,000",-,18,-,-,1994,원이대로 774,-,중개거래,경남 창원성산구,-,아파트
103,경상남도 창원시 성산구 신촌동,22-1,0022,0001,양곡상가,62.6500,202212,10,"6,350",-,12,-,-,1979,신촌로 83,-,중개거래,경남 창원성산구,-,아파트
104,경상남도 창원시 성산구 반림동,18,0018,0000,트리비앙,84.9900,202212,10,"50,000",-,13,-,-,2006,원이대로 495,-,중개거래,경남 창원성산구,-,아파트
105,경상남도 창원시 성산구 사파동,93,0093,0000,동성,49.5000,202212,09,"15,000",-,1,-,-,1992,창이대로 737,-,직거래,-,-,아파트
106,경상남도 창원시 성산구 남양동,24,0024,0000,피오르빌,39.7000,202212,09,"14,500",-,11,-,-,1995,대정로 84,-,중개거래,경남 창원성산구,-,아파트
