□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2021-01-01 ~ 2021-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
13,경상남도 창원시 마산합포구 현동,700,0700,0000,중흥S클래스프라디움3차,105.3198,202112,29,"43,000",-,9,-,-,2017,현동1길 8,-,중개거래,경남 창원마산합포구,-,아파트
14,경상남도 창원시 마산합포구 진동면 진동리,209-1,0209,0001,신화하니엘더마린2단지,59.9935,202112,28,"16,000",-,14,-,-,2017,해양관광로 43,-,중개거래,경남 창원마산합포구,-,아파트
15,경상남도 창원시 마산합포구 월남동1가,7,0007,0000,해바라기,59.3400,202112,28,"11,000",-,5,-,-,1983,문화동3길 17,-,직거래,-,-,아파트
16,경상남도 창원시 마산합포구 월영동,704-1,0704,0001,현대건설1차,84.9700,202112,28,"21,900",-,6,-,-,1998,월영마을로 12,-,중개거래,경남 창원마산합포구,-,아파트
17,경상남도 창원시 마산합포구 월영동,704-1,0704,0001,현대건설1차,84.9700,202112,28,"22,300",-,4,-,-,1998,월영마을로 12,-,중개거래,경남 창원마산합포구,-,아파트
18,경상남도 창원시 마산합포구 해운동,50,0050,0000,두산2,59.3400,202112,28,"17,800",-,6,-,-,1993,월영동로 19,-,중개거래,경남 창원마산합포구,-,아파트
19,경상남도 창원시 마산합포구 완월동,320,0320,0000,신월경남,59.4800,202112,28,"8,200",-,2,-,-,1992,완월남14길 12,-,중개거래,경남 창원마산합포구,-,아파트
20,경상남도 창원시 마산합포구 산호동,646,0646,0000,산호경동리인,84.9985,202112,28,"37,000",-,11,-,-,2018,산호동로 12,20220214,중개거래,경남 창원마산합포구 경남 창원성산구,-,아파트
21,경상남도 창원시 마산합포구 중앙동3가,4-330,0004,0330,신우희가로베스트,59.9295,202112,27,"19,900",-,2,-,-,2006,중앙북1길 19,-,중개거래,경남 창원마산합포구,-,아파트
22,경상남도 창원시 마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.3200,202112,27,"14,800",-,17,-,-,2004,월영북15길 21,-,중개거래,경남 창원마산합포구,-,아파트
