□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
75,경상남도 창원시 마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9977,202012,21,"17,500",-,16,-,-,2003,광려로 28,-,-,-,-,아파트
76,경상남도 창원시 마산회원구 내서읍 삼계리,38,0038,0000,한우리,59.8650,202012,21,"8,800",-,13,-,-,2000,삼계1길 48,-,-,-,-,아파트
77,경상남도 창원시 마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.9900,202012,21,"8,500",-,5,-,-,1998,삼계10길 22,-,-,-,-,아파트
78,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,104.6360,202012,21,"25,300",-,22,-,-,2001,호원로 361-3,-,-,-,-,아파트
79,경상남도 창원시 마산회원구 봉암동,277,0277,0000,봉암서광,59.3400,202012,21,"8,000",-,1,-,-,2000,봉양로 241,-,-,-,-,아파트
80,경상남도 창원시 마산회원구 합성동,694-1,0694,0001,무학,54.3400,202012,21,"11,400",-,3,-,-,1987,금강로 35,-,-,-,-,아파트
81,경상남도 창원시 마산회원구 양덕동,96-13,0096,0013,대상,42.7050,202012,21,"9,000",-,4,-,-,1999,양덕북17길 48,-,-,-,-,아파트
82,경상남도 창원시 마산회원구 양덕동,73-8,0073,0008,한효무궁화,51.9900,202012,21,"9,700",-,4,-,-,1986,양덕서6길 6,-,-,-,-,아파트
83,경상남도 창원시 마산회원구 양덕동,148-3,0148,0003,삼성버킹궁,84.8090,202012,21,"18,500",-,7,-,-,2002,용마로 142,-,-,-,-,아파트
84,경상남도 창원시 마산회원구 내서읍 삼계리,38,0038,0000,한우리,59.8650,202012,20,"8,000",-,3,-,-,2000,삼계1길 48,-,-,-,-,아파트
85,경상남도 창원시 마산회원구 회원동,27-3,0027,0003,대지빌라,114.6600,202012,20,"9,800",-,4,-,-,2001,3·15대로 543,-,-,-,-,아파트
86,경상남도 창원시 마산회원구 석전동,232-1,0232,0001,동도센트리움,84.7400,202012,20,"25,000",-,8,-,-,2013,양덕옛2길 129,20210215,-,-,-,아파트
87,경상남도 창원시 마산회원구 양덕동,888-1,0888,0001,우성,59.9700,202012,19,"14,900",-,1,-,-,1998,양덕옛2길 16,-,-,-,-,아파트
88,경상남도 창원시 마산회원구 석전동,285-1,0285,0001,개나리(285-1),57.7800,202012,19,"6,600",-,4,-,-,1984,석전서8길 37,-,-,-,-,아파트
89,경상남도 창원시 마산회원구 회원동,648-1,0648,0001,회원주공,84.8400,202012,19,"16,800",-,8,-,-,2002,회원서11길 21,-,-,-,-,아파트
90,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,74.1880,202012,19,"18,300",-,3,-,-,2005,호원로 359,-,-,-,-,아파트
91,경상남도 창원시 마산회원구 내서읍 원계리,647,0647,0000,대동다:숲,59.6458,202012,19,"13,400",-,7,-,-,2006,광려천남로 267,-,-,-,-,아파트
92,경상남도 창원시 마산회원구 내서읍 상곡리,192,0192,0000,중리근로복지,41.8500,202012,19,"4,450",-,3,-,-,1993,상곡로 67,-,-,-,-,아파트
93,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,84.9670,202012,19,"16,900",-,20,-,-,2001,호원로 361-3,-,-,-,-,아파트
