□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 오피스텔(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.62,201805,15,"         4,000",7,2003,중앙북7길 7
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.62,201805,25,"         3,500",2,2003,중앙북7길 7
경상남도 창원마산합포구 창동,3-1,3,1,창동 오피스텔,28.45,201711,24,"         3,900",6,2003,북성로 5
경상남도 창원마산합포구 창동,3-1,3,1,창동 오피스텔,34.37,201711,30,"         5,000",7,2003,북성로 5
경상남도 창원마산합포구 창동,3-1,3,1,창동 오피스텔,31.21,201801,25,"         3,500",8,2003,북성로 5
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201707,4,"         3,000",13,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,201707,10,"         3,500",10,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201707,24,"         3,800",13,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,29.04,201707,31,"         4,100",11,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,23.36,201709,15,"         3,500",9,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201710,13,"         3,950",13,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201710,31,"         3,800",10,1999,해안대로 15
