NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1311,경상남도 창원시 마산회원구 내서읍 중리,338-1,0338,0001,현대,84.9450,202403,14,"14,000",3,2,개인,개인,1992,호원로 186-1,-,중개거래,"경남 창원시마산회원구, 경남 함안군",24.05.02,아파트
1312,경상남도 창원시 마산회원구 내서읍 상곡리,67,0067,0000,삼계서진,39.9000,202403,14,"5,450",102,9,개인,개인,1997,경남대로 1019,-,중개거래,경남 창원시마산회원구,24.03.22,아파트
1313,경상남도 창원시 마산회원구 양덕동,92-1,0092,0001,거북,48.1500,202403,14,"8,800",-,1,개인,개인,1983,양덕북15길 3,-,중개거래,경남 창원시 마산회원구,24.04.11,아파트
1314,경상남도 창원시 마산회원구 양덕동,74-1,0074,0001,한일타운,59.9400,202403,14,"17,300",101,9,개인,개인,1994,양덕서8길 25,-,직거래,-,24.03.18,아파트
1315,경상남도 창원시 마산회원구 양덕동,161-1,0161,0001,대림하이빌,84.9365,202403,14,"25,600",105,11,개인,개인,2002,양덕동2길 76,-,직거래,-,24.03.15,아파트
1316,경상남도 창원시 마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.6200,202403,14,"9,900",104,7,개인,개인,1998,삼계10길 22,-,중개거래,경남 창원시마산회원구,24.04.01,아파트
1317,경상남도 창원시 마산회원구 석전동,260-14,0260,0014,이미지피렌체,84.9381,202403,14,"24,000",102,3,개인,개인,2004,양덕옛1길 37,-,중개거래,경남 창원시마산회원구,24.03.28,아파트
1318,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,59.6825,202403,13,"36,000",101,9,개인,개인,2019,석전남8길 40,-,중개거래,경남 창원시마산회원구,24.04.19,아파트
1319,경상남도 창원시 마산회원구 양덕동,888-1,0888,0001,우성,74.9000,202403,13,"22,400",제111,15,개인,개인,1998,양덕옛2길 16,-,중개거래,경남 창원시마산회원구,24.04.29,아파트
1320,경상남도 창원시 마산회원구 양덕동,888-1,0888,0001,우성,59.9700,202403,13,"21,400",제105,18,개인,개인,1998,양덕옛2길 16,-,중개거래,경남 창원시마산회원구,24.04.18,아파트
1321,경상남도 창원시 마산회원구 양덕동,64-1,0064,0001,한일타운2,59.9880,202403,13,"20,000",204,5,개인,개인,1996,양덕로 151,-,중개거래,경남 창원시마산회원구,24.06.21,아파트
1322,경상남도 창원시 마산회원구 양덕동,64-1,0064,0001,한일타운2,59.9880,202403,13,"20,000",-,5,개인,개인,1996,양덕로 151,20240314,중개거래,경남 창원시마산회원구,-,아파트
1323,경상남도 창원시 마산회원구 회원동,642-5,0642,0005,서광2,68.2200,202403,13,"9,500",-,3,개인,개인,1985,회원남로 5,-,중개거래,경남 창원시마산회원구,24.04.26,아파트
1324,경상남도 창원시 마산회원구 회원동,64-1,0064,0001,남광B동,51.4700,202403,13,"5,800",남광아파트,3,개인,개인,1980,회원동29길 70,-,중개거래,경남 창원시마산합포구,24.03.20,아파트
1325,경상남도 창원시 마산회원구 봉암동,277,0277,0000,봉암서광,59.3400,202403,13,"9,300",101,1,개인,개인,2000,봉양로 241,-,중개거래,경남 창원시마산회원구,24.04.26,아파트
1326,경상남도 창원시 마산회원구 내서읍 삼계리,508-1,0508,0001,숲속마을(6단지),59.8500,202403,13,"15,000",609,5,개인,개인,2002,숲속로 27,-,중개거래,경남 창원시마산회원구,24.04.30,아파트
1327,경상남도 창원시 마산회원구 내서읍 삼계리,34,0034,0000,대동,84.9600,202403,13,"18,300",110,15,개인,개인,1998,삼계5길 30,-,중개거래,경남 창원시마산회원구,24.05.13,아파트
1328,경상남도 창원시 마산회원구 내서읍 상곡리,194,0194,0000,가고파,43.1050,202403,13,"5,950",-,8,개인,개인,1993,상곡로 35,-,중개거래,경남 창원시마산회원구,24.03.26,아파트
1329,경상남도 창원시 마산회원구 양덕동,84-14,0084,0014,메트로시티2단지,74.9350,202403,12,"51,750",202,41,개인,개인,2015,삼호로 80,-,중개거래,경남 창원시마산회원구,24.07.25,아파트
1330,경상남도 창원시 마산회원구 합성동,358,0358,0000,롯데캐슬더퍼스트,84.9948,202403,12,"46,400",106,20,개인,개인,2018,합성북16길 197,-,중개거래,경남 창원시마산회원구,24.03.28,아파트
1331,경상남도 창원시 마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9274,202403,11,"18,700",102,18,개인,개인,2003,광려로 28,-,중개거래,경남 창원시마산회원구,24.06.25,아파트
1332,경상남도 창원시 마산회원구 양덕동,84-1,0084,0001,메트로시티,101.2630,202403,11,"55,400",107,14,개인,개인,2009,양덕서로 30,-,중개거래,경남 창원시마산회원구,24.04.18,아파트
1333,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,59.6825,202403,11,"38,000",101,33,개인,개인,2019,석전남8길 40,-,중개거래,경남 창원시마산회원구,24.03.11,아파트
1334,경상남도 창원시 마산회원구 내서읍 원계리,832-49,0832,0049,한일유엔아이,84.4857,202403,11,"18,000",102,3,개인,개인,2005,광려천남로 245,-,직거래,-,24.03.18,아파트
1335,경상남도 창원시 마산회원구 내서읍 상곡리,192,0192,0000,중리근로복지,41.8500,202403,11,"6,400",205,13,개인,개인,1993,상곡로 67,-,중개거래,경남 창원시 마산회원구,24.03.20,아파트
1336,경상남도 창원시 마산회원구 합성동,358,0358,0000,롯데캐슬더퍼스트,84.9948,202403,10,"45,800",106,24,개인,개인,2018,합성북16길 197,-,중개거래,"경남 창원시마산회원구, 경남 창원시진해구",24.05.03,아파트
1337,경상남도 창원시 마산회원구 양덕동,79-9,0079,0009,마산양덕4차한일타운,117.5604,202403,10,"38,500",407,9,개인,개인,2004,양덕서로 45,-,중개거래,경남 창원시마산회원구,24.04.03,아파트
1338,경상남도 창원시 마산회원구 구암동,1337,1337,0000,한우,45.6400,202403,10,"11,500",B,1,개인,개인,1985,구암북12길 70,-,중개거래,경남 창원시마산회원구,24.04.08,아파트
1339,경상남도 창원시 마산회원구 양덕동,84-1,0084,0001,메트로시티,134.6541,202403,09,"75,800",101,12,개인,개인,2009,양덕서로 30,-,중개거래,경남 창원시마산회원구,24.05.16,아파트
1340,경상남도 창원시 마산회원구 내서읍 삼계리,37,0037,0000,대동다:숲,84.9700,202403,09,"18,000",102,8,개인,개인,1999,삼계2길 31,-,중개거래,경남 창원시마산회원구,24.06.14,아파트
1341,경상남도 창원시 마산회원구 내서읍 중리,338-1,0338,0001,현대,74.2950,202403,09,"10,000",6,13,개인,개인,1992,호원로 186-1,-,중개거래,경남 창원시마산회원구,24.03.22,아파트
