NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
67,경상남도 창원시 성산구 사파정동,1127,1127,0000,성산반도유보라아이비파크,78.9547,202412,14,"50,500",-,4,개인,개인,2022,비음로 191,-,중개거래,"경남 창원시 성산구, 경남 창원시 의창구",-,아파트
68,경상남도 창원시 성산구 남양동,24,0024,0000,피오르빌,49.5100,202412,14,"15,000",-,12,개인,개인,1995,대정로 84,-,중개거래,경남 창원시 성산구,-,아파트
69,경상남도 창원시 성산구 대방동,367,0367,0000,대동황토방,84.1272,202412,14,"37,750",-,15,개인,개인,2001,창이대로881번길 19,-,중개거래,경남 창원시 성산구,-,아파트
70,경상남도 창원시 성산구 반림동,10,0010,0000,노블파크,59.9800,202412,14,"43,300",-,4,개인,개인,2007,원이대로 449,-,중개거래,경남 창원시 성산구,-,아파트
71,경상남도 창원시 성산구 반림동,10,0010,0000,노블파크,59.9800,202412,14,"44,500",-,12,개인,개인,2007,원이대로 449,-,중개거래,경남 창원시 성산구,-,아파트
72,경상남도 창원시 성산구 상남동,44-1,0044,0001,대동,59.8320,202412,13,"27,000",-,11,개인,개인,1994,동산로 115,-,중개거래,경남 창원시 성산구,-,아파트
73,경상남도 창원시 성산구 가음동,15,0015,0000,창원더샵센트럴파크3단지,71.8621,202412,13,"54,800",-,10,개인,개인,2017,원이대로863번길 7,-,중개거래,경남 창원시 성산구,-,아파트
74,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,84.9100,202412,13,"31,000",-,14,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
75,경상남도 창원시 성산구 남양동,23,0023,0000,위드파크아파트,53.8200,202412,13,"19,000",-,15,개인,개인,1998,가양로 99,-,중개거래,경남 창원시 성산구,-,아파트
76,경상남도 창원시 성산구 대방동,355,0355,0000,성원남산3차,47.9700,202412,13,"11,700",311,2,개인,개인,1992,대암로 126,-,중개거래,경남 창원시 성산구,24.12.16,아파트
77,경상남도 창원시 성산구 대방동,355,0355,0000,성원남산3차,47.9700,202412,13,"12,250",-,6,개인,개인,1992,대암로 126,-,중개거래,경남 창원시 성산구,-,아파트
78,경상남도 창원시 성산구 성주동,153,0153,0000,유니온빌리지,84.9457,202412,13,"40,000",101,13,개인,개인,2005,삼정자로 79,-,중개거래,경남 창원시 성산구,24.12.30,아파트
