NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
48,경상남도 창원시 의창구 중동,788,0788,0000,창원중동유니시티4단지,72.9280,202212,06,"62,000",-,26,-,-,2019,중동로 78,-,중개거래,경남 창원성산구 경남 창원의창구,-,아파트
49,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.8605,202212,06,"45,800",-,13,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원성산구,-,아파트
50,경상남도 창원시 의창구 중동,788,0788,0000,창원중동유니시티4단지,72.9280,202212,05,"59,800",-,7,-,-,2019,중동로 78,-,중개거래,경남 창원의창구,-,아파트
51,경상남도 창원시 의창구 팔용동,124-2,0124,0002,대동중앙,59.6600,202212,05,"18,189",-,8,-,-,1994,반계로 101,-,직거래,-,-,아파트
52,경상남도 창원시 의창구 동읍 송정리,23-8,0023,0008,동부산훼미리타운4차,78.8516,202212,03,"12,400",-,1,-,-,1999,자여로65번길 14,-,중개거래,경남 김해시,-,아파트
53,경상남도 창원시 의창구 북면 감계리,230-1,0230,0001,창원감계힐스테이트1차,84.9601,202212,03,"29,000",-,6,-,-,2014,동전로 86,-,중개거래,경남 창원의창구,-,아파트
54,경상남도 창원시 의창구 동읍 신방리,52,0052,0000,대한,59.8800,202212,03,"8,100",-,20,-,-,1997,신방로 17,-,중개거래,경남 창원의창구,-,아파트
55,경상남도 창원시 의창구 팔용동,124-2,0124,0002,대동중앙,59.9000,202212,03,"22,500",-,13,-,-,1993,반계로 101,-,중개거래,경남 창원의창구,-,아파트
56,경상남도 창원시 의창구 동정동,288,0288,0000,동정오성아파트,84.7200,202212,02,"22,000",-,8,-,-,1996,서상로 27,-,직거래,-,-,아파트
57,경상남도 창원시 의창구 북면 무동리,122-1,0122,0001,휴먼빌2단지,59.9910,202212,02,"17,900",-,14,-,-,2013,동곡로 35,-,중개거래,경남 창원의창구,-,아파트
58,경상남도 창원시 의창구 중동,785,0785,0000,창원중동유니시티2단지,84.3838,202212,01,"71,000",-,28,-,-,2019,중동로 33,-,직거래,-,-,아파트
59,경상남도 창원시 의창구 동읍 용정리,22-5,0022,0005,성원전원맨션,84.6200,202212,01,"6,700",-,1,-,-,1991,용정길46번길 40,-,중개거래,경남 창원의창구,-,아파트
60,경상남도 창원시 의창구 서상동,649,0649,0000,중동대동다숲,84.8736,202211,30,"34,900",-,4,-,-,2005,팔용로 512,-,중개거래,경남 창원의창구,-,아파트
61,경상남도 창원시 의창구 도계동,305-5,0305,0005,금강빌라,91.3800,202211,30,"10,000",-,4,-,-,1992,도계두리길6번길 11-14,-,중개거래,경남 창원진해구,-,아파트
