NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
119,경상남도 창원시 마산회원구 구암동,83-43,0083,0043,창성빌라,57.3300,38.8100,202401,25,"6,000",3,개인,개인,2005,구암남9길 22,-,직거래,-,24.01.26,다세대
120,경상남도 창원시 마산회원구 구암동,280-27,0280,0027,청암,36.4300,34.4526,202401,24,"3,700",1,개인,개인,1979,구암북7길 13,-,직거래,-,24.01.24,다세대
121,경상남도 창원시 마산회원구 회원동,27-2,0027,0002,일진,41.6500,36.6800,202401,17,"4,500",2,개인,개인,1981,3·15대로 545,-,중개거래,경남 창원마산회원구,24.01.23,연립
122,경상남도 창원시 마산회원구 석전동,226-1,0226,0001,(226-1),33.7200,28.0994,202401,17,"6,000",2,개인,개인,1980,석전동17길 23,-,직거래,-,24.02.06,연립
123,경상남도 창원시 마산회원구 회원동,666-11,0666,0011,국희,43.6900,41.2000,202401,15,"6,000",1,개인,개인,1982,회원북24길 43,-,직거래,-,24.01.18,연립
124,경상남도 창원시 마산회원구 석전동,221-11,0221,0011,(221-11),48.4600,40.3000,202401,15,"6,300",1,개인,개인,1981,석전동16길 33,-,중개거래,경남 창원시마산회원구,24.02.16,연립
125,경상남도 창원시 마산회원구 양덕동,73-3,0073,0003,(73-3),44.4300,43.6740,202401,10,"9,590",2,개인,개인,1981,양덕서6길 22,-,중개거래,경남 창원마산합포구,24.02.05,연립
126,경상남도 창원시 마산회원구 구암동,1339-3,1339,0003,경상B,45.6000,31.3000,202401,08,"4,000",3,개인,개인,1983,구암북12길 94,-,중개거래,경남 창원마산회원구,24.01.17,연립
127,경상남도 창원시 마산회원구 회성동,420-108,0420,0108,아동,67.0700,64.7500,202401,08,"5,900",2,법인,법인,1979,회성북9길 46,20240111,중개거래,경남 창원마산회원구,-,연립
128,경상남도 창원시 마산회원구 회성동,420-108,0420,0108,아동,67.0700,64.7500,202401,08,"5,900",2,법인,법인,1979,회성북9길 46,-,중개거래,경남 창원마산회원구,24.01.15,연립
129,경상남도 창원시 마산회원구 석전동,285-11,0285,0011,(285-11),42.9000,34.8667,202401,05,"4,000",1,개인,개인,1982,석전서8길 19,-,직거래,-,24.01.11,연립
130,경상남도 창원시 마산회원구 석전동,48-9,0048,0009,성우예은빌,65.1890,65.0500,202401,03,"16,200",3,개인,개인,2018,회원서1길 61,-,중개거래,경남 창원시마산회원구,24.02.20,다세대
