NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
89,경상남도 창원시 의창구 도계동,327-8,0327,0008,아주빌라,61.5400,50.3383,202402,17,"9,800",3,개인,개인,1997,하남천서길5번길 19,-,중개거래,경남 창원시 의창구,24.04.30,다세대
90,경상남도 창원시 의창구 도계동,327-8,0327,0008,아주빌라,61.5400,50.3383,202402,17,"9,800",3,개인,개인,1997,하남천서길5번길 19,20240430,중개거래,경남 창원시 의창구,-,다세대
91,경상남도 창원시 의창구 대산면 가술리,387-26,0387,0026,한솔푸르네오,57.8500,52.6981,202402,16,"8,000",3,개인,법인,2014,가술길1번길 19,-,중개거래,경남 창원시의창구,24.03.08,연립
92,경상남도 창원시 의창구 동읍 용잠리,437-29,0437,0029,성우하이빌,73.2600,64.5457,202402,07,"8,800",4,개인,개인,2015,동읍로19번길 2-8,-,중개거래,경남 창원시의창구,24.03.28,다세대
93,경상남도 창원시 의창구 북면 신촌리,1386-16,1386,0016,거풍힐링빌1단지,75.9150,86.8750,202402,02,"13,000",3,개인,개인,2013,천주로 1202-8,-,직거래,-,24.02.16,연립다세대
94,경상남도 창원시 의창구 동읍 용잠리,208-1,0208,0001,프림빌,63.9420,58.8750,202402,02,"7,823",3,법인,법인,2013,의창대로915번길 17-18,-,직거래,-,24.02.22,다세대
95,경상남도 창원시 의창구 동읍 용잠리,208-1,0208,0001,프림빌,63.9420,58.8750,202402,02,"7,423",1,법인,법인,2013,의창대로915번길 17-18,-,직거래,-,24.02.22,다세대
96,경상남도 창원시 의창구 동읍 용잠리,208-1,0208,0001,프림빌,63.9420,58.8750,202402,02,"7,823",4,법인,법인,2013,의창대로915번길 17-18,-,직거래,-,24.02.22,다세대
97,경상남도 창원시 의창구 동읍 단계리,292,0292,0000,동아바론하우스2,75.9771,87.9996,202402,02,"11,300",3,개인,개인,2011,자여로 127,-,중개거래,경남 창원시의창구,24.03.06,연립
98,경상남도 창원시 의창구 중동,447-1,0447,0001,남산빌라,69.0500,41.9348,202401,27,"10,700",5,개인,개인,1998,의안로 23,-,직거래,-,24.04.26,연립
99,경상남도 창원시 의창구 도계동,303-2,0303,0002,세종빌라,81.3300,56.0525,202401,26,"17,800",2,개인,법인,2002,도계두리길6번길 5-15,-,중개거래,경남 창원시의창구,24.02.26,다세대
100,경상남도 창원시 의창구 대산면 제동리,270-3,0270,0003,하림빌라,66.7200,69.1100,202401,25,"4,300",3,개인,개인,1990,진산대로355번길 16-13,-,직거래,-,24.01.25,연립
101,경상남도 창원시 의창구 북면 신촌리,1386-10,1386,0010,거풍힐링빌,75.9150,87.0000,202401,23,"9,000",2,개인,개인,2014,천주로 1202-7,-,중개거래,경남 창원시의창구,24.02.08,다세대
102,경상남도 창원시 의창구 서상동,319,0319,0000,백합맨션,59.8500,53.0000,202401,23,"7,800",1,개인,개인,1984,천주로12번길 14-1,-,중개거래,경남 창원의창구,24.02.05,연립
103,경상남도 창원시 의창구 대산면 제동리,334-7,0334,0007,제동별장빌라나동,66.3000,66.5024,202401,19,"2,700",2,개인,개인,1992,제동길 47,-,중개거래,경남 창원의창구,24.01.23,연립
104,경상남도 창원시 의창구 소답동,105-11,0105,0011,경흥빌라,78.3000,44.4050,202401,06,"10,000",3,개인,개인,2002,의안로44번길 9,-,중개거래,경남 창원시의창구,24.02.20,다세대
