시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 완월동,247-1,0247,0001,(247-1),31.24,32.7,201509,1,"         3,750",2,1979,완월동9길 15-1
경상남도 창원마산합포구 완월동,180-2,0180,0002,성지2차빌라,22.17,13.08,201603,8,"         4,900",4,2002,완월북10길 14
경상남도 창원마산합포구 완월동,284-7,0284,0007,태화가든타운,177.51,103,201605,12,"        22,000",-1,1991,장군천로 8
경상남도 창원마산합포구 월영동,234-6,0234,0006,골든 스위트,84.1041,93.44,201509,1,"        25,000",3,2013,문화서20길 35
경상남도 창원마산합포구 월영동,234-4,0234,0004,골든스위트(234-4),70.57,67.19,201508,10,"        18,600",1,2014,문화서20길 20-5
경상남도 창원마산합포구 월영동,234-37,0234,0037,골든스위트103동,70.8399,70.63,201508,21,"        23,300",1,2015,문화서20길 27
경상남도 창원마산합포구 월영동,234-37,0234,0037,골든스위트103동,70.8399,46.79,201509,10,"        24,300",1,2015,문화서20길 27
경상남도 창원마산합포구 월영동,258,0258,0000,더힐스,84.5204,63.62,201507,20,"        25,000",3,2014,만날고개1길 15
경상남도 창원마산합포구 월영동,258,0258,0000,더힐스,84.5204,63.62,201509,13,"        28,500",3,2014,만날고개1길 15
경상남도 창원마산합포구 월영동,258,0258,0000,더힐스,84.8535,63.88,201510,29,"        27,000",4,2014,만날고개1길 15
경상남도 창원마산합포구 월영동,257-2,0257,0002,만날재힐,59.4726,57.12,201512,24,"        15,000",1,2011,만날고개1길 25
경상남도 창원마산합포구 월영동,534-1,0534,0001,성진주택,59.4,55.92,201604,15,"        12,900",1,1985,월영남1길 23
경상남도 창원마산합포구 월영동,534-1,0534,0001,성진주택,59.4,55.92,201604,15,"        11,500",3,1985,월영남1길 23
경상남도 창원마산합포구 자산동,151-1,0151,0001,동산주택,42.61,38,201601,1,"         5,000",2,1980,자산북3길 31
경상남도 창원마산합포구 자산동,203-34,0203,0034,무학,49.3,43.38,201603,23,"         8,500",1,1987,자산서3길 2-3
경상남도 창원마산합포구 자산동,25-6,0025,0006,무학빌라(1동),65.8,42.06,201604,20,"        17,520",3,2016,자산서11길 108
경상남도 창원마산합포구 자산동,25-6,0025,0006,무학빌라(1동),63.97,40.89,201605,2,"        16,298",4,2016,자산서11길 108
경상남도 창원마산합포구 자산동,25-6,0025,0006,무학빌라(1동),59.8,38.23,201605,3,"        16,060",5,2016,자산서11길 108
경상남도 창원마산합포구 자산동,25-6,0025,0006,무학빌라(1동),65.8,42.06,201605,13,"        16,680",2,2016,자산서11길 108
경상남도 창원마산합포구 자산동,25-6,0025,0006,무학빌라(1동),63.97,40.89,201605,25,"        15,985",3,2016,자산서11길 108
경상남도 창원마산합포구 자산동,25-6,0025,0006,무학빌라(1동),65.8,42.06,201605,25,"        16,680",4,2016,자산서11길 108
경상남도 창원마산합포구 자산동,25-6,0025,0006,무학빌라(1동),65.26,41.72,201606,27,"        14,400",5,2016,자산서11길 108
경상남도 창원마산합포구 자산동,25-21,0025,0021,무학빌라(2동),70.82,61.76,201604,28,"        18,250",2,2016,자산서10길 69-25
