시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 도계동,314-21,0314,0021,청송국화빌라,61.74,38.46,201704,4,"        14,000",2,1996,하남천서길21번길 22
경상남도 창원의창구 도계동,414-12,0414,0012,태백산빌라3차,59.08,34.96,201701,21,"        13,000",3,1997,도계로83번길 10-1
경상남도 창원의창구 도계동,414-12,0414,0012,태백산빌라3차,59.08,34.96,201703,30,"        13,950",3,1997,도계로83번길 10-1
경상남도 창원의창구 도계동,414-12,0414,0012,태백산빌라3차,59.08,34.96,201704,13,"        13,300",3,1997,도계로83번길 10-1
경상남도 창원의창구 도계동,331-1,0331,0001,한일데파트,62.14,25.46,201609,10,"         9,300",5,1991,도계로 12
경상남도 창원의창구 도계동,331-1,0331,0001,한일데파트,62.14,25.46,201611,17,"         9,950",3,1991,도계로 12
경상남도 창원의창구 도계동,331-1,0331,0001,한일데파트,77.32,31.61,201612,29,"        13,500",4,1991,도계로 12
경상남도 창원의창구 도계동,412-8,0412,0008,형제그린빌라,79.075,29.11,201611,5,"        14,950",5,1994,도계로 85
경상남도 창원의창구 도계동,424-2,0424,0002,형제빌라,62.73,36.86,201703,15,"        15,900",4,1992,태복산로7번길 23
경상남도 창원의창구 도계동,344-2,0344,0002,형제시티빌라(344-2),59.73,33.33,201702,24,"        15,000",4,1998,도계로50번길 15-8
경상남도 창원의창구 도계동,344-8,0344,0008,형제시티빌라(344-8),64.32,35.9,201607,29,"        14,700",3,1998,원이대로55번길 21-7
경상남도 창원의창구 도계동,327-1,0327,0001,환웅수빌리지,67.34,44.12,201607,22,"        19,100",3,2015,도계로 35-8
경상남도 창원의창구 도계동,327-1,0327,0001,환웅수빌리지,67.34,44.12,201607,29,"        19,065",1,2015,도계로 35-8
경상남도 창원의창구 도계동,327-1,0327,0001,환웅수빌리지,73.79,46.98,201702,23,"        18,900",2,2015,도계로 35-8
경상남도 창원의창구 도계동,409-1,0409,0001,황제빌라5차,76.06,25.87,201705,18,"        15,000",4,1996,태복산로27번길 41
경상남도 창원의창구 도계동,407-8,0407,0008,황제빌라6차,84.15,32.43,201612,4,"        17,000",4,1997,원이대로81번길 14
경상남도 창원의창구 도계동,363-2,0363,0002,황제빌라B,79.79,33.9,201611,14,"        13,800",6,1992,하남천동길 64
경상남도 창원의창구 동읍 단계리,247-3,0247,0003,경준해피존,78.1254,56.95,201610,27,"        14,000",2,2012,자여로 121-12
경상남도 창원의창구 동읍 단계리,292-5,0292,0005,동아바론하우스1,47.7664,53,201609,20,"        11,050",3,2011,자여로 133-3
경상남도 창원의창구 동읍 단계리,292-5,0292,0005,동아바론하우스1,47.7664,53,201706,29,"         9,000",3,2011,자여로 133-3
경상남도 창원의창구 동읍 단계리,278-2,0278,0002,자미르필하우스,84.967,82.07,201701,17,"        18,900",5,2013,자여로115번길 6
경상남도 창원의창구 동읍 송정리,23-27,0023,0027,송정빌라,75.3535,47.45,201705,31,"        17,980",4,2016,자여로93번길 24
경상남도 창원의창구 동읍 송정리,23-27,0023,0027,송정빌라,92.0001,57.93,201705,31,"        22,320",2,2016,자여로93번길 24
경상남도 창원의창구 동읍 송정리,23-27,0023,0027,송정빌라,84.7339,53.35,201705,31,"        22,100",3,2016,자여로93번길 24
경상남도 창원의창구 동읍 송정리,23-27,0023,0027,송정빌라,88.4529,55.7,201705,31,"        22,100",3,2016,자여로93번길 24
경상남도 창원의창구 동읍 용잠리,250-5,0250,0005,삼우종합상가,61.35,22.08,201706,5,"         5,150",6,1992,의창대로915번길 13
경상남도 창원의창구 동읍 용잠리,234-16,0234,0016,춘광파크맨션,51.18,33.05,201607,18,"         4,600",4,1991,용잠로41번길 17-9
경상남도 창원의창구 동읍 용정리,21-4,0021,0004,대원하이빌1차,82.69,75.89,201705,27,"        15,900",2,2012,용정길46번길 16
경상남도 창원의창구 동읍 용정리,20-5,0020,0005,라인빌라트,84.995,48.65,201610,10,"         9,200",4,1998,용정길46번길 39
경상남도 창원의창구 동읍 용정리,159-2,0159,0002,자미르하우스,60.63,88.03,201607,20,"        13,900",3,2012,자여로115번길 5
경상남도 창원의창구 동읍 용정리,159-2,0159,0002,자미르하우스,60.63,88.03,201608,18,"        13,800",3,2012,자여로115번길 5
경상남도 창원의창구 동읍 용정리,159-2,0159,0002,자미르하우스,60.63,88.04,201703,3,"        13,000",5,2012,자여로115번길 5
경상남도 창원의창구 동읍 용정리,23-5,0023,0005,자여 새보금,84.595,69.42,201703,29,"        14,500",2,2013,용정길32번길 21
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201612,3,"        13,300",2,2012,용정길46번길 11
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201612,9,"        14,000",3,2012,용정길46번길 11
경상남도 창원의창구 동읍 용정리,19-2,0019,0002,자여서원래온빌,71.345,54,201703,7,"        13,000",2,2012,용정길46번길 11
경상남도 창원의창구 동읍 용정리,24-7,0024,0007,혜성아트빌라C동,75.94,56,201610,29,"        10,500",3,2002,자여로93번길 10-8
경상남도 창원의창구 동정동,334-2,0334,0002,더푸름빌리지,68.3834,64.46,201610,10,"        20,000",3,2016,동정길 53-17
경상남도 창원의창구 동정동,334-2,0334,0002,더푸름빌리지,68.3834,64.46,201610,14,"        19,700",4,2016,동정길 53-17
경상남도 창원의창구 동정동,334-2,0334,0002,더푸름빌리지,68.3834,64.46,201611,22,"        20,200",2,2016,동정길 53-17
경상남도 창원의창구 동정동,334-2,0334,0002,더푸름빌리지,68.3834,64.46,201612,7,"        19,600",5,2016,동정길 53-17
경상남도 창원의창구 동정동,334-2,0334,0002,더푸름빌리지,69.8539,66.13,201705,17,"        20,400",3,2016,동정길 53-17
경상남도 창원의창구 동정동,275-5,0275,0005,덕산세영파크2차,46.88,38.07,201610,27,"        15,500",1,2014,서상로 39-8
경상남도 창원의창구 북동,2-3,0002,0003,성원큐브타운D동,74.05,74.05,201607,14,"        19,000",1,2015,천주로36번길 44
경상남도 창원의창구 북동,56,0056,0000,썬빌Ⅱ,81.17,59.92,201610,20,"        20,700",2,2012,의안로43번길 11
경상남도 창원의창구 북동,49-15,0049,0015,"이조빌라8,9차",75.78,50.56,201703,14,"        17,500",1,2005,의안로43번길 4-7
경상남도 창원의창구 북면 신촌리,882-4,0882,0004,SK빌,65.367,69.75,201607,16,"        18,000",4,2016,신리길30번길 10
경상남도 창원의창구 북면 신촌리,882-4,0882,0004,SK빌,65.367,69.75,201607,25,"        20,000",3,2016,신리길30번길 10
경상남도 창원의창구 북면 신촌리,882-4,0882,0004,SK빌,65.367,69.75,201608,17,"        17,700",2,2016,신리길30번길 10
경상남도 창원의창구 북면 신촌리,1533-14,1533,0014,거풍센터빌2단지,82.224,90.14,201702,17,"        18,000",2,2014,신촌본포로 5-14
경상남도 창원의창구 북면 신촌리,1386-67,1386,0067,거풍힐링빌2단지,75.915,90.87,201607,1,"        16,250",1,2013,천주로 1202-12
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,77.72,62.35,201609,27,"        18,200",3,2015,신리길 25
