시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        14,897",5,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        14,897",5,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        14,897",5,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        14,897",5,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        14,897",5,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",4,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",4,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",4,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",4,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",4,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",4,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",4,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",4,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        14,897",5,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",2,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",2,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",2,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",2,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",2,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",2,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",2,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",3,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",3,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",3,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",3,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,57.885,56.87,201708,30,"        14,897",5,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",2,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",3,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",3,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",3,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,144,0144,0000,로뎀타운,59.785,58.75,201708,30,"        11,576",3,2017,상곡로 85
경상남도 창원마산회원구 내서읍 상곡리,207,0207,0000,상안빌라,62.63,36.77,201803,21,"         6,800",3,1997,상곡로 68
경상남도 창원마산회원구 내서읍 상곡리,145,0145,0000,수신파크빌,62.88,43.72,201803,28,"        14,300",1,2012,상곡로 91
경상남도 창원마산회원구 내서읍 상곡리,145,0145,0000,수신파크빌,54.945,38.21,201804,10,"        16,500",4,2012,상곡로 91
경상남도 창원마산회원구 내서읍 신감리,1381-1,1381,0001,정도빌,57.2435,77.86,201711,7,"        18,500",3,2015,광려로 88-24
경상남도 창원마산회원구 내서읍 신감리,1381-1,1381,0001,정도빌,57.2435,77.86,201711,25,"        18,500",2,2015,광려로 88-24
경상남도 창원마산회원구 내서읍 신감리,1381-1,1381,0001,정도빌,57.2435,77.86,201712,12,"        18,500",1,2015,광려로 88-24
경상남도 창원마산회원구 내서읍 신감리,1381-1,1381,0001,정도빌,57.2435,77.86,201803,2,"        18,500",1,2015,광려로 88-24
경상남도 창원마산회원구 내서읍 신감리,1381-1,1381,0001,정도빌,57.2435,77.86,201803,23,"        18,700",2,2015,광려로 88-24
경상남도 창원마산회원구 내서읍 원계리,643-1,0643,0001,유강빌리지104동,56.28,71.93,201802,14,"        13,000",4,2013,원계증산길 70-19
경상남도 창원마산회원구 내서읍 원계리,643-1,0643,0001,유강빌리지104동,55.016,70.32,201802,14,"        13,000",4,2013,원계증산길 70-19
경상남도 창원마산회원구 내서읍 중리,343,0343,0000,무진하이츠,78.88,61.79,201707,2,"        10,300",3,1998,호원로 221-32
경상남도 창원마산회원구 내서읍 중리,1451-48,1451,0048,의창국민주택,54.99,52.68,201804,18,"         6,650",1,1985,광려천서로 149
경상남도 창원마산회원구 봉암동,462-12,0462,0012,(462-12),46.15,39.45,201710,14,"         6,050",2,1980,봉암북2길 18
경상남도 창원마산회원구 봉암동,194,0194,0000,82주택,52.15,56.96,201802,22,"         5,500",1,1982,무역로 271
경상남도 창원마산회원구 봉암동,452-9,0452,0009,봉암동무궁화,53.29,53.77,201806,13,"         6,350",2,1980,봉암북7길 50
경상남도 창원마산회원구 봉암동,456-5,0456,0005,봉암동팔용,50.38,44.32,201708,31,"         7,200",1,1981,봉암북3길 8
경상남도 창원마산회원구 석전동,221-11,0221,0011,(221-11),47.4,40,201708,19,"         7,300",1,1981,석전동16길 33
경상남도 창원마산회원구 석전동,221-11,0221,0011,(221-11),44.2,37.3,201711,15,"         5,500",2,1981,석전동16길 33
경상남도 창원마산회원구 석전동,221-11,0221,0011,(221-11),47.5,40.1,201801,9,"         3,100",2,1981,석전동16길 33
경상남도 창원마산회원구 석전동,226-1,0226,0001,(226-1),31.34,28.1,201710,30,"         4,500",2,1980,석전동17길 23
경상남도 창원마산회원구 석전동,231-20,0231,0020,(231-20),38.25,28.25,201803,15,"         5,500",2,1982,석전동13길 42
경상남도 창원마산회원구 석전동,270-22,0270,0022,(270-22),42.9,53.5,201712,4,"         5,400",1,1982,회성동7길 8-1
경상남도 창원마산회원구 석전동,45-5,0045,0005,건우만복빌라다동,53.82,42.03,201709,19,"         6,900",3,1993,회원서1길 79-1
