시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원진해구 대죽동,15-161,0015,0161,성호,44.37,49.58,201501,16,"         3,500",2,1991,속천로84번길 3
경상남도 창원진해구 대죽동,15-161,0015,0161,성호,69.18,77.29,201503,10,"         4,900",2,1991,속천로84번길 3
경상남도 창원진해구 대죽동,32-99,0032,0099,유림골든빌,62.8205,43.38,201501,5,"        17,000",3,2014,태평로48번길 24
경상남도 창원진해구 대죽동,32-99,0032,0099,유림골든빌,62.8205,43.38,201503,6,"        17,000",2,2014,태평로48번길 24
경상남도 창원진해구 대죽동,32-99,0032,0099,유림골든빌,62.8205,43.38,201504,19,"        16,500",4,2014,태평로48번길 24
경상남도 창원진해구 덕산동,10-26,0010,0026,뉴덕산빌라,59.79,38,201505,11,"         8,200",1,1991,충장로481번길 22
경상남도 창원진해구 덕산동,14-39,0014,0039,덕산그린빌라,65.8,31.13,201502,12,"        10,200",2,1992,충장로481번길 14
경상남도 창원진해구 덕산동,57-37,0057,0037,은하덕산원룸,32.08,13.59,201504,13,"         3,000",5,2001,동진로 136-22
경상남도 창원진해구 두동,1091,1091,0000,(1091),48.45,51.82,201501,19,"         5,000",4,2006,남의로 152
경상남도 창원진해구 마천동,145-7,0145,0007,동인빌라,67.84,49.94,201502,12,"         8,000",2,1992,마천로 49
경상남도 창원진해구 마천동,145-7,0145,0007,동인빌라,67.12,49.02,201505,24,"         6,000",4,1992,마천로 49
경상남도 창원진해구 마천동,145-49,0145,0049,드림시티빌1,68.4054,63.13,201504,2,"        14,000",3,2012,마천로 47-1
경상남도 창원진해구 마천동,145-48,0145,0048,드림시티빌2,55.9827,42.07,201506,1,"         9,200",3,2012,마천로 47
경상남도 창원진해구 마천동,153-7,0153,0007,자연애빌,84.82,65.69,201504,20,"        19,000",2,2013,마천로36번길 2
경상남도 창원진해구 마천동,83,0083,0000,초석빌라,66.87,51.71,201503,10,"        12,000",4,2012,마천로10번길 7
경상남도 창원진해구 서중동,144-1,0144,0001,동인빌라(144-1),59.67,43.81,201503,24,"         7,000",2,1991,웅천로166번길 14-9
경상남도 창원진해구 석동,118-18,0118,0018,대성주택A동,46.76,42,201502,28,"         8,200",1,1983,냉천로 37
경상남도 창원진해구 석동,118-18,0118,0018,대성주택A동,46.76,42,201503,10,"         8,800",3,1983,냉천로 37
경상남도 창원진해구 석동,118-19,0118,0019,대성주택D동,46.76,40.3,201506,5,"         9,300",3,1983,냉천로 39
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,88.9,201501,20,"        21,250",1,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,88.9,201501,21,"        17,700",1,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201501,24,"        20,200",4,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201502,6,"        21,000",3,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201503,16,"        20,600",4,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201503,18,"        22,250",2,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201503,31,"        22,500",2,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201504,10,"        19,500",4,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.71,76.84,201504,15,"        19,300",2,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.71,76.84,201504,22,"        17,850",1,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201506,3,"        21,500",3,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201506,4,"        22,000",3,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,88.9,201506,9,"        20,500",1,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.71,76.83,201506,17,"        18,200",4,2003,냉천로107번길 14
경상남도 창원진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.83,95.77,201506,20,"        22,900",2,2003,냉천로107번길 14
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.96,118.53,201501,2,"        26,500",1,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.96,112.41,201501,8,"        25,300",4,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.96,112.41,201502,14,"        26,300",2,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.96,112.41,201502,28,"        25,900",3,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,83.47,201503,11,"        21,800",1,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201503,23,"        22,500",2,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.96,112.41,201503,24,"        27,000",2,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,83.47,201504,15,"        21,800",1,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.96,112.41,201504,19,"        28,200",3,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.96,127.18,201504,20,"        29,500",4,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.96,112.41,201504,21,"        23,100",4,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.96,127.18,201505,4,"        28,700",2,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,83.47,201505,17,"        21,000",1,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.83,90.15,201505,19,"        20,500",2,2003,석동로 80
경상남도 창원진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.96,118.53,201505,21,"        27,600",1,2003,석동로 80
경상남도 창원진해구 석동,282-5,0282,0005,안성그랜드빌라,70.24,21.24,201505,28,"        13,300",2,1994,돌리로10번길 7
경상남도 창원진해구 석동,298-2,0298,0002,유일수정빌라,70.95,39.81,201501,10,"        12,700",2,1994,돌리로10번길 25
경상남도 창원진해구 석동,298-2,0298,0002,유일수정빌라,70.95,39.81,201506,25,"        12,700",3,1994,돌리로10번길 25
경상남도 창원진해구 석동,268-12,0268,0012,제일원룸가동,30.68,14.72,201501,14,"         2,900",2,2001,진해대로802번길 31
경상남도 창원진해구 석동,268-12,0268,0012,제일원룸가동,31.2,14.97,201506,15,"         3,700",3,2001,진해대로802번길 31
경상남도 창원진해구 소사동,9-39,0009,0039,세정아델하우스,65.199,48.6,201506,15,"        10,000",2,2012,소사로 37
경상남도 창원진해구 속천동,4-2,0004,0002,유진파크뷰,74.13,58.58,201501,5,"        15,100",3,2012,속천로 57
경상남도 창원진해구 송학동,50-10,0050,0010,중앙상가,80.39,4.96,201504,16,"        13,000",2,1980,벚꽃로60번길 9-2
경상남도 창원진해구 여좌동,35-1,0035,0001,경동빌라A,60.23,28.85,201506,19,"        11,860",4,1991,여좌로123번길 10-10
경상남도 창원진해구 여좌동,93-1,0093,0001,녹원빌라,42.17,22.17,201502,24,"         6,300",2,1993,여좌천로 78
경상남도 창원진해구 여좌동,93-1,0093,0001,녹원빌라,42.17,22.17,201503,28,"         5,600",1,1993,여좌천로 78
경상남도 창원진해구 여좌동,2-23,0002,0023,목화(2-23),65.9,58.82,201504,24,"         7,500",3,1986,여좌로99번나길 28
경상남도 창원진해구 여좌동,8-4,0008,0004,목화가동,45.24,30.4,201503,3,"         5,000",2,1987,여좌천로116번길 14-1
경상남도 창원진해구 여좌동,8-4,0008,0004,목화가동,45.96,30.9,201504,29,"         5,000",2,1987,여좌천로116번길 14-1
경상남도 창원진해구 여좌동,761-119,0761,0119,백옥빌라,69.31,38.58,201505,26,"         9,950",1,1992,여좌로15번길 11-1
경상남도 창원진해구 여좌동,122-24,0122,0024,삼원맨션,55.4,36.93,201503,2,"         7,200",2,1983,여좌남로55번길 14
경상남도 창원진해구 여좌동,8-20,0008,0020,승진빌라,74.1,40,201501,31,"         8,700",2,1989,여좌로99번다길 20
경상남도 창원진해구 여좌동,93-28,0093,0028,여좌연립,71.07,78.7,201503,20,"         4,000",2,1978,여좌천로 72-1
경상남도 창원진해구 여좌동,93-28,0093,0028,여좌연립,71.07,77.7,201504,14,"         3,000",2,1978,여좌천로 72-1
경상남도 창원진해구 여좌동,97-23,0097,0023,이송빌라,82.7,36.23,201502,12,"        14,500",3,1996,여명로 89
경상남도 창원진해구 여좌동,104-1,0104,0001,청송빌라,97.68,78.8,201504,3,"        11,800",4,1983,여명로 78
경상남도 창원진해구 여좌동,107-30,0107,0030,한일빌라(107-30),84.84,43.2,201504,30,"        10,000",2,1990,여명로 51-1
경상남도 창원진해구 여좌동,128-1,0128,0001,한일빌라(128-1),71.52,37.05,201504,4,"        14,250",3,2003,여좌로47번길 13
경상남도 창원진해구 여좌동,37-24,0037,0024,해성APT,70.55,45.5,201506,5,"         6,000",4,1979,여좌로118번길 20
경상남도 창원진해구 용원동,1134-10,1134,0010,덕일빌라,64.75,26.52,201502,3,"         7,000",3,1997,용원남로7번길 21
경상남도 창원진해구 용원동,1134-10,1134,0010,덕일빌라,64.75,26.52,201506,20,"         7,300",3,1997,용원남로7번길 21
경상남도 창원진해구 용원동,1125-8,1125,0008,해동아트빌라,76.1,40.07,201503,20,"         9,200",2,2005,용원동로 280-1
경상남도 창원진해구 이동,21-1,0021,0001,남일빌라,87.66,44.75,201502,8,"        14,300",2,2000,해원로2번길 40-1
경상남도 창원진해구 이동,62-185,0062,0185,대우빌라트,51.585,20.77,201505,18,"         7,300",3,2000,이동로54번길 16
경상남도 창원진해구 이동,346,0346,0000,대진빌라,74.64,41.63,201504,21,"        11,600",5,2000,충장로407번길 9-7
경상남도 창원진해구 이동,331-4,0331,0004,삼희,36.17,34,201502,4,"         3,000",2,1979,해원로 24
경상남도 창원진해구 이동,331-4,0331,0004,삼희,36.17,34,201503,5,"         4,200",2,1979,해원로 24
경상남도 창원진해구 이동,288-1,0288,0001,성모빌라트,62.7,29.04,201504,8,"         8,000",2,2004,해원로2번길 29-1
경상남도 창원진해구 이동,288-1,0288,0001,성모빌라트,62.55,28.97,201504,24,"        12,400",2,2004,해원로2번길 29-1
경상남도 창원진해구 이동,542-45,0542,0045,안성그린파크,59.58,42.95,201503,30,"        10,000",3,1995,충장로364번가길 4-13
경상남도 창원진해구 이동,542-45,0542,0045,안성그린파크,59.58,42.95,201504,24,"        10,000",1,1995,충장로364번가길 4-13
경상남도 창원진해구 이동,255-22,0255,0022,용성,63.34,52,201504,13,"         9,700",2,1984,충장로415번길 3
경상남도 창원진해구 이동,508-6,0508,0006,일성빌라나동,68.73,44.56,201501,6,"        12,900",2,1992,병암로30번길 5-5
경상남도 창원진해구 이동,85-5,0085,0005,제일빌라(85-5),57.852,21.89,201506,27,"         5,000",5,2001,냉천로30번길 16
경상남도 창원진해구 이동,507-10,0507,0010,청산빌라,84.63,49.83,201505,8,"        16,100",2,1998,진해대로728번길 8-38
경상남도 창원진해구 이동,507-11,0507,0011,태성빌라(507-11),55.31,26.07,201503,20,"         7,900",5,2000,병암로38번길 5
경상남도 창원진해구 이동,523-7,0523,0007,태성빌라(523-7),104.16,35.16,201506,29,"        13,000",3,1999,병암로 11-1
경상남도 창원진해구 이동,332-1,0332,0001,혜성빌라,56.395,48.13,201502,16,"         9,000",2,1990,해원로14번길 11-3
경상남도 창원진해구 이동,332-1,0332,0001,혜성빌라,56.395,48.13,201504,27,"         8,800",1,1990,해원로14번길 11-3
경상남도 창원진해구 이동,332-1,0332,0001,혜성빌라,55.07,47,201505,26,"         8,650",3,1990,해원로14번길 11-3
경상남도 창원진해구 인사동,7-24,0007,0024,목동원룸,35.95,15.89,201501,7,"         2,800",3,2001,인사로6번길 4
경상남도 창원진해구 자은동,310-1,0310,0001,경동빌라1차,57.42,26.3,201504,2,"         7,000",4,1994,자은로 104-3
경상남도 창원진해구 자은동,302-15,0302,0015,경동빌라3차,59.4,36.55,201501,17,"         8,400",1,1996,자은로88번안길 14
