□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 교원동,*,단독,8m미만,63.74,126,201604,8,"        14,500",1976,회원천남길
경상남도 창원마산합포구 교원동,*,단독,8m미만,122.22,127,201509,1,"        19,000",1995,노산서25길
경상남도 창원마산합포구 교원동,8*,단독,8m미만,128.96,133,201507,2,"         9,000",1979,노산남11길
경상남도 창원마산합포구 교원동,2*,단독,8m미만,191.65,219,201606,28,"        23,000",1998,노산서20길
경상남도 창원마산합포구 교원동,*,단독,8m미만,290.38,228,201511,2,"        39,500",1998,회원천남길
경상남도 창원마산합포구 구산면 구복리,1**,단독,8m미만,29.8,197,201511,12,"         3,700",1990,장구길
경상남도 창원마산합포구 구산면 구복리,1**,단독,8m미만,82.63,218,201512,1,"         4,500",1950,장구길
경상남도 창원마산합포구 구산면 구복리,2**,단독,8m미만,115.11,410,201510,23,"        20,000",1983,해양관광로
경상남도 창원마산합포구 구산면 난포리,3**,단독,12m미만,59.96,65,201606,27,"         7,000",1994,난포해안길
경상남도 창원마산합포구 구산면 난포리,2**,단독,8m미만,89.24,169,201601,24,"         4,120",1989,난포2길
경상남도 창원마산합포구 구산면 난포리,2**,단독,8m미만,56.19,209,201507,10,"         4,500",1951,난포2길
경상남도 창원마산합포구 구산면 난포리,3**,단독,8m미만,36.5,274,201509,4,"         5,600",1951,난포1길
경상남도 창원마산합포구 구산면 내포리,1***,단독,8m미만,29.04,71.69,201510,6,"         3,485",2012,욱곡2길
경상남도 창원마산합포구 구산면 내포리,1***,단독,8m미만,63.6,73.41,201512,17,"         5,000",2001,해양관광로
경상남도 창원마산합포구 구산면 내포리,1***,단독,8m미만,74.86,132,201511,16,"         3,000",1983,욱곡1길
경상남도 창원마산합포구 구산면 내포리,1***,단독,8m미만,57.91,150,201602,22,"         3,000",1993,욱곡1길
경상남도 창원마산합포구 구산면 내포리,1***,단독,8m미만,80.11,237,201604,1,"        12,795",2013,해양관광로
경상남도 창원마산합포구 구산면 내포리,8**,단독,12m미만,229.92,605,201508,25,"        33,500",1981,해양관광로
경상남도 창원마산합포구 구산면 내포리,1***,단독,-,387.77,660,201605,30,"        76,200",1993,해양관광로
경상남도 창원마산합포구 구산면 마전리,1**,단독,8m미만,62.8,317,201606,7,"        11,300",1951,마전길
경상남도 창원마산합포구 구산면 마전리,*,단독,8m미만,59.4,611,201508,28,"        13,000",2011,마전1길
경상남도 창원마산합포구 구산면 반동리,3**,단독,8m미만,85.6,178,201604,16,"         7,600",1972,양평길
경상남도 창원마산합포구 구산면 수정리,6**,단독,8m미만,59.5,153,201602,5,"         7,900",1980,수정1길
경상남도 창원마산합포구 구산면 수정리,6**,단독,8m미만,56.2,307,201606,1,"        10,400",1950,구산로
경상남도 창원마산합포구 구산면 수정리,6**,단독,8m미만,85.4,330,201509,11,"        12,140",1993,구산로
경상남도 창원마산합포구 구산면 수정리,6**,단독,8m미만,72.72,374,201606,15,"        12,000",1955,구산로
경상남도 창원마산합포구 구산면 수정리,6**,단독,8m미만,148,377,201509,14,"        22,800",1997,수정1길
경상남도 창원마산합포구 구산면 수정리,2**,단독,8m미만,231.16,449,201605,2,"        30,000",2009,안녕로
경상남도 창원마산합포구 구산면 심리,3*,단독,12m미만,105.14,195,201508,17,"         5,000",1989,이순신로
경상남도 창원마산합포구 구산면 심리,5**,단독,8m미만,62.8,291,201507,27,"         5,800",1988,심리3길
경상남도 창원마산합포구 남성동,1**,단독,25m이상,148.43,293.5,201510,16,"       169,000",1976,합포로
