□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20190701 ~ 20200630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,188.8,202002,7,"        46,060",2007,대원로90번길
경상남도 창원의창구 대원동,2*,단독,8m미만,72.23,188.9,201911,22,"        40,530",1978,대원로56번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.12,189.1,202001,13,"        49,500",1980,대원로57번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,189.1,202003,2,"        52,160",1978,대원로90번길
경상남도 창원의창구 대원동,2*,단독,12m미만,72.23,189.3,201912,19,"        51,000",1978,대원로52번가길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,189.9,201911,26,"        45,000",1978,대원로82번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,190.2,201910,31,"        43,500",1978,대원로90번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,190.6,202003,10,"        45,619",2007,대원로56번길
경상남도 창원의창구 대원동,2*,단독,12m미만,72.23,190.6,202003,27,"        48,434",2007,대원로56번길
경상남도 창원의창구 대원동,2*,단독,12m미만,72.23,190.7,202005,23,"        49,696",1978,대원로52번길
경상남도 창원의창구 대원동,2*,단독,8m미만,72.23,190.8,202001,6,"        43,500",1978,대원로52번가길
경상남도 창원의창구 대원동,3*,단독,25m미만,98,191.5,202001,23,"        68,381",1983,대원로
경상남도 창원의창구 대원동,3*,단독,8m미만,72.12,191.9,202003,14,"        51,050",1980,대원로57번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,191.9,202001,17,"        45,516",2007,대원로90번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,191.9,201912,25,"        46,500",1978,대원로90번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,192.4,201910,31,"        40,800",1978,대원로90번길
경상남도 창원의창구 대원동,*,단독,25m미만,72.85,192.7,202003,24,"        66,842",2007,대원로
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,193,202004,3,"        45,436",1999,대원로90번길
경상남도 창원의창구 대원동,*,단독,8m미만,58.18,193.3,202001,17,"        45,344",1978,대원로82번길
경상남도 창원의창구 대원동,3*,단독,8m미만,102.83,193.5,202002,11,"        50,300",1979,대원로53번길
경상남도 창원의창구 대원동,2*,단독,12m미만,72.23,193.8,202002,6,"        48,000",1978,대원로52번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,193.8,202001,22,"        48,800",1978,대원로90번길
경상남도 창원의창구 대원동,2*,단독,8m미만,72.23,194.1,201912,13,"        47,300",1978,대원로56번길
경상남도 창원의창구 대원동,1*,단독,12m미만,72.23,194.1,202001,30,"        52,415",1978,대원로52번길
