□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원성산구 사파동,4*,다가구,12m미만,234.56,254.9,201604,24,"        65,000",2015,비음로55번길
경상남도 창원성산구 사파동,2*,다가구,12m미만,283.66,264,201509,18,"        58,500",2000,창이대로639번길
경상남도 창원성산구 사파동,5*,다가구,25m미만,251.36,277.3,201601,23,"        52,000",2001,비음로
경상남도 창원성산구 사파동,6*,다가구,25m미만,287.34,312.7,201510,27,"        74,800",2009,비음로
경상남도 창원성산구 사파동,1*,다가구,12m미만,449.94,324.6,201509,10,"        58,000",1998,비음로
경상남도 창원성산구 사파동,5*,단독,12m미만,225.45,239.2,201511,30,"        55,500",2008,비음로67번길
경상남도 창원성산구 사파동,1**,단독,12m미만,240,242.2,201508,26,"        70,000",2015,창이대로684번길
경상남도 창원성산구 사파동,3*,단독,12m미만,230.48,243.8,201507,8,"        73,500",2011,비음로27번길
경상남도 창원성산구 사파동,3*,단독,12m미만,197.19,247.4,201511,3,"        59,500",2007,비음로27번길
경상남도 창원성산구 사파동,3*,단독,12m미만,190.23,247.8,201511,9,"        55,000",2003,비음로27번길
경상남도 창원성산구 사파동,1**,단독,8m미만,216.89,247.9,201603,4,"        38,500",1990,
경상남도 창원성산구 사파동,3*,단독,12m미만,223.63,248.5,201509,2,"        44,800",1999,비음로27번길
경상남도 창원성산구 사파동,1*,단독,12m미만,228.05,249.3,201604,12,"        69,000",2013,비음로4번길
