edited_address,lng,lat
경화동 중초로15번길,128.679270138334,35.1544421264571
경화동 경화로,128.686164615274,35.1560911247164
경화동 충장로337번길,128.688827762822,35.1552295794538
경화동 충장로289번길,128.683606790066,35.1553301093135
경화동 진해대로636번길,128.68521303337,35.157657453434
경화동 경화로29번길,128.683975283978,35.1559851363643
경화동 충장로,128.677784822121,35.1546685499345
경화동 진해대로597번길,128.680963574719,35.158043288032
경화동 경화로21번길,128.683731369285,35.1553049457185
경화동 경화로15번길,128.684058636487,35.1546466451962
경화동 조천로,128.684806896078,35.1626536494973
경화동 병암로29번길,128.691697242615,35.1563173323635
경화동 충장로285번길,128.683169546198,35.1553112220137
경화동 진해대로614번길,128.683041169252,35.1573359925331
경화동 조천로17번길,128.684359773708,35.1603535380493
경화동 진해대로694번길,128.691451968084,35.1582988600729
