□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
14,경상남도 창원시 진해구 여좌동,93-28,0093,0028,여좌연립,76.5300,78.8000,202012,12,"5,200",2,-,-,1978,여좌천로 72-1,-,-,-,-,연립
15,경상남도 창원시 진해구 경화동,843,0843,0000,신우까치빌라,75.5683,64.5817,202012,12,"8,500",4,-,-,1999,조천북로 147,-,-,-,-,연립
16,경상남도 창원시 진해구 풍호동,755-8,0755,0008,진흥골든빌라A,75.0675,36.7700,202012,11,"6,500",3,-,-,1995,충장로 519,-,-,-,-,연립다세대
17,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.8300,90.1500,202012,10,"19,600",3,-,-,2003,석동로 80,-,-,-,-,연립
18,경상남도 창원시 진해구 자은동,310-1,0310,0001,경동빌라1차,59.4000,42.1512,202012,10,"3,220",3,-,-,1994,자은로 104-3,-,-,-,-,연립
19,경상남도 창원시 진해구 이동,538-142,0538,0142,행운주택나동(538-142),42.7900,33.3333,202012,10,"6,100",1,-,-,1990,충장로364번가길 5,-,-,-,-,다세대
20,경상남도 창원시 진해구 태백동,11-191,0011,0191,대야빌라,46.1700,41.0000,202012,10,"16,000",1,-,-,1989,대야남로67번길 9-6,-,-,-,-,다세대
21,경상남도 창원시 진해구 경화동,1176-14,1176,0014,대풍경화빌라,49.6800,37.2800,202012,09,"3,500",3,-,-,1995,충장로 281-8,-,-,-,-,연립
22,경상남도 창원시 진해구 자은동,977-1,0977,0001,대동빌라트2단지,76.2300,97.7305,202012,08,"18,000",3,-,-,1996,냉천로108번길 5-16,-,-,-,-,연립
23,경상남도 창원시 진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.7100,76.8400,202012,07,"16,500",2,-,-,2003,냉천로107번길 14,-,-,-,-,연립
24,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.9600,112.4100,202012,05,"22,500",2,-,-,2003,석동로 80,-,-,-,-,연립
25,경상남도 창원시 진해구 경화동,633,0633,0000,경일빌라(633),70.4300,43.4500,202012,05,"8,800",2,-,-,1997,충장로305번길 28,-,-,-,-,다세대
26,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.9600,112.4100,202012,03,"21,700",4,-,-,2003,석동로 80,-,-,-,-,연립
27,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.8300,90.1500,202012,02,"17,900",2,-,-,2003,석동로 80,-,-,-,-,연립
28,경상남도 창원시 진해구 자은동,977-1,0977,0001,대동빌라트2단지,76.2300,97.7305,202011,30,"16,000",2,-,-,1996,냉천로108번길 5-16,-,-,-,-,연립
29,경상남도 창원시 진해구 경화동,1167-14,1167,0014,경화로얄빌리지,72.1460,31.8524,202011,29,"14,000",3,-,-,2016,충장로273번길 4-1,-,-,-,-,연립
30,경상남도 창원시 진해구 여좌동,761-68,0761,0068,아신,61.7000,31.9600,202011,29,"4,900",1,-,-,1988,여좌로 23,-,-,-,-,다세대
31,경상남도 창원시 진해구 태백동,11-187,0011,0187,대야연립,46.1700,43.8000,202011,28,"11,000",3,-,-,1988,대야남로67번길 9-3,-,-,-,-,다세대
