□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2024-01-01 ~ 2024-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
36,경상남도 창원시 진해구 풍호동,722-4,0722,0004,뉴중앙골든프라자,71.9700,38.6400,202410,07,"12,500",5,개인,개인,2016,충장로541번길 6,-,중개거래,경남 창원시 진해구,24.11.20,다세대
37,경상남도 창원시 진해구 태평동,76-2,0076,0002,지흥빌라,74.9100,40.2140,202410,05,"5,600",4,개인,개인,2003,태평로 84,-,중개거래,경남 창원시 진해구,24.11.29,다세대
38,경상남도 창원시 진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.8300,95.7700,202410,05,"18,500",3,개인,개인,2003,냉천로107번길 14,-,중개거래,경남 창원시 진해구,24.10.31,연립
39,경상남도 창원시 진해구 경화동,972-11,0972,0011,영신B,76.5900,59.0000,202410,02,"8,000",1,개인,개인,1984,충장로 359,-,중개거래,경남 창원시 진해구,24.11.01,연립다세대
40,경상남도 창원시 진해구 석동,313-2,0313,0002,태화빌라,73.7700,46.3400,202410,02,"10,000",1,개인,개인,1997,진해대로789번길 15-11,-,중개거래,경남 창원시 진해구,24.10.11,연립다세대
41,경상남도 창원시 진해구 석동,268-12,0268,0012,제일원룸가동,30.6800,14.7230,202409,27,"3,000",3,개인,개인,2001,진해대로802번길 31,-,직거래,-,24.09.27,연립다세대
42,경상남도 창원시 진해구 자은동,936-2,0936,0002,유일궁전빌라,66.5700,34.0000,202409,24,"7,700",4,개인,개인,1993,진해대로901번길 6-3,-,직거래,-,24.11.29,연립다세대
43,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,29.1300,11.0400,202409,12,"2,400",5,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
44,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,24.6900,9.3600,202409,12,"2,100",2,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
45,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,29.1300,11.0400,202409,12,"2,400",2,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
46,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,24.6900,9.3600,202409,12,"2,000",5,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
47,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,26.9500,10.2100,202409,12,"2,300",2,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
48,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,24.1300,9.1400,202409,12,"2,000",5,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
49,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,26.9500,10.2100,202409,12,"2,200",5,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
50,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,24.1300,9.1400,202409,12,"2,000",4,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
